date,close,ROI,SMA_5,SMA_10,SMA_15,SMA_20,SMA_50,Entry_signal_short_5,Exit_signal_short_5
2020-07-07,10524.01,-0.01337714569641979,10676.767999999987,10699.879999999994,10696.047999999992,10715.633500000004,11166.462999999987,0,0
2020-07-08,10666.7,-0.008172324560954847,10709.869999999988,10730.785999999991,10696.613999999992,10744.260000000004,11180.934799999988,0,0
2020-07-09,10754.59,-0.007543144219491316,10716.865999999987,10751.190999999992,10696.36599999999,10767.197000000004,11189.219799999988,0,0
2020-07-10,10836.33,0.022082188524845447,10691.239999999987,10733.790999999994,10693.76066666666,10792.821500000002,11192.867599999989,0,1
2020-07-13,10602.21,-0.008167812960731768,10653.017999999987,10698.470999999994,10698.397333333327,10807.974500000004,11195.745399999987,1,0
2020-07-14,10689.52,-0.001136270193091149,10722.991999999987,10705.687999999996,10728.58866666666,10832.122500000003,11207.42859999999,0,0
2020-07-15,10701.68,0.007078556734792406,10751.701999999988,10689.985999999994,10755.723333333328,10841.450500000004,11210.304799999987,0,0
2020-07-16,10626.46,-0.0017622933109884273,10785.515999999987,10686.11599999999,10783.973999999997,10864.252500000006,11214.200599999987,0,0
2020-07-17,10645.22,-0.02801842207142391,10776.341999999988,10695.020999999992,10826.681999999997,10891.848000000004,11224.693999999989,0,0
2020-07-20,10952.08,0.010985805501118271,10743.923999999988,10721.086999999994,10859.62666666666,10917.809500000008,11239.078599999986,0,1
2020-07-21,10833.07,-0.003466182186141697,10688.383999999987,10731.386999999992,10868.49933333333,10934.63400000001,11246.495999999985,1,0
2020-07-22,10870.75,0.027423801508233536,10628.269999999986,10757.733999999997,10871.36666666666,10962.932000000006,11258.195799999989,0,0
2020-07-23,10580.59,0.009296841687549406,10586.715999999988,10783.202999999996,10890.497999999994,10985.326500000006,11272.444799999988,0,0
2020-07-24,10483.13,-0.01791673146356043,10613.699999999988,10851.851999999997,10930.349999999997,11030.149500000005,11285.946799999987,0,0
2020-07-27,10674.38,0.013470685971991305,10698.249999999987,10917.477999999996,10975.771333333327,11083.751000000006,11306.465399999988,0,0
2020-07-28,10532.5,-0.012236729319570984,10774.389999999989,10958.556999999997,11016.717333333328,11131.340500000006,11318.80319999999,0,0
2020-07-29,10662.98,-0.004902239837394684,10887.19799999999,10992.914999999997,11074.485999999995,11190.806000000004,11338.216999999988,0,0
2020-07-30,10715.51,-0.017455721133920354,10979.689999999991,11042.388999999996,11118.19666666666,11256.254000000004,11355.976199999985,0,0
2020-07-31,10905.88,-0.013496057920883486,11090.003999999994,11088.674999999996,11168.965999999993,11316.786500000006,11376.182999999985,0,0
2020-08-03,11055.08,-0.003736299783536179,11136.705999999993,11114.531999999996,11212.251333333325,11371.285000000005,11399.827599999986,0,0
2020-08-04,11096.54,-0.002597650070469082,11142.723999999993,11137.880999999996,11250.323999999995,11424.066000000004,11420.389399999987,0,0
2020-08-05,11125.44,-0.01257113644351504,11098.631999999992,11168.129999999996,11292.00866666666,11483.882000000007,11438.165799999986,0,0
2020-08-06,11267.08,0.01146292570778118,11105.087999999992,11187.449999999993,11348.441999999995,11548.637000000004,11453.628399999989,0,0
2020-08-07,11139.39,0.004891219530237079,11087.345999999996,11208.446999999995,11392.380666666662,11573.851500000008,11465.33019999999,0,0
2020-08-10,11085.17,0.019224757449375133,11092.357999999993,11250.023999999996,11449.477999999996,11597.988500000007,11475.229399999987,0,0
2020-08-11,10876.08,-0.025241716049515417,11133.037999999993,11304.123999999994,11517.846666666665,11597.143000000007,11487.082799999986,0,0
2020-08-12,11157.72,-0.00184731763217727,11237.627999999993,11388.696999999995,11612.298666666666,11623.131500000007,11502.868599999987,0,0
2020-08-13,11178.37,0.0012468146661950286,11269.81199999999,11470.118999999995,11696.486666666666,11622.951500000006,11512.972399999988,0,0
2020-08-14,11164.45,-0.01099519248230718,11329.547999999993,11544.897999999996,11736.02,11618.40300000001,11523.256399999987,0,0
2020-08-17,11288.57,-0.009690298209584558,11407.689999999993,11628.037999999995,11766.532,11624.068500000007,11530.057799999988,0,0
2020-08-18,11399.03,0.007102443403094405,11475.209999999995,11710.250999999995,11751.844666666666,11631.583500000008,11536.265399999991,0,0
2020-08-19,11318.64,-0.01380232725308328,11539.765999999996,11799.633999999995,11751.632666666665,11624.012000000008,11531.139999999989,0,0
2020-08-20,11477.05,-0.006759750622232885,11670.425999999996,11909.823999999995,11740.664666666667,11612.127500000008,11531.781999999988,0,0
2020-08-21,11555.16,-0.0061077723790380345,11760.247999999996,11939.255999999998,11714.688,11585.124000000007,11523.299999999988,0,0
2020-08-24,11626.17,-0.008159149482886985,11848.385999999995,11945.952999999998,11696.194666666668,11556.37700000001,11513.891999999983,0,1
2020-08-25,11721.81,-0.020893021515310032,11945.291999999996,11890.161999999995,11683.708,11534.387000000008,11506.966799999986,0,0
