date,close,ROI,SMA_5,SMA_10,SMA_15,SMA_20,SMA_50,Entry_signal_long_1,Exit_signal_long_1
2020-07-07,10524.01,,,,,,,0,0
2020-07-08,10666.7,0.01355851999380464,,,,,,0,0
2020-07-09,10754.59,0.008239661751056948,,,,,,0,0
2020-07-10,10836.33,0.0076004757038621315,,,,,,0,0
2020-07-13,10602.21,-0.02160510061985943,10676.768,,,,,0,0
2020-07-14,10689.52,0.008235075517274426,10709.87,,,,,0,0
2020-07-15,10701.68,0.0011375627717615802,10716.866000000002,,,,,0,0
2020-07-16,10626.46,-0.0070288029543026384,10691.24,,,,,0,0
2020-07-17,10645.22,0.001765404471479659,10653.018,,,,,0,0
2020-07-20,10952.08,0.0288260834440246,10722.992,10699.88,,,,0,0
2020-07-21,10833.07,-0.010866429025354065,10751.702,10730.786,,,,0,0
2020-07-22,10870.75,0.003478238394102551,10785.516000000001,10751.191,,,,0,0
2020-07-23,10580.59,-0.02669181059264536,10776.341999999999,10733.791,,,,0,0
2020-07-24,10483.13,-0.009211206558424556,10743.924,10698.471,,,,0,0
2020-07-27,10674.38,0.018243597093616115,10688.383999999998,10705.688,10696.048,,,0,0
2020-07-28,10532.5,-0.013291638483921231,10628.27,10689.986,10696.614,,,0,0
2020-07-29,10662.98,0.01238832186090666,10586.715999999997,10686.116000000002,10696.366000000002,,,0,0
2020-07-30,10715.51,0.004926390183607189,10613.699999999997,10695.021,10693.760666666667,,,0,0
2020-07-31,10905.88,0.017765836623734987,10698.249999999996,10721.087,10698.397333333334,,,0,0
2020-08-03,11055.08,0.013680693350742956,10774.389999999998,10731.387,10728.588666666668,10715.6335,,0,0
2020-08-04,11096.54,0.0037503120737254476,10887.198,10757.733999999999,10755.723333333337,10744.26,,0,0
2020-08-05,11125.44,0.002604415430395468,10979.69,10783.203000000001,10783.974000000004,10767.197,,0,0
2020-08-06,11267.08,0.012731181867863263,11090.004,10851.851999999999,10826.682000000004,10792.8215,,0,0
2020-08-07,11139.39,-0.011333016185205104,11136.706000000002,10917.478000000001,10859.62666666667,10807.9745,,0,0
2020-08-10,11085.17,-0.004867411949846412,11142.724000000002,10958.557,10868.49933333334,10832.1225,,0,0
2020-08-11,10876.08,-0.018862137432263167,11098.632,10992.915,10871.36666666667,10841.450500000004,,0,0
2020-08-12,11157.72,0.025895359357415385,11105.088,11042.389,10890.498000000003,10864.252500000002,,0,0
2020-08-13,11178.37,0.0018507365304023526,11087.346000000001,11088.675,10930.350000000004,10891.848000000002,,0,0
2020-08-14,11164.45,-0.0012452620552012572,11092.357999999998,11114.532,10975.771333333338,10917.809500000003,,0,0
2020-08-17,11288.57,0.011117430773571302,11133.037999999995,11137.880999999998,11016.717333333338,10934.634000000004,,0,0
2020-08-18,11399.03,0.009785118930032866,11237.627999999995,11168.13,11074.486000000004,10962.932000000004,,0,0
2020-08-19,11318.64,-0.007052354454721298,11269.811999999994,11187.45,11118.196666666667,10985.326500000003,,0,0
2020-08-20,11477.05,0.01399549769230224,11329.547999999995,11208.446999999998,11168.966000000002,11030.149500000005,,0,0
2020-08-21,11555.16,0.006805755834469629,11407.689999999995,11250.024,11212.251333333335,11083.751000000006,,0,0
2020-08-24,11626.17,0.006145306512415294,11475.209999999995,11304.124,11250.324000000002,11131.340500000006,,0,0
2020-08-25,11721.81,0.008226268840039186,11539.765999999998,11388.696999999998,11292.008666666667,11190.806000000004,,0,0
2020-08-26,11971.94,0.021338854664936683,11670.425999999998,11470.119,11348.442000000005,11256.254000000004,,0,0
2020-08-27,11926.16,-0.003823941650225482,11760.247999999998,11544.898000000001,11392.38066666667,11316.786500000006,,0,0
2020-08-28,11995.85,0.005843456737122389,11848.386,11628.038,11449.478000000005,11371.285000000005,,0,0
2020-08-31,12110.7,0.009574144391602202,11945.291999999998,11710.251,11517.84666666667,11424.066000000004,,0,0
2020-09-01,12292.86,0.015041244519309329,12059.502,11799.634000000002,11612.298666666673,11483.882000000005,,0,0
2020-09-02,12420.54,0.01038651705136151,12149.221999999998,11909.823999999999,11696.486666666673,11548.637000000004,,0,0
2020-09-03,11771.37,-0.05226584351405017,12118.263999999996,11939.256000000001,11736.020000000004,11573.851500000004,,0,0
2020-09-04,11622.13,-0.012678218423174292,12043.519999999995,11945.953000000001,11766.532000000005,11597.988500000007,,0,0
2020-09-08,11068.26,-0.04765649670069072,11835.031999999996,11890.162,11751.844666666673,11597.143000000007,,0,1
2020-09-09,11395.85,0.02959724473404135,11655.63,11857.566,11751.632666666672,11623.131500000007,,0,0
2020-09-10,11154.12,-0.021212107916478318,11402.345999999998,11775.784,11740.664666666673,11622.951500000005,,0,0
2020-09-11,11087.4,-0.005981646243719885,11265.551999999998,11691.908000000001,11714.688000000006,11618.403000000008,,0,0
2020-09-14,11277.76,0.017169038728646946,11196.677999999998,11620.098999999998,11696.194666666675,11624.068500000007,,0,0
2020-09-15,11438.87,0.014285638282779622,11270.8,11552.915999999996,11683.708000000004,11631.583500000004,11166.462999999998,0,0
2020-09-16,11247.6,-0.01672105723729711,11241.149999999998,11448.389999999998,11652.094000000005,11624.012000000004,11180.934799999995,0,0
2020-09-17,11080.95,-0.014816494185426188,11226.516000000001,11314.430999999995,11592.694666666675,11612.127500000008,11189.219799999995,0,0
2020-09-18,10936.98,-0.01299256832672302,11196.432,11230.991999999995,11526.74933333334,11585.124000000007,11192.867599999998,0,0
2020-09-21,10980.22,0.003953559392080752,11136.923999999995,11166.800999999996,11459.040666666673,11556.37700000001,11195.745399999998,0,0
2020-09-22,11186.37,0.018774669359994837,11086.423999999995,11178.611999999996,11397.418666666672,11534.387000000008,11207.4286,0,0
2020-09-23,10833.33,-0.0315598357644169,11003.569999999994,11122.359999999995,11300.11666666667,11489.963000000007,11210.304799999998,0,0
2020-09-24,10896.47,0.005828309485633731,10966.673999999995,11096.594999999998,11198.512000000004,11436.189500000008,11214.200599999995,0,0
2020-09-25,11151.13,0.02337087148406769,11009.503999999995,11102.967999999995,11157.16266666667,11397.438000000007,11224.693999999996,0,0
2020-09-28,11364.45,0.01912989983974733,11086.349999999995,11111.637,11139.984000000004,11365.868000000008,11239.078599999995,0,0
2020-09-29,11322.95,-0.0036517385355208103,11113.665999999996,11100.044999999998,11156.96333333334,11326.480500000007,11246.495999999996,0,0
2020-09-30,11418.06,0.008399754480943544,11230.611999999996,11117.090999999995,11158.444000000005,11282.740500000007,11258.195799999998,1,0
2020-10-01,11583.2,0.01446305239243806,11367.957999999995,11167.315999999995,11187.049333333338,11240.873500000007,11272.444799999996,0,0
2020-10-02,11255.69,-0.02827457006699363,11388.869999999995,11199.186999999998,11198.268666666672,11215.08950000001,11285.946799999998,0,0
2020-10-05,11509.06,0.02251039252147136,11417.791999999998,11252.070999999998,11213.688666666672,11209.436000000007,11306.465399999995,0,0
2020-10-06,11291.27,-0.01892335255876665,11411.456,11262.560999999998,11203.84866666667,11220.586500000007,11318.803199999997,0,0
2020-10-07,11503.19,0.01876848219907945,11428.482,11329.547,11220.888000000004,11225.953500000007,11338.216999999995,0,0
2020-10-08,11550.94,0.004151022455510135,11422.030000000002,11394.994,11252.22066666667,11245.794500000007,11355.976199999996,0,0
2020-10-09,11725.85,0.015142490567867206,11516.062000000002,11452.466,11304.812000000005,11277.717000000008,11376.182999999995,0,0
2020-10-12,12088.11,0.03089413560637388,11631.872000000005,11524.832,11378.671333333335,11318.23450000001,11399.827599999995,0,0
2020-10-13,12083.17,-0.0004086660362951911,11790.252000000002,11600.854,11438.458000000004,11350.44950000001,11420.389399999995,0,0
2020-10-14,11985.36,-0.008094730108075932,11886.686000000003,11657.584,11515.260000000006,11387.33750000001,11438.165799999995,0,0
2020-10-15,11898.57,-0.007241334428002233,11956.212,11689.121,11582.066666666673,11428.21850000001,11453.628399999996,0,0
2020-10-16,11852.17,-0.0038996282746581725,11981.476,11748.768999999998,11628.802666666672,11473.97800000001,11465.3302,0,0
2020-10-19,11634.35,-0.018378069163705883,11890.723999999998,11761.298,11646.796000000006,11506.68450000001,11475.229399999995,0,0
2020-10-20,11677.84,0.0037380687361132647,11809.658000000001,11799.955,11670.455333333335,11531.258000000009,11487.082799999995,0,0
2020-10-21,11665.37,-0.0010678344625375538,11745.659999999998,11816.173,11686.94266666667,11572.860000000011,11502.868599999994,0,0
2020-10-22,11662.91,-0.0002108805807274905,11698.527999999998,11827.37,11692.25666666667,11611.182000000012,11512.972399999995,0,0
2020-10-23,11692.57,0.0025431045939650065,11666.607999999998,11824.041999999998,11721.382000000005,11638.254000000012,11523.256399999995,0,0
2020-10-26,11504.52,-0.016082862877878745,11640.642,11765.683,11721.079333333335,11645.25750000001,11530.0578,0,1
2020-10-27,11598.95,0.008208078216214165,11624.864,11717.261,11741.591333333336,11659.05750000001,11536.265399999998,0,0
2020-10-28,11142.76,-0.0393302842067601,11520.341999999999,11633.000999999998,11717.56266666667,11645.29250000001,11531.139999999998,0,0
2020-10-29,11350.74,0.01866503451568557,11457.908000000001,11578.218,11704.216000000004,11633.669500000007,11531.781999999996,0,0
2020-10-30,11052.95,-0.026235293910352956,11329.984,11498.295999999998,11659.356000000005,11623.53250000001,11523.299999999996,0,0
2020-11-02,11084.76,0.0028779647062548985,11246.031999999996,11443.336999999998,11592.466000000004,11602.31750000001,11513.891999999994,0,0
2020-11-03,11279.91,0.01760525261710666,11182.223999999998,11403.543999999998,11538.915333333334,11601.749500000009,11506.966799999995,0,0
2020-11-04,11777.02,0.044070387086421865,11309.076000000001,11414.709,11525.026000000002,11615.44100000001,11508.070999999994,1,0
