date,close,ROI,BBL_12_1.0,BBU_12_1.0,BBM_12_1.0,BBL_20_1.0,BBU_20_1.0,BBM_20_1.0,BBL_12_2.0,BBU_12_2.0,BBM_12_2.0,BBL_20_2.0,BBU_20_2.0,BBM_20_2.0,Entry_signal_long_1,Exit_signal_long_1,Entry_signal_short_1,Exit_signal_short_1
2020-07-07,10524.01,,,,,,,,,,,,,,0,0,0,0
2020-07-08,10666.7,0.01355851999380464,,,,,,,,,,,,,0,0,0,0
2020-07-09,10754.59,0.008239661751056948,,,,,,,,,,,,,0,0,0,0
2020-07-10,10836.33,0.0076004757038621315,,,,,,,,,,,,,0,0,0,0
2020-07-13,10602.21,-0.02160510061985943,,,,,,,,,,,,,0,0,0,0
2020-07-14,10689.52,0.008235075517274426,,,,,,,,,,,,,0,0,0,0
2020-07-15,10701.68,0.0011375627717615802,,,,,,,,,,,,,0,0,0,0
2020-07-16,10626.46,-0.0070288029543026384,,,,,,,,,,,,,0,0,0,0
2020-07-17,10645.22,0.001765404471479659,,,,,,,,,,,,,0,0,0,0
2020-07-20,10952.08,0.0288260834440246,,,,,,,,,,,,,0,0,0,0
2020-07-21,10833.07,-0.010866429025354065,,,,,,,,,,,,,0,0,0,0
2020-07-22,10870.75,0.003478238394102551,10599.264602374602,10851.172064292065,10725.218333333332,,,,10473.31087141587,10977.125795250797,10725.218333333332,,,,0,0,0,0
2020-07-23,10580.59,-0.02669181059264536,10611.35326737609,10848.513399290576,10729.933333333332,,,,10492.773201418844,10967.093465247819,10729.933333333332,,,,0,0,0,0
2020-07-24,10483.13,-0.009211206558424556,10576.868301437398,10852.403365229266,10714.635833333332,,,,10439.100769541463,10990.170897125201,10714.635833333332,,,,0,0,0,0
2020-07-27,10674.38,0.018243597093616115,10570.353146270727,10845.550187062603,10707.951666666666,,,,10432.754625874788,10983.148707458544,10707.951666666666,,,,0,0,0,0
2020-07-28,10532.5,-0.013291638483921231,10542.867616445508,10822.39738355449,10682.632499999998,,,,10403.10273289102,10962.162267108975,10682.632499999998,,,,0,0,0,0
2020-07-29,10662.98,0.01238832186090666,10550.025403980157,10825.367929353173,10687.696666666663,,,,10412.354141293652,10963.039192039678,10687.696666666663,,,,0,0,0,0
2020-07-30,10715.51,0.004926390183607189,10551.955710258455,10827.769289741542,10689.8625,,,,10414.048920516912,10965.676079483086,10689.8625,,,,0,0,0,0
2020-07-31,10905.88,0.017765836623734987,10555.446549520932,10858.311783812398,10706.879166666666,,,,10404.013932375201,11009.74440095813,10706.879166666666,,,,0,0,0,0
2020-08-03,11055.08,0.013680693350742956,10563.783935631203,10921.41106436879,10742.597499999998,10563.917939951634,10867.349060048366,10715.6335,10384.97037126241,11100.224628737586,10742.597499999998,10412.202379903269,11019.064620096731,10715.6335,0,0,0,0
