date,close,ROI,BBL_12_1.0,BBU_12_1.0,BBM_12_1.0,BBL_20_1.0,BBU_20_1.0,BBM_20_1.0,BBL_12_2.0,BBU_12_2.0,BBM_12_2.0,BBL_20_2.0,BBU_20_2.0,BBM_20_2.0,Entry_signal_long_3,Exit_signal_long_3,Entry_signal_short_3,Exit_signal_short_3
2021-06-01,13654.59,-0.0015501846694049304,13669.790998918501,14023.50733441484,13846.64916666667,13748.28267960686,14280.836320393148,14014.559500000005,13492.932831170327,14200.365502163013,13846.64916666667,13482.005859213716,14547.113140786289,14014.559500000005,0,0,0,0
2021-05-28,13686.51,0.002337675462976252,13645.153549367642,13998.728117299033,13821.940833333336,13725.643634138867,14219.628365861141,13972.636000000004,13468.366265401946,14175.515401264724,13821.940833333336,13478.65126827773,14466.620731722278,13972.636000000004,0,0,0,0
2021-05-27,13657.85,-0.0020940327373449863,13621.485880003504,13960.302453329836,13790.89416666667,13698.11829604114,14178.420703958867,13938.269500000006,13452.077593340342,14129.710739993001,13790.89416666667,13457.967092082275,14418.571907917732,13938.269500000006,0,0,0,0
2021-05-26,13702.74,0.0032867545038202106,13622.431275208495,13888.44705812484,13755.439166666667,13681.932695136267,14128.284304863735,13905.108500000002,13489.423383750327,14021.45494958301,13755.439166666667,13458.756890272532,14351.460109727474,13905.108500000002,1,0,0,0
2021-05-25,13657.73,-0.0032847445109518425,13616.070157236374,13838.046509430298,13727.058333333334,13662.489258899206,14086.076741100796,13874.283,13505.081981139412,13949.034685527258,13727.058333333334,13450.695517798413,14297.870482201592,13874.283,0,0,0,0
2021-05-24,13641.75,-0.0011700333803640328,13615.283599638653,13785.73306702802,13700.508333333335,13646.882134095029,14038.816865904973,13842.849500000002,13530.058865943967,13870.957800722705,13700.508333333335,13450.91476819006,14234.784231809945,13842.849500000002,0,0,0,0
2021-05-21,13411.74,-0.016860740007697,13555.454783462617,13778.361883204052,13666.908333333335,13601.05387844492,14012.096121555083,13806.575000000004,13444.0012335919,13889.815433074771,13666.908333333335,13395.532756889841,14217.617243110166,13806.575000000004,0,0,0,0
2021-05-20,13494.09,0.006140142889736966,13528.738748067408,13752.28291859926,13640.510833333336,13570.334084063488,13987.266915936518,13778.800500000005,13416.966662801482,13864.055003865184,13640.510833333336,13361.867668126974,14195.733331873034,13778.800500000005,0,0,0,0
2021-05-19,13237.91,-0.018984607335507664,13443.719378715683,13743.138954617654,13593.429166666667,13511.601572049543,13953.40942795046,13732.505500000005,13294.009590764696,13892.84874256864,13593.429166666667,13290.697644099084,14174.313355900922,13732.505500000005,0,0,0,0
2021-05-18,13217.68,-0.0015281868512476706,13373.926445105384,13720.750221561286,13547.338333333335,13453.60621000663,13934.87178999337,13694.239,13200.514556877431,13894.162109789238,13547.338333333335,13212.973420013257,14175.504579986746,13694.239,0,0,0,0
2021-05-17,13312.91,0.007204743949013714,13343.0393271149,13715.50900621844,13529.27416666667,13417.00390591912,13899.724094080879,13658.364,13156.804487563126,13901.743845770216,13529.27416666667,13175.643811838245,14141.08418816176,13658.364,0,0,0,0
2021-05-14,13393.12,0.0060249787612176595,13321.838404534275,13689.598262132395,13505.718333333334,13400.437218339684,13842.782781660315,13621.61,13137.95847573522,13873.478190931453,13505.718333333334,13179.264436679368,14063.955563320633,13621.61,0,0,0,0
2021-05-13,13109.15,-0.021202677195455655,13250.884590631631,13669.645409368371,13460.265,13346.521660667295,13807.78333933271,13577.152500000002,13041.504181263257,13879.025818736747,13460.265,13115.890821334588,14038.414178665415,13577.152500000002,0,0,0,0
2021-05-12,13001.63,-0.008201904776434787,13169.192328523352,13637.191004809983,13403.191666666668,13283.297202256035,13775.135797743973,13529.216500000004,12935.192990380041,13871.190342953296,13403.191666666668,13037.377904512065,14021.055095487942,13529.216500000004,0,0,0,0
2021-05-11,13351.27,0.02689201277070663,13157.65883440286,13597.627832263805,13377.643333333332,13266.699796459763,13745.366203540245,13506.033000000005,12937.674335472393,13817.612331194276,13377.643333333332,13027.366592919523,13984.699407080483,13506.033000000005,1,0,0,0
2021-05-10,13359.08,0.0005849630784187099,13154.269775913566,13543.740224086434,13349.005,13253.249838260532,13713.638161739482,13483.444000000007,12959.534551827132,13738.475448172863,13349.005,13023.05567652106,13943.832323478955,13483.444000000007,0,0,0,0
2021-05-07,13719.63,0.02698913398228009,13149.919195403301,13558.407471263365,13354.163333333332,13254.478260952748,13704.083739047262,13479.281000000004,12945.675057473272,13762.651609193392,13354.163333333332,13029.67552190549,13928.886478094522,13479.281000000004,0,1,0,0
2021-05-06,13613.73,-0.007718867053994827,13151.039959084905,13552.616707581761,13351.828333333333,13254.747475688662,13688.110524311345,13471.429000000006,12950.251584836476,13753.405081830188,13351.828333333333,13038.065951377319,13904.792048622689,13471.429000000006,0,0,0,0
2021-05-05,13503.37,-0.008106521871669159,13154.49155628097,13564.436777052364,13359.464166666667,13253.724569665505,13686.5024303345,13470.113500000005,12949.518945895274,13769.40938743806,13359.464166666667,13037.335639331013,13902.891360668997,13470.113500000005,0,0,0,0
2021-05-04,13544.67,0.0030584957680934717,13155.196472357264,13572.161860976074,13363.679166666667,13251.791064538316,13675.323935461693,13463.557500000004,12946.713778047859,13780.644555285478,13363.679166666667,13040.024629076628,13887.090370923379,13463.557500000004,0,0,0,0
2021-05-03,13799.72,0.018830285270885042,13171.916289993884,13649.077043339454,13410.496666666668,13249.869363557695,13691.75863644231,13470.814000000002,12933.335913321102,13887.657420012234,13410.496666666668,13028.924727115389,13912.703272884617,13470.814000000002,0,0,0,0
2021-04-30,13860.76,0.004423278153469878,13201.715884156221,13726.45744917712,13464.08666666667,13246.522199107369,13712.530800892637,13479.526500000002,12939.345101645771,13988.82823168757,13464.08666666667,13013.517898214732,13945.535101785272,13479.526500000002,0,0,0,0
2021-04-29,13970.21,0.007896392405611241,13224.285617037463,13813.437716295874,13518.86166666667,13240.129364381612,13750.159635618396,13495.144500000006,12929.709567408265,14108.013765925076,13518.86166666667,12985.114228763225,14005.174771236785,13495.144500000006,0,0,0,0
2021-04-28,13901.62,-0.004909732924558653,13250.274694910016,13872.19863842332,13561.23666666667,13237.962426250977,13772.214573749034,13505.088500000005,12939.312723153369,14183.160610179973,13561.23666666667,12970.836352501949,14039.340647498058,13505.088500000005,0,0,0,0
2021-04-27,13960.28,0.0042196520981008226,13337.028522768409,13927.29981056493,13632.16416666667,13235.972452160457,13804.459547839555,13520.216000000004,13041.892878870149,14222.435454463188,13632.16416666667,12951.728904320908,14088.703095679102,13520.216000000004,0,0,0,0
2021-04-26,14026.16,0.004719103055239593,13478.53936493438,13956.54396839896,13717.54166666667,13234.31238712867,13844.56061287134,13539.436500000005,13239.537063202093,14195.546270131248,13717.54166666667,12929.188274257334,14149.684725742676,13539.436500000005,0,0,0,0
2021-04-23,13941.44,-0.006040142134411619,13550.285740387957,13983.15925961205,13766.722500000005,13249.678332879741,13882.16466712027,13565.921500000004,13333.848980775909,14199.5960192241,13766.722500000005,12933.435165759474,14198.407834240537,13565.921500000004,0,0,0,0
2021-04-22,13762.36,-0.012845158032455785,13625.663952590332,13974.994380743008,13800.32916666667,13260.619241921802,13898.050758078203,13579.335000000005,13450.998738513994,14149.659594819346,13800.32916666667,12941.903483843602,14216.766516156404,13579.335000000005,0,0,1,0
2021-04-21,13935.15,0.012555259417716071,13641.607411295437,13994.970922037903,13818.28916666667,13296.661999258697,13931.732000741316,13614.197000000006,13464.925655924199,14171.652677409138,13818.28916666667,12979.126998517388,14249.267001482625,13614.197000000006,0,0,0,0
2021-04-20,13809.3,-0.009031119148340759,13669.874819141509,13999.298514191829,13834.586666666668,13337.778361599818,13949.777638400195,13643.778000000006,13505.162971616348,14164.010361716988,13834.586666666668,13031.778723199626,14255.777276800383,13643.778000000006,0,0,0,0
