,date,close,ROI,BB_Lower,BB_Upper,BB_Middle,Entry_signal_long_3,Exit_signal_long_3,Entry_signal_short_3,Exit_signal_short_3,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
0,2020-10-22 17:00,1903.88,,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
1,2020-10-22 18:00,1906.45,0.001349875,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
2,2020-10-22 19:00,1904.94,-0.0007920480000000001,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
3,2020-10-22 20:00,1903.31,-0.00085567,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
4,2020-10-22 21:00,1904.57,0.000662005,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
5,2020-10-22 22:00,1907.02,0.00128638,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
6,2020-10-22 23:00,1906.55,-0.000246458,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
7,2020-10-23 0:00,1905.95,-0.000314705,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
8,2020-10-23 1:00,1904.92,-0.000540413,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
9,2020-10-23 2:00,1906.49,0.000824182,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
10,2020-10-23 3:00,1908.84,0.001232632,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
11,2020-10-23 4:00,1911.12,0.0011944430000000001,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
12,2020-10-23 5:00,1909.25,-0.000978484,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
13,2020-10-23 6:00,1910.68,0.000748985,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
14,2020-10-23 7:00,1910.78,5.2300000000000004e-05,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
15,2020-10-23 8:00,1910.72,-3.14e-05,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
16,2020-10-23 9:00,1903.46,-0.003799615,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
17,2020-10-23 10:00,1898.02,-0.002857953,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
18,2020-10-23 11:00,1898.78,0.00040041699999999997,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
19,2020-10-23 12:00,1900.96,0.001148106,1902.0173690000001,1909.651631,1905.8345,0,0,0,0,0,0,100000.0,0,0.0,0.0
20,2020-10-23 13:00,1903.25,0.0012046539999999999,1901.9663420000002,1909.6396579999998,1905.8029999999999,0,0,0,0,0,0,100000.0,0,0.0,0.0
21,2020-10-23 14:00,1902.24,-0.000530671,1901.678496,1909.506504,1905.5925,0,0,0,0,0,0,100000.0,0,0.0,0.0
22,2020-10-23 15:00,1903.72,0.00077803,1901.597336,1909.465664,1905.5315,0,0,0,0,0,0,100000.0,0,0.0,0.0
23,2020-10-23 16:00,1902.05,-0.00087723,1901.4870850000002,1909.449915,1905.4685,0,0,0,0,0,0,100000.0,0,0.0,0.0
24,2020-10-25 18:00,1893.74,-0.00436897,1900.1583100000003,1909.6956899999998,1904.9270000000001,0,0,0,0,0,0,100000.0,0,0.0,0.0
25,2020-10-25 19:00,1898.64,0.002587472,1899.56782,1909.44818,1904.5079999999998,0,0,0,0,0,0,100000.0,0,0.0,0.0
26,2020-10-25 20:00,1900.21,0.000826908,1899.185764,1909.196236,1904.191,0,0,0,0,0,0,100000.0,0,0.0,0.0
27,2020-10-25 21:00,1897.65,-0.00134722,1898.583691,1908.968309,1903.776,0,0,0,0,0,0,100000.0,0,0.0,0.0
28,2020-10-25 22:00,1899.1,0.000764103,1898.197955,1908.772045,1903.485,0,0,0,0,0,0,100000.0,0,0.0,0.0
29,2020-10-25 23:00,1898.42,-0.000358064,1897.7283300000001,1908.4346699999999,1903.0815,0,0,0,0,0,0,100000.0,0,0.0,0.0
30,2020-10-26 0:00,1897.57,-0.000447741,1897.2099239999998,1907.826076,1902.5179999999998,0,0,0,0,0,0,100000.0,0,0.0,0.0
31,2020-10-26 1:00,1897.22,-0.00018444599999999998,1896.7980539999999,1906.847946,1901.8229999999999,0,0,0,0,0,0,100000.0,0,0.0,0.0
32,2020-10-26 2:00,1897.86,0.000337336,1896.4752039999998,1906.031796,1901.2535,0,0,0,0,0,0,100000.0,0,0.0,0.0
33,2020-10-26 3:00,1900.49,0.001385771,1896.511654,1904.9763460000001,1900.744,0,0,0,0,0,0,100000.0,0,0.0,0.0
34,2020-10-26 4:00,1898.53,-0.001031313,1896.599543,1903.663457,1900.1315,0,0,0,0,0,0,100000.0,0,0.0,0.0
