Date,Open,High,Low,Close
2021-07-07 13:00,1801.8,1802.41,1801.29,1801.52
2021-07-07 12:00,1803.78,1805.51,1801.26,1801.8
2021-07-07 11:00,1805.46,1807.03,1800.8,1803.78
2021-07-07 10:00,1806.88,1807.38,1797.08,1805.47
2021-07-07 9:00,1804.66,1807.67,1800.79,1806.86
2021-07-07 8:00,1806.64,1809.8,1803.67,1804.65
2021-07-07 7:00,1806.76,1808.6,1806.19,1806.65
2021-07-07 6:00,1806.55,1808.54,1806.11,1806.76
2021-07-07 5:00,1804.47,1806.68,1803.4,1806.55
2021-07-07 4:00,1805.4,1807.78,1803.41,1804.47
2021-07-07 3:00,1803.15,1806.76,1800.88,1805.39
2021-07-07 2:00,1801.9,1804.73,1800.41,1803.15
2021-07-07 1:00,1798.04,1802.64,1797.56,1801.9
2021-07-07 0:00,1801.14,1801.81,1797.46,1798.04
2021-07-06 23:00,1800.15,1801.33,1798.53,1801.15
2021-07-06 22:00,1802.51,1802.9,1799.39,1800.15
2021-07-06 21:00,1795.34,1803.01,1794.58,1802.51
2021-07-06 20:00,1795.59,1796.16,1794.02,1795.35
2021-07-06 19:00,1795.55,1796.73,1795.26,1795.59
2021-07-06 18:00,1796.88,1796.98,1795.15,1795.55
2021-07-06 17:00,1797.08,1797.11,1796.61,1796.88
2021-07-06 16:00,1796.8,1797.44,1796.41,1796.99
2021-07-06 15:00,1796.91,1797.75,1796.45,1796.8
2021-07-06 14:00,1795.5,1797.59,1794.34,1796.91
2021-07-06 13:00,1794.27,1796.46,1793.15,1795.5
2021-07-06 12:00,1796.3,1796.56,1790.21,1794.27
2021-07-06 11:00,1804.71,1805.78,1795.87,1796.3
2021-07-06 10:00,1811.53,1812.66,1803.97,1804.71
2021-07-06 9:00,1809.11,1811.62,1806.54,1811.54
2021-07-06 8:00,1809.97,1815.06,1807.63,1809.12
2021-07-06 7:00,1807.75,1810.93,1806.82,1809.97
2021-07-06 6:00,1807.61,1809.39,1806.28,1807.71
2021-07-06 5:00,1805.98,1808.57,1805.66,1807.61
2021-07-06 4:00,1807.83,1807.9,1802.47,1805.98
2021-07-06 3:00,1804.97,1809.24,1804.83,1807.84
2021-07-06 2:00,1804.28,1806.81,1804.26,1804.97
2021-07-06 1:00,1800.82,1804.44,1800.16,1804.28
2021-07-06 0:00,1797.57,1800.88,1797.57,1800.82
2021-07-05 23:00,1797.63,1799.25,1796.94,1797.49
2021-07-05 22:00,1795.79,1799.92,1794.61,1797.63
2021-07-05 21:00,1792.15,1796.36,1791.07,1795.84
2021-07-05 20:00,1791.35,1792.77,1791.06,1792.14
2021-07-05 19:00,1791.97,1792.26,1790.96,1791.36
2021-07-05 18:00,1791.43,1792.88,1791.31,1791.97
2021-07-05 17:00,1791.77,1791.84,1791.42,1791.42
2021-07-05 16:00,1791.77,1792.13,1791.44,1791.77
2021-07-05 15:00,1791.61,1792.05,1791.51,1791.8
2021-07-05 14:00,1791.96,1792.07,1791.38,1791.81
2021-07-05 13:00,1791.79,1792.25,1791.41,1791.95
2021-07-05 12:00,1790.9,1791.91,1790.06,1791.79
2021-07-05 11:00,1791.01,1792.01,1789.96,1790.87
2021-07-05 10:00,1791.42,1792.03,1790.27,1791.01
2021-07-05 9:00,1791.93,1793.24,1791.03,1791.43
2021-07-05 8:00,1789.73,1792.73,1789.67,1791.92
2021-07-05 7:00,1793.2,1793.2,1789.29,1789.73
2021-07-05 6:00,1791.44,1793.3,1790.76,1793.21
2021-07-05 5:00,1792.78,1793.59,1790.15,1791.45
2021-07-05 4:00,1792.78,1794.53,1791.04,1792.78
2021-07-05 3:00,1790.56,1793.17,1789.07,1792.78
2021-07-05 2:00,1786.22,1791.29,1784.77,1790.55
2021-07-05 1:00,1787.51,1788.45,1785.98,1786.21
2021-07-05 0:00,1785.54,1788.02,1785.35,1787.51
2021-07-04 23:00,1788.09,1788.5,1785.44,1785.55
2021-07-04 22:00,1789.49,1789.73,1787.39,1788.09
2021-07-04 21:00,1785.94,1790,1785.06,1789.49
2021-07-04 20:00,1786.17,1786.3,1784.55,1785.94
2021-07-04 19:00,1785.68,1787.13,1785.68,1786.17
2021-07-04 18:00,1787.35,1787.92,1785.66,1785.68
2021-07-02 16:00,1787.03,1788.6,1786.17,1787.3
2021-07-02 15:00,1789.91,1791.39,1786.51,1787.03
2021-07-02 14:00,1788.04,1791.81,1787.98,1789.91
2021-07-02 13:00,1782.01,1788.31,1781.75,1788.04
2021-07-02 12:00,1782.8,1783.19,1781.5,1782.01
2021-07-02 11:00,1782.86,1785.81,1781.59,1782.8
2021-07-02 10:00,1785.62,1786.73,1778.22,1782.87
2021-07-02 9:00,1789.81,1795.19,1780.17,1785.62
2021-07-02 8:00,1786.18,1793.98,1776.35,1789.81
2021-07-02 7:00,1787.38,1788.82,1785.08,1786.19
2021-07-02 6:00,1782.01,1788.13,1781.74,1787.38
2021-07-02 5:00,1782.02,1784.07,1781.3,1782.01
2021-07-02 4:00,1778.03,1784.39,1777.81,1782.02
2021-07-02 3:00,1775.74,1778.56,1774.36,1778.03
2021-07-02 2:00,1778.17,1778.97,1775.74,1775.74
2021-07-02 1:00,1778.17,1779.79,1777.43,1778.15
2021-07-02 0:00,1778.97,1779.06,1777.9,1778.17
2021-07-01 23:00,1778.36,1779.49,1778.16,1778.97
2021-07-01 22:00,1778.26,1778.92,1777.23,1778.35
2021-07-01 21:00,1777.2,1779.91,1776.44,1778.26
2021-07-01 20:00,1775.7,1778.47,1775.07,1777.19
2021-07-01 19:00,1776.36,1776.57,1775.31,1775.7
2021-07-01 18:00,1776.94,1777.19,1775.77,1776.37
2021-07-01 17:00,1776.87,1777.05,1776.82,1776.97
2021-07-01 16:00,1775.9,1777.04,1775.36,1776.84
2021-07-01 15:00,1774.79,1776.24,1774.51,1775.9
2021-07-01 14:00,1773.41,1775.85,1772.76,1774.79
2021-07-01 13:00,1771.78,1776.91,1771.75,1773.41
2021-07-01 12:00,1771.11,1772.27,1768.74,1771.78
2021-07-01 11:00,1774.23,1775.54,1768.41,1771.11
2021-07-01 10:00,1780.43,1782.88,1773,1774.23
