,date,close,ROI,EMA_5,EMA_10,EMA_15,EMA_20,EMA_50,Entry_signal_long_7,Exit_signal_long_7,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
42,2020-09-03,11771.37,-0.05226584351405017,12041.672210796482,11919.460932525322,11781.457813853816,11660.196153863697,,0,0,0,0,100000.0,0,0.0,0
43,2020-09-04,11622.13,-0.012678218423174292,11901.824807197656,11865.400762975263,11761.54183712209,11656.570805876678,,0,0,0,0,100000.0,0,0.0,0
44,2020-09-08,11068.26,-0.04765649670069072,11623.969871465106,11720.466078797945,11674.881607481828,11600.541205316993,,0,0,0,0,100000.0,0,0.0,0
45,2020-09-09,11395.85,0.02959724473404135,11547.92991431007,11661.444973561953,11640.0026565466,11581.046804810612,,0,0,0,0,100000.0,0,0.0,0
46,2020-09-10,11154.12,-0.021212107916478318,11416.659942873384,11569.20406927796,11579.267324478276,11540.387109114363,,0,0,0,0,100000.0,0,0.0,0
47,2020-09-11,11087.4,-0.005981646243719885,11306.906628582256,11481.603329409241,11517.783908918489,11497.2454796749,,0,1,0,0,100000.0,0,0.0,0
48,2020-09-14,11277.76,0.017169038728646946,11297.191085721504,11444.540905880283,11487.78092030368,11476.342100658245,,0,0,0,0,100000.0,0,0.0,0
49,2020-09-15,11438.87,0.014285638282779622,11344.417390481003,11443.50983208387,11481.667055265718,11472.773329166985,11166.463,0,0,0,0,100000.0,0,0.0,0
50,2020-09-16,11247.6,-0.01672105723729711,11312.144926987336,11407.889862614076,11452.408673357504,11451.328250198701,11169.644843137256,0,0,0,0,100000.0,0,0.0,0
51,2020-09-17,11080.95,-0.014816494185426188,11235.079951324893,11348.446251229698,11405.976339187815,11416.054131132158,11166.16661399462,0,0,0,0,100000.0,0,0.0,0
52,2020-09-18,10936.98,-0.01299256832672302,11135.713300883262,11273.63420555157,11347.351796789337,11370.428023405286,11157.178903641887,0,0,0,0,100000.0,0,0.0,0
53,2020-09-21,10980.22,0.003953559392080752,11083.882200588845,11220.286168178558,11301.460322190671,11333.265354509544,11150.239338793188,0,0,0,0,100000.0,0,0.0,0
54,2020-09-22,11186.37,0.01877466935999484,11118.044800392563,11214.119592146091,11287.07403191683,11319.275320746729,11151.656227467964,0,0,0,0,100000.0,0,0.0,0
55,2020-09-23,10833.33,-0.0315598357644169,11023.139866928377,11144.885120846799,11230.35602792723,11272.994814008947,11139.172845998635,0,0,0,0,100000.0,0,0.0,0
56,2020-09-24,10896.47,0.005828309485633731,10980.916577952252,11099.718735238292,11188.620274436324,11237.135307912857,11129.655087332021,0,0,0,0,100000.0,0,0.0,0
57,2020-09-25,11151.13,0.02337087148406769,11037.654385301505,11109.066237922236,11183.933990131785,11228.94432620687,11130.497240769982,0,0,0,0,100000.0,0,0.0,0
58,2020-09-28,11364.45,0.01912989983974733,11146.586256867671,11155.4996492091,11206.498491365313,11241.849628472883,11139.671858779004,0,0,0,0,100000.0,0,0.0,0
59,2020-09-29,11322.95,-0.0036517385355208094,11205.374171245117,11185.945167534719,11221.054929944648,11249.57347338023,11146.859236866103,0,0,0,0,100000.0,0,0.0,0
60,2020-09-30,11418.06,0.008399754480943544,11276.269447496743,11228.147864346587,11245.680563701564,11265.61980924878,11157.494560910569,0,0,0,0,100000.0,0,0.0,0
61,2020-10-01,11583.2,0.01446305239243806,11378.579631664497,11292.702798101755,11287.87049323887,11295.865541701276,11174.188891855252,0,0,0,0,100000.0,0,0.0,0
62,2020-10-02,11255.69,-0.02827457006699363,11337.616421109666,11285.973198446887,11283.847931584009,11292.039299634487,11177.385013743282,0,0,0,0,100000.0,0,0.0,0
63,2020-10-05,11509.06,0.02251039252147136,11394.764280739775,11326.53443509291,11311.999440136009,11312.707937764537,11190.391875949428,1,0,1,0,99000.0,-1000,0.08688806905168624,0
64,2020-10-06,11291.27,-0.01892335255876665,11360.26618715985,11320.122719621471,11309.40826011901,11310.666229406008,11194.347880814155,0,0,1,0,99000.0,0,0.08688806905168624,0
65,2020-10-07,11503.19,0.01876848219907945,11407.907458106567,11353.407679690295,11333.63097760413,11329.001826605438,11206.459336468504,0,0,1,0,99000.0,0,0.08688806905168624,0
66,2020-10-08,11550.94,0.0041510224555101356,11455.584972071047,11389.322647019331,11360.794605403618,11350.138795500156,11219.968382097193,0,0,1,0,99000.0,0,0.08688806905168624,0
67,2020-10-09,11725.85,0.015142490567867206,11545.673314714033,11450.509438470364,11406.426529728169,11385.92081497633,11239.80687691691,0,0,1,0,99000.0,0,0.08688806905168624,0
68,2020-10-12,12088.11,0.03089413560637388,11726.485543142693,11566.436813293933,11491.636963512146,11452.795975454776,11273.073666057424,0,0,1,0,99000.0,0,0.08688806905168624,0
69,2020-10-13,12083.17,-0.0004086660362951911,11845.380362095128,11660.388301785944,11565.578593073127,11512.831596840037,11304.842149741446,0,0,1,0,99000.0,0,0.08688806905168624,0
70,2020-10-14,11985.36,-0.008094730108075932,11892.040241396753,11719.474065097593,11618.051268938987,11557.834301902889,11331.529124261391,0,0,1,0,99000.0,0,0.08688806905168624,0
71,2020-10-15,11898.57,-0.007241334428002233,11894.216827597837,11752.036962352571,11653.116110321616,11590.28532076928,11353.76602134918,0,0,1,0,99000.0,0,0.08688806905168624,0
72,2020-10-16,11852.17,-0.0038996282746581725,11880.201218398559,11770.24296919756,11677.997846531409,11615.226718791253,11373.311275413918,0,0,1,0,99000.0,0,0.08688806905168624,0
73,2020-10-19,11634.35,-0.018378069163705886,11798.250812265707,11745.535156616184,11672.541865714986,11617.047983668277,11383.548088142783,0,0,1,0,99000.0,0,0.08688806905168624,0
74,2020-10-20,11677.84,0.0037380687361132647,11758.113874843806,11733.226946322331,11673.204132500612,11622.837699509391,11395.088947431304,0,0,1,0,99000.0,0,0.08688806905168624,0
75,2020-10-21,11665.37,-0.0010678344625375538,11727.199249895872,11720.889319718272,11672.224865938037,11626.888394794212,11405.68820439478,0,0,1,0,99000.0,0,0.08688806905168624,0
