date,close,ROI,SMA_5,SMA_10,SMA_15,SMA_20,SMA_50,Entry_signal_long_4,Exit_signal_long_4,Entry_signal_short_4,Exit_signal_short_4
2020-10-22 17:00:00,1903.88,-0.0013480552860027915,1904.6300000000049,1905.4080000000067,1906.9833333333343,1905.8344999999986,1903.1114000000011,0,0,0,0
2020-10-22 18:00:00,1906.45,0.0007926758848046943,1905.2580000000048,1905.9040000000064,1907.4393333333344,1905.8029999999985,1903.1420000000005,0,0,0,1
2020-10-22 19:00:00,1904.94,0.0008564027930291207,1905.2780000000046,1906.3710000000065,1907.240000000001,1905.5924999999984,1903.1540000000011,0,1,0,0
2020-10-22 20:00:00,1903.31,-0.0006615666528402286,1905.4800000000046,1906.8020000000065,1906.7786666666682,1905.5314999999985,1903.2340000000013,0,0,0,0
2020-10-22 21:00:00,1904.57,-0.001284726956193416,1905.8020000000047,1907.5390000000064,1906.476666666668,1905.4684999999986,1903.3218000000013,0,0,0,0
2020-10-22 22:00:00,1907.02,0.00024651858068236443,1906.1860000000045,1908.1600000000064,1906.2360000000006,1904.9269999999985,1903.3852000000013,0,0,0,1
2020-10-22 23:00:00,1906.55,0.0003148036412288225,1906.5500000000045,1908.5300000000063,1905.9846666666674,1904.5079999999987,1903.4004000000011,0,0,0,0
2020-10-23 00:00:00,1905.95,0.0005407051214749714,1907.4640000000045,1908.2210000000064,1905.6973333333344,1904.1909999999984,1903.4400000000005,0,0,0,0
2020-10-23 01:00:00,1904.92,-0.0008235028770148256,1908.124000000004,1907.4280000000065,1905.5486666666682,1903.7759999999987,1903.4064000000005,0,0,1,0
2020-10-23 02:00:00,1906.49,-0.0012311141845309235,1909.276000000004,1906.8140000000064,1905.3573333333343,1903.4849999999988,1903.3354000000013,0,0,0,0
2020-10-23 03:00:00,1908.84,-0.0011930177068943948,1910.1340000000046,1906.2610000000054,1904.5073333333344,1903.0814999999989,1903.224200000001,0,0,0,0
2020-10-23 04:00:00,1911.12,0.0009794421893412064,1910.5100000000045,1905.7020000000061,1903.8273333333343,1902.5179999999991,1903.065800000001,0,0,0,1
2020-10-23 05:00:00,1909.25,-0.0007484246446292088,1908.978000000004,1904.8140000000064,1903.1000000000008,1901.8229999999992,1902.9034000000008,0,0,0,0
