date,date,open,high,low,close,SMA_5,SMA_10,SMA_15,SMA_20,SMA_50,EMA_5,EMA_10,EMA_15,EMA_20,EMA_50,RSI_4,RSI_6,RSI_14,BBL_12_1.0,BBM_12_1.0,BBU_12_1.0,BBB_12_1.0,BBP_12_1.0,BBL_20_1.0,BBM_20_1.0,BBU_20_1.0,BBB_20_1.0,BBP_20_1.0,BBL_12_2.0,BBM_12_2.0,BBU_12_2.0,BBB_12_2.0,BBP_12_2.0,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,MACD_8_21_9,MACDh_8_21_9,MACDs_8_21_9,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ROI
2020-07-07,2020-07-07,10595.94,10704.93,10516.63,10524.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-08,2020-07-08,10594.41,10669.13,10528.82,10666.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01355851999380464
2020-07-09,2020-07-09,10745.87,10785.96,10574.97,10754.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008239661751056948
2020-07-10,2020-07-10,10751.77,10842.78,10639.48,10836.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007600475703862131
2020-07-13,2020-07-13,10951.54,11069.26,10574.56,10602.21,10676.768,,,,,10676.768,,,,,42.20122227121169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02160510061985943
2020-07-14,2020-07-14,10502.85,10701.88,10370.79,10689.52,10709.869999999999,,,,,10681.018666666667,,,,,55.1041684041135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008235075517274426
2020-07-15,2020-07-15,10752.11,10780.4,10570.96,10701.68,10716.866,,,,,10687.905777777778,,,,,56.89124842261904,58.79105069348961,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00113756277176158
2020-07-16,2020-07-16,10589.86,10658.9,10495.09,10626.46,10691.24,,,,,10667.423851851852,,,,,42.82998384590737,47.844811350735505,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007028802954302638
2020-07-17,2020-07-17,10651.59,10680.7,10558.78,10645.22,10653.018,,,,,10660.022567901235,,,,,47.17190661616944,50.59765792662292,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001765404471479659
2020-07-20,2020-07-20,10672.96,10971.52,10621.9,10952.08,10722.992,10699.880000000001,,,,10757.37504526749,10699.880000000001,,,,80.11274947906887,75.73597001595192,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028826083444024597
2020-07-21,2020-07-21,11015.54,11017.43,10800.87,10833.07,10751.702,10730.786,,,,10782.606696844994,10724.096363636365,,,,60.5794024179287,61.23457713795186,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.010866429025354063
