date,close,ROI,BBL_12_1.0,BBU_12_1.0,BBM_12_1.0,BBL_20_1.0,BBU_20_1.0,BBM_20_1.0,BBL_12_2.0,BBU_12_2.0,BBM_12_2.0,BBL_20_2.0,BBU_20_2.0,BBM_20_2.0
2020-07-30,10715.51,-0.017455721133920354,10908.386949375623,11219.398050624395,11063.892500000009,10953.699891791877,11558.808108208132,11256.254000000004,10752.881398751235,11374.903601248783,11063.892500000009,10651.145783583752,11861.362216416257,11256.254000000004
2020-07-31,10905.88,-0.013496057920883486,10988.158497388838,11235.136502611178,11111.647500000008,11007.089952116035,11626.483047883976,11316.786500000006,10864.669494777669,11358.625505222348,11111.647500000008,10697.393404232065,11936.179595767946,11316.786500000006
2020-08-03,11055.08,-0.003736299783536179,11022.106119344451,11283.380547322231,11152.743333333341,11042.394645618491,11700.17535438152,11371.285000000005,10891.46890535556,11414.017761311123,11152.743333333341,10713.504291236977,12029.065708763033,11371.285000000005
2020-08-04,11096.54,-0.002597650070469082,11039.893051335068,11309.52028199828,11174.706666666674,11065.249179714312,11782.8828202857,11424.066000000006,10905.07943600346,11444.333897329889,11174.706666666674,10706.432359428616,12141.699640571396,11424.066000000006
2020-08-05,11125.44,-0.01257113644351504,11048.832485086494,11363.999181580186,11206.41583333334,11085.054022538226,11882.709977461787,11483.882000000007,10891.249136839648,11521.582529827032,11206.41583333334,10686.226045076446,12281.537954923568,11483.882000000007
2020-08-06,11267.08,0.01146292570778118,11058.122413017587,11426.329253649092,11242.22583333334,11108.111315366243,11989.16268463377,11548.637000000006,10874.018992701835,11610.432673964844,11242.22583333334,10667.585630732478,12429.688369267535,11548.637000000006
2020-08-07,11139.39,0.004891219530237079,11057.063402725189,11487.236597274828,11272.150000000009,11135.86478291868,12011.838217081337,11573.851500000008,10841.97680545037,11702.323194549648,11272.150000000009,10697.878065837353,12449.824934162663,11573.851500000008
2020-08-10,11085.17,0.01922475744937513,11074.77558746622,11566.594412533801,11320.68500000001,11172.069243650694,12023.907756349323,11597.988500000009,10828.86617493243,11812.503825067592,11320.68500000001,10746.149987301378,12449.827012698639,11597.988500000009
2020-08-11,10876.08,-0.025241716049515417,11097.88530133921,11691.279698660808,11394.58250000001,11170.136762031341,12024.149237968673,11597.143000000007,10801.18810267841,11987.976897321609,11394.58250000001,10743.130524062673,12451.155475937341,11597.143000000007
2020-08-12,11157.72,-0.00184731763217727,11197.617998597118,11766.560334736238,11482.089166666678,11227.668334022514,12018.594665977504,11623.131500000009,10913.146830527556,12051.0315028058,11482.089166666678,10832.205168045019,12414.057831954999,11623.131500000009
2020-08-13,11178.37,0.0012468146661950286,11251.878997910506,11851.987668756181,11551.933333333343,11227.26459080525,12018.638409194768,11622.951500000008,10951.824662487668,12152.042004179018,11551.933333333343,10831.57768161049,12414.325318389527,11622.951500000008
2020-08-14,11164.45,-0.010995192482307181,11314.75484643053,11944.500153569494,11629.627500000011,11216.857079835208,12019.94892016481,11618.40300000001,10999.882192861047,12259.372807138976,11629.627500000011,10815.311159670408,12421.494840329611,11618.40300000001
2020-08-17,11288.57,-0.009690298209584558,11392.277405208168,12055.045928125184,11723.661666666676,11228.509883447221,12019.627116552796,11624.068500000008,11060.893143749661,12386.43018958369,11723.661666666676,10832.951266894435,12415.185733105582,11624.068500000008
2020-08-18,11399.03,0.007102443403094405,11461.554848200387,12174.430151799632,11817.99250000001,11241.342312780054,12021.824687219962,11631.583500000008,11105.117196400766,12530.867803599253,11817.99250000001,10851.1011255601,12412.065874439915,11631.583500000008
2020-08-19,11318.64,-0.01380232725308328,11516.999915688444,12181.041750978242,11849.020833333343,11227.601052575697,12020.422947424318,11624.012000000008,11184.978998043543,12513.062668623143,11849.020833333343,10831.190105151389,12416.833894848627,11624.012000000008
2020-08-20,11477.05,-0.006759750622232885,11576.575222174637,12172.048111158714,11874.311666666676,11202.729315486644,12021.525684513372,11612.127500000008,11278.838777682598,12469.784555650753,11874.311666666676,10793.33113097328,12430.923869026736,11612.127500000008
2020-08-21,11555.16,-0.0061077723790380345,11476.790999364142,12203.700667302544,11840.245833333343,11149.383551442137,12020.86444855788,11585.124000000009,11113.336165394941,12567.155501271745,11840.245833333343,10713.643102884263,12456.604897115754,11585.124000000009
2020-08-24,11626.17,-0.008159149482886985,11449.5153271042,12204.42467289582,11826.97000000001,11100.075608407331,12012.678391592688,11556.37700000001,11072.060654208391,12581.879345791629,11826.97000000001,10643.774216814652,12468.979783185367,11556.37700000001
2020-08-25,11721.81,-0.02089302151531003,11365.405767864868,12209.85923213515,11787.632500000009,11071.082442067547,11997.691557932469,11534.387000000008,10943.179035729727,12632.08596427029,11787.632500000009,10607.777884135086,12460.99611586493,11534.387000000008
2020-08-26,11971.94,0.0038386203103095706,11266.355425094016,12203.174574906001,11734.765000000009,11003.5553923174,11976.370607682615,11489.963000000007,10797.945850188025,12671.584149811992,11734.765000000009,10517.147784634792,12462.778215365222,11489.963000000007
2020-08-27,11926.16,-0.005809509121904699,11197.719680992972,12156.113652340382,11676.916666666677,10946.43364342753,11925.945356572485,11436.189500000008,10718.522695319267,12635.310638014087,11676.916666666677,10456.67778685505,12415.701213144965,11436.189500000008
2020-08-28,11995.85,-0.009483349434797339,11159.512696891437,12113.105636441913,11636.309166666675,10917.93664527283,11876.939354727185,11397.438000000007,10682.716227116198,12589.902106217152,11636.309166666675,10438.435290545653,12356.440709454362,11397.438000000007
2020-08-31,12110.7,-0.01481835797365294,11099.53168406794,12048.378315932077,11573.955000000009,10907.520428889293,11824.215571110723,11365.868000000008,10625.108368135872,12522.801631864146,11573.955000000009,10449.172857778578,12282.563142221437,11365.868000000008
2020-09-01,12292.86,-0.010279746291224079,11026.677872888698,11949.60712711132,11488.142500000009,10902.985818103758,11749.97518189626,11326.480500000009,10565.213245777388,12411.07175422263,11488.142500000009,10479.491136207509,12173.469863792508,11326.480500000009
2020-09-02,12420.54,0.05514821129571157,10965.55684703293,11784.748152967091,11375.152500000011,10924.099726707163,11641.38127329285,11282.740500000007,10555.961194065849,12194.343805934173,11375.152500000011,10565.45895341432,12000.022046585695,11282.740500000007
2020-09-03,11771.37,0.012841019675395193,10996.508103136908,11513.74356352978,11255.125833333344,10989.093293402262,11492.653706597752,11240.873500000007,10737.890372940474,11772.361293726215,11255.125833333344,10737.31308680452,11744.433913195495,11240.873500000007
2020-09-04,11622.13,0.050041289236067765,11005.148912783992,11407.602753882697,11206.375833333344,10996.244580708595,11433.93441929142,11215.089500000007,10803.921992234638,11608.82967443205,11206.375833333344,10777.399661417183,11652.779338582832,11215.089500000007
2020-09-08,11068.26,-0.028746429621309577,10959.766796213005,11321.518203787013,11140.642500000009,11000.419969353321,11418.452030646693,11209.436000000007,10778.891092426,11502.393907574018,11140.642500000009,10791.403938706637,11627.468061293377,11209.436000000007
2020-09-09,11395.85,0.021671812747217967,10932.842373466578,11319.810959866772,11126.326666666675,11013.559195945987,11427.613804054026,11220.586500000007,10739.35808026648,11513.29525306687,11126.326666666675,10806.531891891967,11634.641108108046,11220.586500000007
2020-09-10,11154.12,0.0060176416472754735,10931.478439328,11280.388227338683,11105.933333333342,11012.841577607145,11439.065422392869,11225.953500000007,10757.023545322661,11454.843121344022,11105.933333333342,10799.729655214283,11652.17734478573,11225.953500000007
2020-09-11,11087.4,-0.016879238430326682,10933.819553905923,11313.102112760764,11123.460833333344,11021.54135290085,11470.047647099165,11245.794500000007,10744.178274478503,11502.743392188184,11123.460833333344,10797.288205801691,11694.300794198323,11245.794500000007
2020-09-14,11277.76,-0.014084433165164056,10945.496786737858,11340.683213262164,11143.090000000011,11032.716081524964,11522.717918475051,11277.717000000008,10747.903573475707,11538.276426524315,11143.090000000011,10787.715163049921,11767.718836950095,11277.717000000008
2020-09-15,11438.87,0.017005405597638745,10944.737080844232,11364.826252489122,11154.781666666677,11013.50105241242,11622.967947587595,11318.234500000008,10734.692495021785,11574.870838311568,11154.781666666677,10708.767604824836,11927.70139517518,11318.234500000008
2020-09-16,11247.6,0.015039324245664787,10935.920337358652,11397.697995974706,11166.809166666679,11001.450610068601,11699.448389931415,11350.449500000008,10705.031508050624,11628.586825282733,11166.809166666679,10652.451720137195,12048.447279862821,11350.449500000008
2020-09-17,11080.95,0.013163597263595728,10936.32550526175,11398.64116140494,11167.483333333344,11011.801173999465,11762.873826000552,11387.337500000009,10705.167677190155,11629.798989476534,11167.483333333344,10636.26484799892,12138.410152001097,11387.337500000009
2020-09-18,10936.98,-0.003937990313490958,10954.218360140756,11452.099973192599,11203.159166666677,11043.402525084466,11813.03447491555,11428.218500000008,10705.277553614835,11701.04077971852,11203.159166666677,10658.586550168924,12197.850449831092,11428.218500000008
2020-09-21,10980.22,-0.018428677041792962,10997.554968031141,11467.811698635542,11232.683333333342,11096.303374643958,11851.652625356059,11473.978000000008,10762.426602728943,11702.94006393774,11232.683333333342,10718.62874928791,12229.327250712107,11473.978000000008
2020-09-22,11186.37,0.03258831771948256,11043.731962935759,11508.796370397591,11276.264166666675,11146.081770415378,11867.28722958464,11506.684500000008,10811.199759204843,11741.328574128507,11276.264166666675,10785.479040830747,12227.88995916927,11506.684500000008
2020-09-23,10833.33,-0.005794537129914512,11063.358151851977,11549.931848148042,11306.64500000001,11176.94116800097,11885.574831999047,11531.258000000009,10820.071303703942,11793.218696296077,11306.64500000001,10822.624336001933,12239.891663998085,11531.258000000009
2020-09-24,10896.47,-0.022837147446043593,11160.197492354644,11601.845840978709,11381.021666666677,11258.172524407672,11887.547475592348,11572.86000000001,10939.373318042612,11822.670015290742,11381.021666666677,10943.485048815335,12202.234951184684,11572.86000000001
2020-09-25,11151.13,-0.018770816009573865,11231.099610059715,11729.550389940305,11480.32500000001,11339.465236156431,11882.898763843588,11611.18200000001,10981.874220119422,11978.775779880598,11480.32500000001,11067.748472312855,12154.615527687165,11611.18200000001
2020-09-28,11364.45,0.0036651226049748686,11277.426187487774,11838.563812512246,11557.99500000001,11388.718822068708,11887.789177931312,11638.25400000001,10996.857374975538,12119.132625024482,11557.99500000001,11139.183644137407,12137.324355862613,11638.25400000001
2020-09-29,11322.95,-0.00832978632096859,11311.414736320257,11908.060263679763,11609.73750000001,11401.922830354972,11888.592169645046,11645.257500000009,11013.091972640506,12206.383027359514,11609.73750000001,11158.588160709935,12131.926839290083,11645.257500000009
2020-09-30,11418.06,-0.014256854755162807,11363.438361388726,11951.97330527796,11657.705833333343,11427.418383271792,11890.696616728224,11659.057500000008,11069.170889444109,12246.240777222576,11657.705833333343,11195.779266543575,12122.33573345644,11659.057500000008
2020-10-01,11583.2,0.029097283240743232,11405.121197959728,11982.642135373626,11693.881666666677,11391.461771428685,11899.123228571332,11645.292500000009,11116.36072925278,12271.402604080575,11693.881666666677,11137.631042857363,12152.953957142654,11645.292500000009
2020-10-02,11255.69,-0.022014830055625656,11410.791951323108,11985.496382010248,11698.144166666678,11371.655584068458,11895.683415931557,11633.669500000007,11123.43973597954,12272.848597353815,11698.144166666678,11109.641668136908,12157.697331863106,11633.669500000007
