date,close,ROI,SMA_5,SMA_10,SMA_15,SMA_20,SMA_50
2020-10-22 17:00:00,1903.88,,,,,,
2020-10-22 18:00:00,1906.45,0.0013498749921212472,,,,,
2020-10-22 19:00:00,1904.94,-0.0007920480474179481,,,,,
2020-10-22 20:00:00,1903.31,-0.0008556699948555346,,,,,
2020-10-22 21:00:00,1904.57,0.0006620046130163537,1904.6299999999999,,,,
2020-10-22 22:00:00,1907.02,0.0012863796027449137,1905.2580000000003,,,,
2020-10-22 23:00:00,1906.55,-0.0002464578242493687,1905.2779999999998,,,,
2020-10-23 00:00:00,1905.95,-0.00031470457108384586,1905.48,,,,
2020-10-23 01:00:00,1904.92,-0.0005404129174427785,1905.8020000000001,,,,
2020-10-23 02:00:00,1906.49,0.0008241815929277418,1906.1860000000001,1905.4080000000001,,,
2020-10-23 03:00:00,1908.84,0.001232631694894737,1906.55,1905.904,,,
2020-10-23 04:00:00,1911.12,0.0011944426981831402,1907.464,1906.3709999999999,,,
2020-10-23 05:00:00,1909.25,-0.0009784838210054048,1908.1239999999998,1906.8020000000001,,,
2020-10-23 06:00:00,1910.68,0.0007489852036139943,1909.2759999999998,1907.539,,,
2020-10-23 07:00:00,1910.78,5.233738773635643e-05,1910.134,1908.1599999999999,1906.9833333333333,,
2020-10-23 08:00:00,1910.72,-3.1400789206492696e-05,1910.5099999999998,1908.53,1907.4393333333333,,
2020-10-23 09:00:00,1903.46,-0.0037996148048903278,1908.9779999999998,1908.221,1907.24,,
2020-10-23 10:00:00,1898.02,-0.0028579534111565774,1906.732,1907.4279999999999,1906.7786666666666,,
2020-10-23 11:00:00,1898.78,0.0004004172769518366,1904.352,1906.8139999999999,1906.4766666666665,,
2020-10-23 12:00:00,1900.96,0.0011481056257176547,1902.3880000000001,1906.2609999999997,1906.2359999999999,1905.8344999999997,
2020-10-23 13:00:00,1903.25,0.0012046544903627776,1900.8940000000002,1905.7019999999998,1905.9846666666665,1905.8029999999999,
2020-10-23 14:00:00,1902.24,-0.0005306712202810537,1900.65,1904.8139999999999,1905.6973333333333,1905.5925,
2020-10-23 15:00:00,1903.72,0.0007780301118680555,1901.7899999999997,1904.261,1905.5486666666666,1905.5314999999998,
2020-10-23 16:00:00,1902.05,-0.0008772298447251581,1902.4439999999995,1903.398,1905.3573333333334,1905.4685000000002,
2020-10-25 18:00:00,1893.74,-0.004368970321495191,1900.9999999999993,1901.6940000000002,1904.5073333333335,1904.9270000000001,
2020-10-25 19:00:00,1898.64,0.0025874724090952927,1900.077999999999,1900.486,1903.8273333333334,1904.5080000000003,
2020-10-25 20:00:00,1900.21,0.0008269076812876808,1899.6719999999991,1900.161,1903.1,1904.191,
2020-10-25 21:00:00,1897.65,-0.0013472195178427793,1898.4579999999992,1900.1240000000003,1902.3266666666668,1903.7760000000003,
2020-10-25 22:00:00,1899.1,0.0007641029694620549,1897.8679999999993,1900.1560000000002,1901.5546666666667,1903.4850000000001,
2020-10-25 23:00:00,1898.42,-0.0003580643462691713,1898.8039999999994,1899.9020000000005,1900.7306666666666,1903.0815000000002,
2020-10-26 00:00:00,1897.57,-0.00044774075283660064,1898.5899999999995,1899.3340000000003,1899.8539999999998,1902.5180000000005,
2020-10-26 01:00:00,1897.22,-0.00018444642358383945,1897.991999999999,1898.8320000000003,1899.4379999999999,1901.8230000000003,
2020-10-26 02:00:00,1897.86,0.00033733568062732644,1898.0339999999992,1898.2460000000003,1899.4273333333333,1901.2535000000003,
2020-10-26 03:00:00,1900.49,0.0013857713424594298,1898.3119999999992,1898.0900000000006,1899.5413333333336,1900.7440000000001,
2020-10-26 04:00:00,1898.53,-0.0010313129771796214,1898.3339999999994,1898.5690000000002,1899.3793333333335,1900.1315000000002,
2020-10-26 05:00:00,1902.82,0.0022596429869425894,1899.3839999999993,1898.9870000000003,1899.3506666666667,1899.7365000000002,
