date,close,ROI,EMA_5,EMA_10,EMA_15,EMA_20,EMA_50
2020-10-22 17:00:00,1903.88,-0.0013480552860027917,1904.9804741422663,1905.405694348436,1905.3781713543149,1905.1530146247655,1903.451444241572
2020-10-22 18:00:00,1906.45,0.0007926758848046944,1905.530711213399,1905.7447375369775,1905.5921958335025,1905.2870161642145,1903.4339521697993
2020-10-22 19:00:00,1904.94,0.0008564027930291207,1905.0710668200982,1905.588012545195,1905.4696523811456,1905.1645968130792,1903.31084817673
2020-10-22 20:00:00,1903.31,-0.0006615666528402286,1905.136600230147,1905.732015333016,1905.5453170070234,1905.1882385828771,1903.2443521839432
2020-10-22 21:00:00,1904.57,-0.001284726956193416,1906.0499003452203,1906.2702409625754,1905.8646480080267,1905.3859479073906,1903.2416726812469
2020-10-22 22:00:00,1907.02,0.00024651858068236443,1906.7898505178305,1906.6480722875924,1906.049597723459,1905.4718371608,1903.187455239665
2020-10-22 23:00:00,1906.55,0.00031480364122882243,1906.6747757767457,1906.5654216848352,1905.9109688268104,1905.3088726514106,1903.031024841284
2020-10-23 00:00:00,1905.95,0.0005407051214749714,1906.7371636651185,1906.5688487259101,1905.819678659212,1905.1782276673487,1902.8873932021527
2020-10-23 01:00:00,1904.92,-0.0008235028770148256,1907.1307454976775,1906.7063706650015,1905.8010613248136,1905.0969884744381,1902.762388843057
2020-10-23 02:00:00,1906.49,-0.0012311141845309237,1908.2361182465158,1907.1033419238906,1905.9269272283584,1905.1156188401685,1902.674323081549
2020-10-23 03:00:00,1908.84,-0.0011930177068943948,1909.1091773697735,1907.2396401292,1905.846488260981,1904.9709471391336,1902.51858116651
2020-10-23 04:00:00,1911.12,0.0009794421893412064,1909.24376605466,1906.8840046023558,1905.4188437268353,1904.5636784169371,1902.2605640712657
2020-10-23 05:00:00,1909.25,-0.0007484246446292087,1908.30564908199,1905.9426722917683,1904.6043928306688,1903.8735393029306,1901.8989544415213
2020-10-23 06:00:00,1910.68,-5.233464867748783e-05,1907.833473622985,1905.207710578828,1903.9407346636215,1903.30759607166,1901.5989117656648
2020-10-23 07:00:00,1910.78,3.140177524696419e-05,1906.4102104344774,1903.9916462630122,1902.9779824727102,1902.5315535528875,1901.2282551030387
2020-10-23 08:00:00,1910.72,0.0038141069420949414,1904.2253156517163,1902.4831232103481,1901.8634085402402,1901.6632960321388,1900.838387964387
2020-10-23 09:00:00,1903.46,0.002866144719233743,1900.9779734775743,1900.652706145981,1900.598181188846,1900.7099587723637,1900.4350568608925
2020-10-23 10:00:00,1898.02,-0.0004002570071308664,1899.7369602163612,1900.0288630673103,1900.1893499301095,1900.420480748402,1900.31158979399
2020-10-23 11:00:00,1898.78,-0.0011467889908257645,1900.5954403245419,1900.4752770822683,1900.4992570629822,1900.6731629324445,1900.4051240712954
2020-10-23 12:00:00,1900.96,-0.001203205044003619,1901.5031604868127,1900.8520053227726,1900.7448652148369,1900.8724432411227,1900.4714556660422
2020-10-23 13:00:00,1903.25,0.0005309529817478786,1901.7747407302186,1900.828006505611,1900.7141316740995,1900.863226740188,1900.4515150809827
2020-10-23 14:00:00,1902.24,-0.0007774252516126179,1901.0371110953274,1900.2897857290804,1900.3518647703995,1900.6119874496815,1900.337291206737
2020-10-23 15:00:00,1903.72,0.0008780000525749898,1900.435666642991,1899.8564047799873,1900.082131166171,1900.4406177075425,1900.2596296233387
2020-10-23 16:00:00,1902.05,0.004388141983588056,1898.7934999644865,1898.9978280644289,1899.5624356184812,1900.0954195714944,1900.118390016128
2020-10-25 18:00:00,1893.74,-0.002580794674082565,1897.1652499467295,1898.319567634302,1899.2070692782643,1899.8896742632307,1900.0395487922965
2020-10-25 19:00:00,1898.64,-0.0008262244699269727,1898.8778749200942,1899.3372493308138,1899.988079175159,1900.5370083962023,1900.2966732327984
2020-10-25 20:00:00,1900.21,0.001349036966774575,1898.996812380141,1899.4921936265503,1900.1806619144677,1900.7366934905392,1900.3642925484228
2020-10-25 21:00:00,1897.65,-0.0007635195618976853,1898.3902185702111,1899.332681099117,1900.1764707593916,1900.792134910596,1900.3705902034603
2020-10-25 22:00:00,1899.1,0.0003581926022691029,1898.7603278553165,1899.7066102322544,1900.5373951535905,1901.1228859538164,1900.4816347015606
2020-10-25 23:00:00,1898.42,0.0004479413144180544,1898.5904917829746,1899.841412506089,1900.7427373183891,1901.335821317376,1900.5380279546853
2020-10-26 00:00:00,1897.57,0.0001844804503430275,1898.6757376744617,1900.1572819518865,1901.0745569353019,1901.6427498770997,1900.6244780752845
2020-10-26 01:00:00,1897.22,-0.00033722192364027403,1899.2286065116923,1900.7322334967503,1901.5752079260594,1902.0714603904785,1900.7491506497859
2020-10-26 02:00:00,1897.86,-0.0013838536377460686,1900.2329097675383,1901.5127298293614,1902.197380486925,1902.5821404315814,1900.8931976150832
2020-10-26 03:00:00,1900.49,0.0010323776816800745,1901.4193646513074,1902.3244475692197,1902.8170062707716,1903.079207845432,1901.0170015993722
2020-10-26 04:00:00,1898.53,-0.0022545485122081876,1901.884046976961,1902.7321025846022,1903.1494357380247,1903.3517560396879,1901.0385118687343
2020-10-26 05:00:00,1902.82,-0.0010185010185010945,1903.5610704654414,1903.6659031589584,1903.809355129171,1903.8593093070235,1901.1409001082743
2020-10-26 06:00:00,1904.76,0.0004359403969682596,1903.931605698162,1903.853881638727,1903.9506915761956,1903.9687102867101,1901.0723654188162
2020-10-26 07:00:00,1903.93,0.001277938469629314,1903.5174085472427,1903.6525220028886,1903.8350760870806,1903.8854166326796,1900.9218497216248
2020-10-26 08:00:00,1901.5,-0.001952530416434839,1903.3111128208639,1903.5908602257527,1903.821515528092,1903.880723646646,1900.7990680776093
2020-10-26 09:00:00,1905.22,0.0008142167497517949,1904.2166692312956,1904.0554958314758,1904.1531606035337,1904.1313261357666,1900.7704586113894
2020-10-26 10:00:00,1903.67,-0.00042531294631598104,1903.7150038469433,1903.7967171273594,1904.000754975467,1904.0167288869,1900.5888446771603
2020-10-26 11:00:00,1904.48,0.00014179108396650264,1903.7375057704148,1903.824876488995,1904.048005686248,1904.0532266644684,1900.4630832354117
2020-10-26 12:00:00,1904.21,0.0008041289129017137,1903.3662586556222,1903.6792934865496,1903.986292212855,1904.008303155465,1900.299127449102
