date,close,ROI,RSI_2,RSI_6,RSI_14,Entry_signal_long_7,Exit_signal_long_7,Entry_signal_short_7,Exit_signal_short_7
2021-05-11,13351.27,0.02689201277070663,73.75021509339706,50.549796396705865,40.807520510499785,0,0,0,0
2021-05-10,13359.08,0.0005849630784187099,74.55059251644592,51.02654874268009,41.113861099932755,0,0,0,0
2021-05-07,13719.63,0.02698913398228009,93.32951822831235,68.07670025282064,53.16454962852497,0,0,0,0
2021-05-06,13613.73,-0.007718867053994827,65.10765975947051,60.636061453186166,49.932365685084626,0,0,0,0
2021-05-05,13503.37,-0.008106521871669159,39.93724345195756,53.34482772347373,46.743092055449296,0,0,0,0
2021-05-04,13544.67,0.0030584957680934717,53.416327774643364,55.73510916354564,48.079597502942526,0,0,0,0
2021-05-03,13799.72,0.018830285270885042,87.64945396141809,67.91630942941072,55.50567339368219,0,0,0,0
2021-04-30,13860.76,0.004423278153469878,90.86327990798605,70.26621958788084,57.087570796542536,0,0,0,0
2021-04-29,13970.21,0.007896392405611241,95.27374600403972,74.31423318071433,59.84437539517654,0,0,0,0
2021-04-28,13901.62,-0.004909732924558653,59.35987708196501,67.41249447717725,57.35756150521622,0,0,0,0
2021-04-27,13960.28,0.0042196520981008226,75.29120037711219,70.24820674199478,58.929431415010995,0,0,0,0
2021-04-26,14026.16,0.004719103055239593,86.86064359028755,73.37109941025844,60.682336826239975,0,0,0,0
2021-04-23,13941.44,-0.006040142134411619,39.405662883388246,63.143247577072714,57.295713183129024,0,0,0,0
2021-04-22,13762.36,-0.012845158032455785,11.906221910766304,46.648674091640615,50.8372061568015,0,0,0,0
2021-04-21,13935.15,0.012555259417716071,62.46036671367995,59.03800911414175,55.99185698999178,0,0,0,0
2021-04-20,13809.3,-0.009031119148340759,34.02088241783528,49.07712753828525,51.737015657215785,0,0,0,0
2021-04-19,13907.67,0.007123460276770022,61.45624324045399,56.034825501038114,54.638624388353215,0,0,0,0
2021-04-16,14041.91,0.00965222787138309,81.94578070053628,64.07325289684705,58.3211389623861,0,0,0,0
2021-04-15,14026.19,-0.0011195058222136511,72.8729081949806,62.46825844686883,57.7301003529292,0,0,0,0
2021-04-14,13803.91,-0.0158474967186385,17.640100885076762,43.836262732146956,50.01221266699913,0,0,0,0
2021-04-13,13986.49,0.013226687221229437,63.31615955550861,56.59650090558143,55.298554109892684,0,0,0,0
2021-04-12,13819.35,-0.011950103278234871,31.416435892814626,45.29238893254009,50.07763476646642,0,0,0,0
2021-04-09,13845.05,0.001859711202046421,40.61705054762465,47.236903131371214,50.84610762102365,0,0,0,0
2021-04-08,13758.5,-0.006251331703388541,21.337328248895613,41.303959177968814,48.15756732214859,0,0,0,0
2021-04-07,13616.7,-0.010306356070792557,8.350021027242192,33.12443995658855,44.04814908307225,0,0,0,0
2021-04-06,13578.46,-0.002808316258711807,6.286318467115202,31.12949434686155,42.982931870951454,0,1,1,0
2021-04-05,13598.16,0.001450827266125998,25.30671029866129,33.601614765062145,43.737781404535845,0,0,0,0
2021-04-01,13329.51,-0.01975634938844661,3.872114747380521,21.167627843970976,36.618154107380775,0,0,0,0
2021-03-31,13091.44,-0.01786037146151653,1.5481266289499862,15.190215006992814,31.69450599076466,0,0,0,0
2021-03-30,12896.53,-0.014888354527844094,0.7807958435563219,11.89124074164256,28.33532855226472,0,0,0,0
2021-03-29,12965.74,0.005366559842066021,26.61293555428432,19.35422617511689,31.12671006423031,0,0,0,0
2021-03-26,12979.12,0.0010319503553211096,33.32484285071204,20.908374693904268,31.680734879155175,1,0,0,1
2021-03-25,12780.51,-0.015302270107680703,8.969871111622089,15.565268864665097,28.07106887249877,0,0,0,0
2021-03-24,12798.88,0.0014373448320919024,19.810952729784862,17.89409561961447,28.87824253096171,0,0,0,0
2021-03-23,13017.79,0.01710384033602952,79.10874153288077,41.11804088162722,37.83138858193397,0,0,0,0
2021-03-22,13086.51,0.005278929833712143,85.73264982943223,46.787882735002576,40.369125518229055,0,0,0,0
2021-03-19,12866.99,-0.016774525828505915,28.335010721075662,34.17383221290003,35.3982503538083,0,0,0,0
2021-03-18,12789.14,-0.006050366091836622,19.21204709576308,30.656528164195176,33.808326255712565,0,0,0,0
2021-03-17,13202.38,0.032311789533932656,81.71437205758143,58.11589239837104,47.331384460396606,0,0,0,0
2021-03-16,13152.28,-0.0037947703368633725,68.80675645653777,54.9501856701251,46.10165900012965,0,0,0,0
2021-03-15,13082.54,-0.005302502683945276,47.79023099920548,50.36719477188021,44.37339334717963,0,0,0,0
2021-03-12,12937.29,-0.011102584054778377,21.03153360059569,41.67928114574646,40.931696809947475,0,0,0,0
2021-03-11,13052.9,0.008936183698440514,58.246968908553455,49.928598069092075,44.613954953741754,0,0,0,0
2021-03-10,12752.07,-0.02304698572730968,16.87050919506639,34.632370704364554,37.9793159153549,0,0,0,0
2021-03-09,12794.49,0.003326518753425933,30.74482951921813,37.85402355515062,39.348994866717206,0,0,0,0
2021-03-08,12299.08,-0.03872057424719544,6.276570051652841,22.38951668384476,30.79542789114397,0,0,0,0
2021-03-05,12668.51,0.030037206034922995,57.14401138573768,43.166309988994676,41.080850906013495,0,0,0,0
2021-03-04,12464.0,-0.016143177058707048,35.694870119982404,36.648802297592944,37.73717745863426,0,0,0,0
2021-03-03,12683.33,0.017597079589216857,64.37596697817432,46.9559408451553,43.08727814610528,0,0,0,0
2021-03-02,13059.95,0.029694094531956594,85.92904001240332,60.27408656140985,50.89072841764258,0,0,0,0
2021-03-01,13282.95,0.01707510365659903,91.80238186659015,66.28820079738956,54.83916729455276,0,0,0,0
2021-02-26,12909.44,-0.02811950658550999,38.278693984646274,50.82351513324049,47.89340808577374,0,0,0,0
2021-02-25,12828.31,-0.006284548361509157,30.54280487488645,47.91016286242104,46.51528353378704,0,0,0,0
2021-02-24,13302.19,0.03694017372514402,79.33349833372516,62.84041904198513,54.71244019485231,0,0,0,0
2021-02-23,13194.71,-0.008079872562337553,60.16282912014043,58.29293963755746,52.738187678927105,0,0,0,0
2021-02-22,13223.74,0.0022001241406595096,64.76257843980586,59.24875320988731,53.229091578361775,0,0,0,0
2021-02-19,13580.78,0.026999925890859974,90.8240126982316,69.54844397686463,58.88544143634016,0,0,0,0
2021-02-18,13637.51,0.004177226933946399,92.57022081557731,70.94844952448895,59.71900973617466,0,0,0,0
2021-02-17,13699.71,0.004560949909477641,94.75780213049364,72.6055243038081,60.660755887300816,0,0,0,0
2021-02-16,13773.77,0.0054059538486581635,96.91844076558418,74.66988034367316,61.80576652168848,0,0,0,0
2021-02-12,13807.7,0.0024633778551550467,97.76319023209723,75.67753250117349,62.34648826220276,0,0,0,0
2021-02-11,13734.35,-0.005312253307936943,44.738112301569,68.59832837608707,60.35716302131918,0,0,0,0
2021-02-10,13655.27,-0.005757826180343485,20.621335180148627,61.19265495106529,58.20102931920868,0,0,0,0
2021-02-09,13687.08,0.00232950355430539,44.63289736461565,63.1147800758581,58.83800806980975,0,0,0,0
2021-02-08,13695.02,0.0005801091248096579,51.89690766771413,63.65399571074247,59.005935581740076,0,0,0,0
2021-02-05,13603.96,-0.006649132312329664,12.944214401267734,52.992607077316464,56.17543194261095,0,0,0,0
2021-02-04,13560.89,-0.003165989902940036,7.569608315510954,48.39224179278746,54.8355632645489,0,0,0,0
2021-02-03,13402.37,-0.011689498255645359,1.8660904065539736,34.98031474986764,50.09924507133894,0,1,1,0
2021-02-02,13456.12,0.004010484712778428,35.0522962877428,41.56948605046698,51.62497904519388,0,0,0,0
2021-02-01,13248.9,-0.015399684307214943,9.7165485955111,28.30098354003449,45.809741899632634,0,0,0,0
2021-01-29,12925.38,-0.0244186309806852,2.9833524073305586,17.710301628899924,38.51525897663008,0,0,0,0
2021-01-28,13201.53,0.021364942462039904,55.55802084454535,40.51236918614683,46.3659180089366,0,0,0,0
2021-01-27,13112.65,-0.006732552969239247,41.18965377390717,36.595845255056894,44.40086669039957,0,0,0,0
2021-01-26,13490.19,0.028792044323611158,81.6050890064475,57.526130361323325,53.42963109850098,0,0,0,0
2021-01-25,13483.29,-0.000511482788604134,79.60544622407708,57.11264790456681,53.259404505109956,0,0,0,0
2021-01-22,13366.4,-0.008669249122432388,43.495003601524154,49.83141884308314,50.33378544184529,0,0,0,0
2021-01-21,13404.99,0.002887090016758353,56.518370076671346,52.2434557935949,51.28518862369726,0,0,0,0
2021-01-20,13296.45,-0.008096984779548455,24.610369900699162,44.949353172293435,48.47264063930401,0,0,0,0
2021-01-19,12996.54,-0.022555644551741198,5.97353149048136,30.72540941352693,41.67215731080306,0,0,0,0
2021-01-15,12803.93,-0.014820098272309457,3.0281231514106137,24.701381746020413,37.98626794099994,0,1,1,0
2021-01-14,12898.69,0.00740085270694224,34.70638209472249,32.51293321858066,40.76230566001978,0,0,0,0
2021-01-13,12973.63,0.005809892322398591,56.95006298303864,38.561605220612904,42.93780660211959,0,0,0,0
2021-01-12,12892.09,-0.006285056688066447,32.70455842864161,34.52171045557756,41.16629260721722,0,0,0,0
2021-01-11,12902.49,0.0008066961989872112,39.296911148476035,35.55506093147166,41.49782355178597,0,0,0,0
2021-01-08,13105.2,0.01571092091526527,87.4028551636591,52.929833622929095,47.6857402283288,0,0,0,0
2021-01-07,12939.57,-0.012638494643347764,38.083438651111095,41.86335561512427,43.625417608189366,0,0,0,0
2021-01-06,12623.35,-0.02443821548938641,12.072237472802017,28.305071481407648,37.12586311992585,0,0,0,0
2021-01-05,12802.38,0.014182447607013815,50.417869984139024,41.23526926406594,42.361591775698415,0,0,0,0
2021-01-04,12694.66,-0.008414060510623766,33.06532422728132,36.4843744476205,40.19284399096913,0,0,0,0
2020-12-31,12888.28,0.015252082371642885,70.08191290317227,49.12680813757843,45.58535603902318,0,0,0,0
2020-12-30,12845.36,-0.003330157321225213,56.28256398348991,46.65648986711624,44.6248308965875,0,0,0,0
2020-12-29,12843.49,-0.00014557785846414098,55.33316223363179,46.53414963964136,44.58075538258024,0,0,0,0
2020-12-28,12838.86,-0.00036049391559456184,51.06746675069142,46.17441746990046,44.4636572277773,0,0,0,0
2020-12-24,12711.01,-0.009958049234900956,9.713270597910991,36.75843751801145,41.24222402629753,0,0,0,0
2020-12-23,12653.14,-0.00455274600523492,5.604592835408285,33.092936062582325,39.835366245840646,0,0,0,0
2020-12-22,12717.56,0.005091226367526236,51.38632828579164,40.95773856477694,42.19907952908088,0,0,0,0
2020-12-21,12690.26,-0.002146638191602768,36.41662960863829,38.647481938926056,41.455777710573294,0,0,0,0
2020-12-18,12738.18,0.0037761243662461923,68.56515117654705,45.1627907896809,43.34229185604931,0,0,0,0
2020-12-17,12752.06,0.0010896376091402704,75.6865676631123,47.1148381766382,43.90612269381982,0,0,0,0
2020-12-16,12668.16,-0.006579329143683421,20.24364169685636,37.44600187972888,41.234889311522004,0,0,0,0
2020-12-15,12595.92,-0.0057024856016975045,8.951585079479713,30.89507465321557,39.03288647019888,0,0,0,0
2020-12-14,12462.21,-0.010615342110778858,2.9206707757977592,22.24962747477538,35.27775757918216,0,1,1,0
2020-12-11,12375.41,-0.006965056759595578,1.557923748512905,18.267505625370678,33.05461746482346,0,0,0,0
2020-12-10,12401.74,0.0021276062772870308,23.276142292866073,23.26657068352731,34.40498660957062,0,0,0,0
2020-12-09,12364.64,-0.0029915157066670033,14.352729543753664,21.085898227460472,33.383183175785305,0,0,0,0
2020-12-08,12635.72,0.021923808537895214,87.02784347924566,56.683297219418,46.00231215601924,1,0,0,1
2020-12-07,12596.47,-0.0031062733267277487,69.86135776919416,52.563539459212286,44.682506759735396,0,0,0,0
2020-12-04,12528.48,-0.00539754391508096,41.500790271647844,45.664592745292694,42.412564373725964,0,0,0,0
2020-12-03,12467.13,-0.0048968430328339965,23.952652618942228,39.982378699745524,40.417307163747026,0,0,0,0
2020-12-02,12456.41,-0.0008598610907241122,20.868869647089696,38.96570405514861,40.062649842175134,0,0,0,0
2020-12-01,12455.33,-8.670234842944602e-05,20.34119572173498,38.84628515301276,40.024544873350784,0,1,1,0
2020-11-30,12268.32,-0.015014455658742043,2.0848554245916917,23.732859042530645,33.9950210910738,0,0,0,0
2020-11-27,12258.21,-0.0008240737118041519,1.9004359416052916,23.14859961607484,33.699457773856906,0,0,0,0
2020-11-25,12152.22,-0.008646450011869589,0.6657208589745865,17.674643478853366,30.68720778707275,0,0,0,0
2020-11-24,12079.81,-0.005958582053320338,0.35265824357717984,14.804601699479115,28.79363120281595,0,0,0,0
2020-11-23,11905.94,-0.014393438307390484,0.10823148235284642,10.08562579470238,24.831418232730684,0,0,0,0
2020-11-20,11906.44,4.199584409136925e-05,0.504849074884735,10.184419508057292,24.863438336015054,0,0,0,0
2020-11-19,11985.43,0.0066342248396666905,55.86840638983028,25.66764478501069,29.94080260768187,1,0,0,1
2020-11-18,11894.71,-0.007569190258505666,24.523548429413747,20.740079910978025,27.631371269796887,0,0,0,0
2020-11-17,11977.49,0.006959396235805659,62.70719706582426,34.507210849882604,32.73018245949549,0,0,0,0
