date,close,ROI,RSI_4,RSI_6,RSI_14,Entry_signal_long_2,Exit_signal_long_2,Entry_signal_short_2,Exit_signal_short_2
2021-07-07,14814.11,,,,,0,0,0,0
2021-07-06,14786.36,-0.001873214118161659,,,,0,0,0,0
2021-07-02,14727.63,-0.0039719038356973435,,,,0,0,0,0
2021-07-01,14560.05,-0.011378612852169678,,,,0,0,0,0
2021-06-30,14554.8,-0.00036057568483627284,0.0,,,0,0,0,0
2021-06-29,14572.75,0.0012332701239454735,11.989987817450526,,,0,0,0,0
2021-06-28,14524.98,-0.003278036060455292,8.411371826187947,7.374879974171038,,0,0,0,0
2021-06-25,14345.18,-0.012378674531737688,3.3674390817456925,3.5735204128230373,,0,0,0,0
2021-06-24,14365.96,0.001448570181761255,11.541478441604722,10.006777389346157,,0,0,0,0
2021-06-23,14274.24,-0.0063845367799993955,7.705528648226526,7.393949437701968,,0,0,0,0
2021-06-22,14270.42,-0.0002676149483265,7.565888765619402,7.298704279929532,,0,0,0,0
2021-06-21,14137.23,-0.009333292222653557,4.1063854954755294,4.7426234793532265,,0,0,0,0
2021-06-18,14049.58,-0.0061999415727126425,2.930597529802335,3.715157245801315,,0,0,0,0
2021-06-17,14163.81,0.008130492157060853,35.18117228573402,28.081863980367565,,1,0,0,1
2021-06-16,13983.01,-0.012764926951152169,20.680794687707078,18.965768695556108,16.023479313273878,0,0,0,0
2021-06-15,14030.41,0.003389828084225055,30.669556062379023,26.47474329994257,21.045078163629057,0,0,0,0
2021-06-14,14128.2,0.00696986046737047,48.50711282106243,40.19460754009626,30.304609067755862,0,0,0,0
2021-06-11,13998.3,-0.009194377203040838,33.32253164643831,30.979774549799146,25.950881236950394,0,0,0,0
2021-06-10,13960.35,-0.0027110434838515385,29.70086959535063,28.675105470778732,24.828623654780987,0,0,0,0
2021-06-09,13814.94,-0.010415927967421969,19.097126627748754,21.366588642381814,21.06894736271745,0,0,0,0
2021-06-08,13810.86,-0.0002953324444405769,18.84541667022437,21.184787970583493,20.97298330762436,0,0,0,0
2021-06-07,13802.89,-0.0005770820933671539,18.219932911941434,20.770514658092296,20.773930971403896,0,0,0,0
2021-06-04,13770.77,-0.0023270489006287365,15.462279058245356,18.97592843153221,19.952072600493022,0,0,0,0
2021-06-03,13529.68,-0.017507372499867446,6.148682315292227,10.671309653360929,15.117596716054974,0,0,0,0
2021-06-02,13675.79,0.010799220676320552,36.87377598727385,32.238051611643165,26.7081114061021,1,0,0,1
2021-06-01,13654.59,-0.0015501846694049304,34.677460216823484,30.93753343305329,26.15015543126282,0,0,0,0
2021-05-28,13686.51,0.002337675462976252,41.654199990094256,35.629377980940646,28.569793259997052,0,0,0,0
2021-05-27,13657.85,-0.0020940327373449863,36.93200044996882,33.19927499813829,27.692468400236827,0,0,0,0
2021-05-26,13702.74,0.0032867545038202106,49.005227123193606,40.78973518782403,31.25339246317679,0,0,0,0
2021-05-25,13657.73,-0.0032847445109518425,39.019235473132845,35.88375820772409,29.675348510388673,0,0,0,0
2021-05-24,13641.75,-0.0011700333803640328,35.58649834670751,34.134640786926866,29.11331014494764,0,0,0,0
2021-05-21,13411.74,-0.016860740007697,13.237148152798571,18.532069940582527,22.506019029562545,0,0,0,0
2021-05-20,13494.09,0.006140142889736966,33.249204329075354,31.904681082530914,28.741501875441003,0,0,0,0
2021-05-19,13237.91,-0.018984607335507664,16.992442212221615,19.78262452074891,22.638803693137564,0,0,0,0
2021-05-18,13217.68,-0.0015281868512476706,16.160493031703012,19.095119022790037,22.237263411814155,0,0,0,0
2021-05-17,13312.91,0.007204743949013714,35.86802533630928,32.371537400650354,28.652558454167036,0,0,0,0
2021-05-14,13393.12,0.0060249787612176595,49.26202125412307,41.992648343883936,33.61988291261833,0,0,0,0
2021-05-13,13109.15,-0.021202677195455655,24.80630715743621,26.17350903322683,26.567659667570624,0,0,0,0
2021-05-12,13001.63,-0.008201904776434787,19.83513491468164,22.34832296919776,24.474309947760798,0,0,0,0
