date,close,ROI,RSI_4,Entry_signal_long_1,Exit_signal_long_1,Entry_signal_short_1,Exit_signal_short_1
2020-10-22 17:00,1903.88,,,0,0,0,0
2020-10-22 18:00,1906.45,0.001349875,,0,0,0,0
2020-10-22 19:00,1904.94,-0.000792048,,0,0,0,0
2020-10-22 20:00,1903.31,-0.00085567,,0,0,0,0
2020-10-22 21:00,1904.57,0.000662005,53.08353678,0,0,0,0
2020-10-22 22:00,1907.02,0.00128638,73.03215397,0,0,0,0
2020-10-22 23:00,1906.55,-0.000246458,65.86848193,0,0,0,0
2020-10-23 0:00,1905.95,-0.000314705,56.44448326,0,0,0,0
2020-10-23 1:00,1904.92,-0.000540413,42.52008595,0,0,0,0
2020-10-23 2:00,1906.49,0.000824182,61.71495729,0,0,0,0
2020-10-23 3:00,1908.84,0.001232632,77.02616693,0,0,0,0
2020-10-23 4:00,1911.12,0.001194443,84.85925885,0,0,0,0
2020-10-23 5:00,1909.25,-0.000978484,61.81204737,0,0,0,0
2020-10-23 6:00,1910.68,0.000748985,70.09367007,0,0,0,0
2020-10-23 7:00,1910.78,5.23E-05,70.68640543,0,0,0,0
2020-10-23 8:00,1910.72,-3.14E-05,69.58311069,0,0,0,0
2020-10-23 9:00,1903.46,-0.003799615,19.77838398,0,0,0,0
2020-10-23 10:00,1898.02,-0.002857953,11.53190238,0,0,0,0
2020-10-23 11:00,1898.78,0.000400417,17.90768937,0,0,0,0
2020-10-23 12:00,1900.96,0.001148106,35.6457451,0,0,0,0
2020-10-23 13:00,1903.25,0.001204654,50.59691906,0,0,0,0
2020-10-23 14:00,1902.24,-0.000530671,44.51514294,0,0,0,0
2020-10-23 15:00,1903.72,0.00077803,55.0674319,0,0,0,0
2020-10-23 16:00,1902.05,-0.00087723,42.81633038,0,0,0,0
2020-10-25 18:00,1893.74,-0.00436897,17.29213116,0,0,0,0
2020-10-25 19:00,1898.64,0.002587472,43.68557784,0,0,0,0
2020-10-25 20:00,1900.21,0.000826908,50.44184366,0,0,0,0
2020-10-25 21:00,1897.65,-0.00134722,40.00669157,0,0,0,0
2020-10-25 22:00,1899.1,0.000764103,48.11316212,0,0,0,0
2020-10-25 23:00,1898.42,-0.000358064,44.36475518,0,0,0,0
2020-10-26 0:00,1897.57,-0.000447741,39.26616537,0,0,0,0
2020-10-26 1:00,1897.22,-0.000184446,36.93568224,0,0,0,0
2020-10-26 2:00,1897.86,0.000337336,44.9077126,0,0,0,0
2020-10-26 3:00,1900.49,0.001385771,67.45161813,0,0,0,0
2020-10-26 4:00,1898.53,-0.001031313,47.95333963,0,0,0,0
2020-10-26 5:00,1902.82,0.002259643,71.76922272,0,0,0,0
2020-10-26 6:00,1904.76,0.001019539,77.87389072,0,0,0,0
2020-10-26 7:00,1903.93,-0.00043575,69.32264409,0,0,0,0
2020-10-26 8:00,1901.5,-0.001276307,48.52312683,0,0,0,0
2020-10-26 9:00,1905.22,0.00195635,68.07489038,0,0,0,0
2020-10-26 10:00,1903.67,-0.000813554,56.21335793,0,0,0,0
2020-10-26 11:00,1904.48,0.000425494,60.95385683,0,0,0,0
2020-10-26 12:00,1904.21,-0.000141771,58.15557628,0,0,0,0
2020-10-26 13:00,1902.68,-0.000803483,43.17857741,0,0,0,0
2020-10-26 14:00,1903.46,0.000409948,51.6436196,0,0,0,0
2020-10-26 15:00,1902.49,-0.000509598,41.41361112,0,0,0,0
2020-10-26 16:00,1902.08,-0.000215507,37.25459998,0,0,0,0
2020-10-26 17:00,1902.04,-2.10E-05,36.7741977,0,0,0,0
2020-10-26 18:00,1902.56,0.000273391,48.32446916,0,0,0,0
2020-10-26 19:00,1902.29,-0.000141914,42.89892382,0,0,0,0
2020-10-26 20:00,1905.41,0.001640128,79.08262701,0,0,0,0
2020-10-26 21:00,1907.05,0.000860707,85.51545118,0,0,0,0
2020-10-26 22:00,1908.94,0.000991059,90.16365371,0,0,0,0
2020-10-26 23:00,1907.7,-0.000649575,70.40056453,0,0,0,0
2020-10-27 0:00,1907.74,2.10E-05,70.67700947,0,0,0,0
2020-10-27 1:00,1907.78,2.10E-05,71.03766903,0,0,0,0
2020-10-27 2:00,1908.53,0.000393127,77.84888669,0,0,0,0
2020-10-27 3:00,1904.27,-0.002232084,27.99253278,0,1,1,0
2020-10-27 4:00,1901.37,-0.001522893,17.70230388,0,0,0,0
2020-10-27 5:00,1900.93,-0.000231412,16.4769722,0,0,0,0
2020-10-27 6:00,1900.92,-5.26E-06,16.44248346,0,0,0,0
2020-10-27 7:00,1903,0.001094207,47.13221654,0,0,0,0
2020-10-27 8:00,1905.73,0.001434577,67.81761417,0,0,0,0
2020-10-27 9:00,1906.79,0.000556217,73.23844724,0,0,0,0
2020-10-27 10:00,1905.78,-0.000529686,60.32849751,0,0,0,0
2020-10-27 11:00,1908.72,0.001542675,76.44417209,0,0,0,0
2020-10-27 12:00,1909.45,0.000382455,79.23660344,0,0,0,0
2020-10-27 13:00,1908.71,-0.000387546,68.29413859,0,0,0,0
2020-10-27 14:00,1908.02,-0.000361501,58.2868583,0,0,0,0
2020-10-27 15:00,1908,-1.05E-05,57.95863423,0,0,0,0
2020-10-27 16:00,1907.99,-5.24E-06,57.74186417,0,0,0,0
2020-10-27 17:00,1907.96,-1.57E-05,56.89075966,0,0,0,0
2020-10-27 18:00,1905.04,-0.00153043,19.53062104,0,0,0,0
2020-10-27 19:00,1905.29,0.000131231,25.14237575,0,0,0,0
2020-10-27 20:00,1906.51,0.000640322,48.50759147,0,0,0,0
2020-10-27 21:00,1906.74,0.000120639,52.25369891,0,0,0,0
2020-10-27 22:00,1905.74,-0.000524455,36.75326515,0,0,0,0
2020-10-27 23:00,1906.86,0.000587698,56.16934449,0,0,0,0
2020-10-28 0:00,1908.28,0.00074468,71.14426731,0,0,0,0
2020-10-28 1:00,1908.43,7.86E-05,72.46906406,0,0,0,0
2020-10-28 2:00,1906.43,-0.001047982,39.90155915,0,0,0,0
2020-10-28 3:00,1906.13,-0.000157362,36.61097414,0,0,0,0
2020-10-28 4:00,1904.18,-0.001023015,21.35100481,0,0,0,0
2020-10-28 5:00,1899.93,-0.002231932,9.655606834,0,0,0,0
2020-10-28 6:00,1896.58,-0.001763223,6.127845958,0,0,0,0
2020-10-28 7:00,1891.23,-0.002820867,3.44652532,0,0,0,0
2020-10-28 8:00,1882.15,-0.004801108,1.731770461,0,0,0,0
2020-10-28 9:00,1876.18,-0.003171904,1.205832285,0,0,0,0
2020-10-28 10:00,1871.78,-0.002345191,0.928675538,0,0,0,0
2020-10-28 11:00,1882.73,0.005850046,43.79485626,1,0,0,1
2020-10-28 12:00,1880.64,-0.00111009,39.45081713,0,0,0,0
2020-10-28 13:00,1881.13,0.00026055,41.27179993,0,0,0,0
2020-10-28 14:00,1877.01,-0.002190173,30.86524182,0,0,0,0
2020-10-28 15:00,1876.99,-1.07E-05,30.81495123,0,0,0,0
2020-10-28 16:00,1877.19,0.000106554,32.28602372,0,0,0,0
2020-10-28 17:00,1877.08,-5.86E-05,31.79032453,0,0,0,0
2020-10-28 18:00,1878.19,0.000591344,43.46823686,0,0,0,0
2020-10-28 19:00,1879.4,0.000644237,54.7325847,0,0,0,0
2020-10-28 20:00,1878.4,-0.000532085,44.87870595,0,0,0,0
2020-10-28 21:00,1878.43,1.60E-05,45.27282216,0,0,0,0
2020-10-28 22:00,1878.6,9.05E-05,48.07776906,0,0,0,0
2020-10-28 23:00,1881.9,0.001756627,77.68278629,0,0,0,0
2020-10-29 0:00,1882.42,0.000276316,80.07027546,0,0,0,0
2020-10-29 1:00,1882.78,0.000191243,81.86146498,0,0,0,0
2020-10-29 2:00,1882.95,9.03E-05,82.83291817,0,0,0,0
2020-10-29 3:00,1881.35,-0.00084973,49.53845918,0,0,0,0
2020-10-29 4:00,1877.73,-0.00192415,22.38985216,0,0,0,0
2020-10-29 5:00,1877.35,-0.000202372,20.79480451,0,0,0,0
2020-10-29 6:00,1877.99,0.000340906,31.71830522,0,0,0,0
2020-10-29 7:00,1872.24,-0.003061784,11.95972092,0,0,0,0
2020-10-29 8:00,1864.08,-0.004358416,5.489359265,0,0,0,0
2020-10-29 9:00,1871.86,0.004173641,44.00225762,0,0,0,0
2020-10-29 10:00,1873.8,0.001036402,50.68378975,0,0,0,0
2020-10-29 11:00,1868.77,-0.002684385,35.88265279,0,0,0,0
2020-10-29 12:00,1868.53,-0.000128427,35.22817023,0,0,0,0
2020-10-29 13:00,1867.73,-0.000428144,32.58655554,0,0,0,0
2020-10-29 14:00,1869.16,0.000765635,42.8077441,0,0,0,0
2020-10-29 15:00,1869.52,0.0001926,45.57748225,0,0,0,0
2020-10-29 16:00,1867.59,-0.001032351,33.85703965,0,0,0,0
2020-10-29 17:00,1868.23,0.000342688,40.60963992,0,0,0,0
2020-10-29 18:00,1866.7,-0.000818957,30.63918775,0,0,0,0
2020-10-29 19:00,1868.39,0.000905341,49.05906208,0,0,0,0
2020-10-29 20:00,1867.39,-0.00053522,40.56078517,0,0,0,0
2020-10-29 21:00,1874.68,0.003903844,77.8521883,0,0,0,0
2020-10-29 22:00,1874.64,-2.13E-05,77.49648421,0,0,0,0
2020-10-29 23:00,1876.28,0.000874835,81.99387718,0,0,0,0
2020-10-30 0:00,1873.86,-0.001289786,58.85263645,0,0,0,0
2020-10-30 1:00,1868.6,-0.00280704,32.37349432,0,0,0,0
2020-10-30 2:00,1870.46,0.000995398,44.2085785,0,0,0,0
2020-10-30 3:00,1871.66,0.000641553,51.5086296,0,0,0,0
2020-10-30 4:00,1869.47,-0.001170084,39.06932752,0,0,0,0
2020-10-30 5:00,1874.11,0.002481987,63.77974642,0,0,0,0
2020-10-30 6:00,1876.36,0.00120057,71.30407344,0,0,0,0
2020-10-30 7:00,1879.28,0.001556205,78.89173285,0,0,0,0
2020-10-30 8:00,1887.9,0.004586863,89.65666526,0,0,0,0
2020-10-30 9:00,1885.2,-0.00143016,73.91392814,0,0,0,0
2020-10-30 10:00,1879.54,-0.003002334,49.58062514,0,0,0,0
2020-10-30 11:00,1879.45,-4.79E-05,49.23696366,0,0,0,0
2020-10-30 12:00,1881.66,0.001175876,58.62624407,0,0,0,0
2020-10-30 13:00,1879.69,-0.001046948,48.06078708,0,0,0,0
2020-10-30 14:00,1879.86,9.04E-05,49.11590191,0,0,0,0
2020-10-30 15:00,1877.48,-0.001266052,35.61181456,0,0,0,0
