date,close,ROI,RSI_4,Entry_signal_long_1,Exit_signal_long_1,Entry_signal_short_1,Exit_signal_short_1
2020-07-07,10524.01,,,0,0,0,0
2020-07-08,10666.7,0.01355852,,0,0,0,0
2020-07-09,10754.59,0.008239662,,0,0,0,0
2020-07-10,10836.33,0.007600476,,0,0,0,0
2020-07-13,10602.21,-0.021605101,42.20122227,0,0,0,0
2020-07-14,10689.52,0.008235076,55.1041684,0,0,0,0
2020-07-15,10701.68,0.001137563,56.89124842,0,0,0,0
2020-07-16,10626.46,-0.007028803,42.82998385,0,0,0,0
2020-07-17,10645.22,0.001765404,47.17190662,0,0,0,0
2020-07-20,10952.08,0.028826083,80.11274948,0,0,0,0
2020-07-21,10833.07,-0.010866429,60.57940242,0,0,0,0
2020-07-22,10870.75,0.003478238,64.25829011,0,0,0,0
2020-07-23,10580.59,-0.026691811,32.81488399,0,0,0,0
2020-07-24,10483.13,-0.009211207,26.91634886,0,0,0,0
2020-07-27,10674.38,0.018243597,50.29381739,0,0,0,0
2020-07-28,10532.5,-0.013291638,38.20558984,0,0,0,0
2020-07-29,10662.98,0.012388322,52.27198724,0,0,0,0
2020-07-30,10715.51,0.00492639,57.46886876,0,0,0,0
2020-07-31,10905.88,0.017765837,72.13152191,0,0,0,0
2020-08-03,11055.08,0.013680693,79.51237166,0,0,0,0
2020-08-04,11096.54,0.003750312,81.34313033,0,0,0,0
2020-08-05,11125.44,0.002604415,82.7737903,0,0,0,0
2020-08-06,11267.08,0.012731182,88.52427623,0,0,0,0
2020-08-07,11139.39,-0.011333016,63.17482473,0,1,1,0
2020-08-10,11085.17,-0.004867412,54.3615139,0,0,0,0
2020-08-11,10876.08,-0.018862137,31.65501878,0,0,0,0
2020-08-12,11157.72,0.025895359,60.94946754,0,0,0,0
2020-08-13,11178.37,0.001850737,62.51998551,0,0,0,0
2020-08-14,11164.45,-0.001245262,60.33890697,0,0,0,0
2020-08-17,11288.57,0.011117431,71.96614429,0,0,0,0
2020-08-18,11399.03,0.009785119,79.20132689,0,0,0,0
2020-08-19,11318.64,-0.007052354,63.33880443,0,0,0,0
2020-08-20,11477.05,0.013995498,75.97893104,0,0,0,0
2020-08-21,11555.16,0.006805756,80.41777283,0,0,0,0
2020-08-24,11626.17,0.006145307,84.00131982,0,0,0,0
2020-08-25,11721.81,0.008226269,87.95853138,0,0,0,0
2020-08-26,11971.94,0.021338855,93.53485751,0,0,0,0
2020-08-27,11926.16,-0.003823942,84.03773996,0,0,0,0
2020-08-28,11995.85,0.005843457,86.76525584,0,0,0,0
2020-08-31,12110.7,0.009574144,90.37800195,0,0,0,0
2020-09-01,12292.86,0.015041245,93.89960604,0,0,0,0
2020-09-02,12420.54,0.010386517,95.45440594,0,0,0,0
2020-09-03,11771.37,-0.052265844,34.99331323,0,1,1,0
2020-09-04,11622.13,-0.012678218,29.30386168,0,0,0,0
2020-09-08,11068.26,-0.047656497,16.23898093,0,0,0,0
2020-09-09,11395.85,0.029597245,38.02799843,0,0,0,0
2020-09-10,11154.12,-0.021212108,30.27856948,0,0,0,0
2020-09-11,11087.4,-0.005981646,28.16625054,0,0,0,0
2020-09-14,11277.76,0.017169039,43.23187358,0,0,0,0
2020-09-15,11438.87,0.014285638,54.09599635,0,0,0,0
2020-09-16,11247.6,-0.016721057,41.51848543,0,0,0,0
2020-09-17,11080.95,-0.014816494,32.68911179,0,0,0,0
2020-09-18,10936.98,-0.012992568,26.25717443,0,0,0,0
2020-09-21,10980.22,0.003953559,31.64325077,0,0,0,0
2020-09-22,11186.37,0.018774669,53.31747148,0,0,0,0
2020-09-23,10833.33,-0.031559836,30.92652278,0,0,0,0
2020-09-24,10896.47,0.005828309,37.21411502,0,0,0,0
2020-09-25,11151.13,0.023370871,57.84816345,0,0,0,0
2020-09-28,11364.45,0.0191299,69.1659705,0,0,0,0
2020-09-29,11322.95,-0.003651739,64.66243978,0,0,0,0
2020-09-30,11418.06,0.008399754,70.52662125,0,0,0,0
2020-10-01,11583.2,0.014463052,78.70698798,0,0,0,0
2020-10-02,11255.69,-0.02827457,45.39228634,0,0,0,0
2020-10-05,11509.06,0.022510393,61.98844651,0,0,0,0
2020-10-06,11291.27,-0.018923353,45.97467105,0,0,0,0
2020-10-07,11503.19,0.018768482,59.53652133,0,0,0,0
2020-10-08,11550.94,0.004151022,62.37410413,0,0,0,0
2020-10-09,11725.85,0.015142491,71.97334013,0,0,0,0
2020-10-12,12088.11,0.030894136,83.55746256,0,0,0,0
2020-10-13,12083.17,-0.000408666,82.9342004,0,0,0,0
2020-10-14,11985.36,-0.00809473,69.28992031,0,0,0,0
2020-10-15,11898.57,-0.007241334,58.00045158,0,0,0,0
2020-10-16,11852.17,-0.003899628,51.96510417,0,0,0,0
2020-10-19,11634.35,-0.018378069,31.46897051,0,0,0,0
2020-10-20,11677.84,0.003738069,37.98098553,0,0,0,0
2020-10-21,11665.37,-0.001067834,36.64957241,0,0,0,0
2020-10-22,11662.91,-0.000210881,36.31473279,0,0,0,0
2020-10-23,11692.57,0.002543105,44.47052704,0,0,0,0
2020-10-26,11504.52,-0.016082863,21.35336449,0,0,0,0
2020-10-27,11598.95,0.008208078,41.65882386,0,0,0,0
2020-10-28,11142.76,-0.039330284,15.64323303,0,0,0,0
2020-10-29,11350.74,0.018665035,38.85476701,0,0,0,0
2020-10-30,11052.95,-0.026235294,25.47344805,0,0,0,0
2020-11-02,11084.76,0.002877965,28.95811584,0,0,0,0
2020-11-03,11279.91,0.017605253,48.61223893,0,0,0,0
2020-11-04,11777.02,0.044070387,73.50655842,0,0,0,0
2020-11-05,12078.07,0.025562494,80.95599859,0,0,0,0
2020-11-06,12091.35,0.001099513,81.2658247,0,0,0,0
2020-11-09,11830.39,-0.021582371,56.9782745,0,0,0,0
2020-11-10,11624.29,-0.017421235,43.33885272,0,0,0,0
2020-11-11,11892.93,0.023110229,59.98573569,0,0,0,0
2020-11-12,11827.14,-0.005531858,54.73477415,0,0,0,0
2020-11-13,11937.84,0.009359828,62.16512931,0,0,0,0
2020-11-16,12013.38,0.006327778,67.08158267,0,0,0,0
2020-11-17,11977.49,-0.002987502,61.97954927,0,0,0,0
2020-11-18,11894.71,-0.006911298,50.23059923,0,0,0,0
2020-11-19,11985.43,0.00762692,61.02606249,0,0,0,0
2020-11-20,11906.44,-0.006590502,48.74995009,0,0,0,0
2020-11-23,11905.94,-4.20E-05,48.66732354,0,0,0,0
2020-11-24,12079.81,0.014603635,71.25586099,0,0,0,0
2020-11-25,12152.22,0.0059943,76.90022051,0,0,0,0
2020-11-27,12258.21,0.008721863,83.30023337,0,0,0,0
2020-11-30,12268.32,0.000824753,83.86865247,0,0,0,0
2020-12-01,12455.33,0.015243326,91.23048786,0,0,0,0
2020-12-02,12456.41,8.67E-05,91.26119682,0,0,0,0
2020-12-03,12467.13,0.000860601,91.64825533,0,0,0,0
2020-12-04,12528.48,0.00492094,93.75791665,0,0,0,0
2020-12-07,12596.47,0.005426835,95.45453187,0,0,0,0
2020-12-08,12635.72,0.003115952,96.24096758,0,0,0,0
2020-12-09,12364.64,-0.021453467,37.1122508,0,1,1,0
2020-12-10,12401.74,0.003000492,43.45198444,0,0,0,0
2020-12-11,12375.41,-0.002123089,39.66790766,0,0,0,0
2020-12-14,12462.21,0.007013909,56.36922851,0,0,0,0
2020-12-15,12595.92,0.010729237,72.18439674,0,0,0,0
2020-12-16,12668.16,0.00573519,77.94366027,0,0,0,0
2020-12-17,12752.06,0.006622903,83.29859737,0,0,0,0
2020-12-18,12738.18,-0.001088452,79.06442726,0,0,0,0
2020-12-21,12690.26,-0.003761919,64.07219515,0,0,0,0
2020-12-22,12717.56,0.002151256,68.5955525,0,0,0,0
2020-12-23,12653.14,-0.005065437,49.13298358,0,0,0,0
2020-12-24,12711.01,0.004573568,62.03503365,0,0,0,0
2020-12-28,12838.86,0.010058209,78.27035899,0,0,0,0
2020-12-29,12843.49,0.000360624,78.70997465,0,0,0,0
2020-12-30,12845.36,0.000145599,78.93942576,0,0,0,0
2020-12-31,12888.28,0.003341284,84.16278266,0,0,0,0
2021-01-04,12694.66,-0.015022951,33.77598512,0,0,0,0
2021-01-05,12802.38,0.008485458,54.14169441,0,0,0,0
2021-01-06,12623.35,-0.013984119,32.19885979,0,0,0,0
2021-01-07,12939.57,0.025050403,65.30973901,0,0,0,0
2021-01-08,13105.2,0.012800271,74.13207681,0,0,0,0
2021-01-11,12902.49,-0.015467906,52.39005674,0,0,0,0
2021-01-12,12892.09,-0.000806046,51.35964071,0,0,0,0
2021-01-13,12973.63,0.006324808,59.65491063,0,0,0,0
2021-01-14,12898.69,-0.005776332,49.34296315,0,0,0,0
2021-01-15,12803.93,-0.007346482,38.20779921,0,0,0,0
2021-01-19,12996.54,0.015043038,61.65773539,0,0,0,0
2021-01-20,13296.45,0.023076142,78.55431452,0,0,0,0
2021-01-21,13404.99,0.008163081,82.31497632,0,0,0,0
2021-01-22,13366.4,-0.002878779,75.99744993,0,0,0,0
2021-01-25,13483.29,0.008745062,81.67692186,0,0,0,0
2021-01-26,13490.19,0.000511745,82.01192262,0,0,0,0
2021-01-27,13112.65,-0.027986263,35.14051045,0,1,1,0
2021-01-28,13201.53,0.006778187,45.00614493,0,0,0,0
2021-01-29,12925.38,-0.02091803,27.60890347,0,0,0,0
2021-02-01,13248.9,0.025029825,54.86316828,0,0,0,0
2021-02-02,13456.12,0.015640544,65.84496352,0,0,0,0
2021-02-03,13402.37,-0.003994465,60.73446772,0,0,0,0
2021-02-04,13560.89,0.011827759,69.91608456,0,0,0,0
2021-02-05,13603.96,0.003176045,72.26548874,0,0,0,0
2021-02-08,13695.02,0.006693639,77.26955289,0,0,0,0
2021-02-09,13687.08,-0.000579773,75.68200594,0,0,0,0
2021-02-10,13655.27,-0.00232409,68.19741614,0,0,0,0
2021-02-11,13734.35,0.005791171,76.04877499,0,0,0,0
2021-02-12,13807.7,0.005340624,81.65106392,0,0,0,0
2021-02-16,13773.77,-0.002457325,71.35679342,0,0,0,0
2021-02-17,13699.71,-0.005376887,52.20258135,0,0,0,0
2021-02-18,13637.51,-0.004540242,40.13761869,0,0,0,0
2021-02-19,13580.78,-0.00415985,31.33162992,0,0,0,0
2021-02-22,13223.74,-0.026290095,11.02812474,0,0,0,0
2021-02-23,13194.71,-0.002195294,10.30423459,0,0,0,0
