date,close,ROI,RSI_6,Entry_signal_long_2,Exit_signal_long_2,Entry_signal_short_2,Exit_signal_short_2
2020-07-07,10524.01,,,0,0,0,0
2020-07-08,10666.7,0.01355852,,0,0,0,0
2020-07-09,10754.59,0.008239662,,0,0,0,0
2020-07-10,10836.33,0.007600476,,0,0,0,0
2020-07-13,10602.21,-0.021605101,,0,0,0,0
2020-07-14,10689.52,0.008235076,,0,0,0,0
2020-07-15,10701.68,0.001137563,58.79105069,0,0,0,0
2020-07-16,10626.46,-0.007028803,47.84481135,0,0,0,0
2020-07-17,10645.22,0.001765404,50.59765793,0,0,0,0
2020-07-20,10952.08,0.028826083,75.73597002,0,0,0,0
2020-07-21,10833.07,-0.010866429,61.23457714,0,0,0,0
2020-07-22,10870.75,0.003478238,63.86341228,0,0,0,0
2020-07-23,10580.59,-0.026691811,39.26063829,0,0,0,0
2020-07-24,10483.13,-0.009211207,33.98379766,0,0,0,0
2020-07-27,10674.38,0.018243597,49.85474216,0,0,0,0
2020-07-28,10532.5,-0.013291638,41.0658517,0,0,0,0
2020-07-29,10662.98,0.012388322,50.66414933,0,0,0,0
2020-07-30,10715.51,0.00492639,54.2628137,0,0,0,0
2020-07-31,10905.88,0.017765837,65.27730614,0,0,0,0
2020-08-03,11055.08,0.013680693,71.68934953,0,0,0,0
2020-08-04,11096.54,0.003750312,73.33153705,0,0,0,0
2020-08-05,11125.44,0.002604415,74.56561863,0,0,0,0
2020-08-06,11267.08,0.012731182,80.00684248,0,0,0,0
2020-08-07,11139.39,-0.011333016,64.9704542,0,1,1,0
2020-08-10,11085.17,-0.004867412,59.29240275,0,0,0,0
2020-08-11,10876.08,-0.018862137,42.21826454,0,0,0,0
2020-08-12,11157.72,0.025895359,60.57091406,0,0,0,0
2020-08-13,11178.37,0.001850737,61.64283236,0,0,0,0
2020-08-14,11164.45,-0.001245262,60.31641283,0,0,0,0
2020-08-17,11288.57,0.011117431,67.7432334,0,0,0,0
2020-08-18,11399.03,0.009785119,73.11633447,0,0,0,0
2020-08-19,11318.64,-0.007052354,63.83069183,0,0,0,0
2020-08-20,11477.05,0.013995498,72.18393403,0,0,0,0
2020-08-21,11555.16,0.006805756,75.52810019,0,0,0,0
2020-08-24,11626.17,0.006145307,78.36557271,0,0,0,0
2020-08-25,11721.81,0.008226269,81.77997208,0,0,0,0
2020-08-26,11971.94,0.021338855,87.81521027,0,0,0,0
2020-08-27,11926.16,-0.003823942,81.85985596,0,0,0,0
2020-08-28,11995.85,0.005843457,83.85941017,0,0,0,0
2020-08-31,12110.7,0.009574144,86.74816264,0,0,0,0
2020-09-01,12292.86,0.015041245,90.11528179,0,0,0,0
2020-09-02,12420.54,0.010386517,91.85581106,0,0,0,0
2020-09-03,11771.37,-0.052265844,44.28236249,0,1,1,0
2020-09-04,11622.13,-0.012678218,38.74635247,0,0,0,0
2020-09-08,11068.26,-0.047656497,24.88905909,0,0,0,0
2020-09-09,11395.85,0.029597245,40.09503911,0,0,0,0
2020-09-10,11154.12,-0.021212108,34.00006194,0,0,0,0
2020-09-11,11087.4,-0.005981646,32.37026167,0,0,0,0
2020-09-14,11277.76,0.017169039,41.90472763,0,0,0,0
2020-09-15,11438.87,0.014285638,49.18105686,0,0,0,0
2020-09-16,11247.6,-0.016721057,41.73425468,0,0,0,0
2020-09-17,11080.95,-0.014816494,36.03026055,0,0,0,0
2020-09-18,10936.98,-0.012992568,31.55875114,0,0,0,0
2020-09-21,10980.22,0.003953559,34.48894444,0,0,0,0
2020-09-22,11186.37,0.018774669,47.37808341,0,0,0,0
2020-09-23,10833.33,-0.031559836,33.73725213,0,0,0,0
2020-09-24,10896.47,0.005828309,37.59341757,0,0,0,0
2020-09-25,11151.13,0.023370871,51.30796659,0,0,0,0
2020-09-28,11364.45,0.0191299,60.11804305,0,0,0,0
2020-09-29,11322.95,-0.003651739,57.68159694,0,0,0,0
2020-09-30,11418.06,0.008399754,61.92532469,0,0,0,0
2020-10-01,11583.2,0.014463052,68.50578628,0,0,0,0
2020-10-02,11255.69,-0.02827457,48.54042233,0,0,0,0
2020-10-05,11509.06,0.022510393,59.49847184,0,0,0,0
2020-10-06,11291.27,-0.018923353,48.78323799,0,0,0,0
2020-10-07,11503.19,0.018768482,57.68211243,0,0,0,0
2020-10-08,11550.94,0.004151022,59.58096638,0,0,0,0
2020-10-09,11725.85,0.015142491,66.23976081,0,0,0,0
2020-10-12,12088.11,0.030894136,76.0471573,0,0,0,0
2020-10-13,12083.17,-0.000408666,75.68735877,0,0,0,0
2020-10-14,11985.36,-0.00809473,68.03894265,0,0,0,0
2020-10-15,11898.57,-0.007241334,61.4291156,0,0,0,0
2020-10-16,11852.17,-0.003899628,57.82516399,0,0,0,0
2020-10-19,11634.35,-0.018378069,43.46137118,0,0,0,0
2020-10-20,11677.84,0.003738069,46.63724612,0,0,0,0
2020-10-21,11665.37,-0.001067834,45.75295441,0,0,0,0
2020-10-22,11662.91,-0.000210881,45.54850461,0,0,0,0
2020-10-23,11692.57,0.002543105,48.85514364,0,0,0,0
2020-10-26,11504.52,-0.016082863,33.41620261,0,0,0,0
2020-10-27,11598.95,0.008208078,44.06722872,0,0,0,0
2020-10-28,11142.76,-0.039330284,22.86425027,0,0,0,0
2020-10-29,11350.74,0.018665035,38.93776602,0,0,0,0
2020-10-30,11052.95,-0.026235294,28.6721465,0,0,0,0
2020-11-02,11084.76,0.002877965,31.00385244,0,0,0,0
2020-11-03,11279.91,0.017605253,44.38746736,0,0,0,0
2020-11-04,11777.02,0.044070387,65.08820911,0,0,0,0
2020-11-05,12078.07,0.025562494,72.52139903,0,0,0,0
2020-11-06,12091.35,0.001099513,72.82764548,0,0,0,0
2020-11-09,11830.39,-0.021582371,57.67133301,0,0,0,0
2020-11-10,11624.29,-0.017421235,48.17046264,0,0,0,0
2020-11-11,11892.93,0.023110229,58.78950138,0,0,0,0
2020-11-12,11827.14,-0.005531858,55.45073788,0,0,0,0
2020-11-13,11937.84,0.009359828,60.03372402,0,0,0,0
2020-11-16,12013.38,0.006327778,63.13890466,0,0,0,0
2020-11-17,11977.49,-0.002987502,60.4606981,0,0,0,0
2020-11-18,11894.71,-0.006911298,54.10821601,0,0,0,0
2020-11-19,11985.43,0.00762692,59.67949741,0,0,0,0
2020-11-20,11906.44,-0.006590502,52.96162468,0,0,0,0
2020-11-23,11905.94,-4.20E-05,52.91637913,0,0,0,0
2020-11-24,12079.81,0.014603635,65.29017382,0,0,0,0
2020-11-25,12152.22,0.0059943,69.31964925,0,0,0,0
2020-11-27,12258.21,0.008721863,74.51612723,0,0,0,0
2020-11-30,12268.32,0.000824753,75.00079318,0,0,0,0
2020-12-01,12455.33,0.015243326,82.42160264,0,0,0,0
2020-12-02,12456.41,8.67E-05,82.45768974,0,0,0,0
2020-12-03,12467.13,0.000860601,82.8764061,0,0,0,0
2020-12-04,12528.48,0.00492094,85.28800815,0,0,0,0
2020-12-07,12596.47,0.005426835,87.60879829,0,0,0,0
2020-12-08,12635.72,0.003115952,88.82950841,0,0,0,0
2020-12-09,12364.64,-0.021453467,48.90237485,0,1,1,0
2020-12-10,12401.74,0.003000492,52.41505137,0,0,0,0
2020-12-11,12375.41,-0.002123089,49.51609282,0,0,0,0
2020-12-14,12462.21,0.007013909,58.57881422,0,0,0,0
2020-12-15,12595.92,0.010729237,68.89931969,0,0,0,0
2020-12-16,12668.16,0.00573519,73.22455923,0,0,0,0
2020-12-17,12752.06,0.006622903,77.57168656,0,0,0,0
2020-12-18,12738.18,-0.001088452,75.14953788,0,0,0,0
2020-12-21,12690.26,-0.003761919,66.54159528,0,0,0,0
2020-12-22,12717.56,0.002151256,68.971353,0,0,0,0
2020-12-23,12653.14,-0.005065437,57.20749012,0,0,0,0
2020-12-24,12711.01,0.004573568,63.85350627,0,0,0,0
2020-12-28,12838.86,0.010058209,74.39576952,0,0,0,0
2020-12-29,12843.49,0.000360624,74.71622748,0,0,0,0
2020-12-30,12845.36,0.000145599,74.86867368,0,0,0,0
2020-12-31,12888.28,0.003341284,78.44771988,0,0,0,0
2021-01-04,12694.66,-0.015022951,44.29708457,0,0,0,0
2021-01-05,12802.38,0.008485458,56.84064403,0,0,0,0
2021-01-06,12623.35,-0.013984119,39.22449599,0,0,0,0
2021-01-07,12939.57,0.025050403,63.31966656,0,0,0,0
2021-01-08,13105.2,0.012800271,70.63672929,0,0,0,0
2021-01-11,12902.49,-0.015467906,54.63143883,0,0,0,0
2021-01-12,12892.09,-0.000806046,53.87981851,0,0,0,0
2021-01-13,12973.63,0.006324808,59.16550799,0,0,0,0
2021-01-14,12898.69,-0.005776332,52.52636241,0,0,0,0
2021-01-15,12803.93,-0.007346482,44.88399806,0,0,0,0
2021-01-19,12996.54,0.015043038,59.3204772,0,0,0,0
2021-01-20,13296.45,0.023076142,72.68757663,0,0,0,0
2021-01-21,13404.99,0.008163081,76.09846316,0,0,0,0
2021-01-22,13366.4,-0.002878779,72.24895863,0,0,0,0
2021-01-25,13483.29,0.008745062,76.55906263,0,0,0,0
2021-01-26,13490.19,0.000511745,76.81414739,0,0,0,0
2021-01-27,13112.65,-0.027986263,44.80254772,0,1,1,0
2021-01-28,13201.53,0.006778187,50.61648667,0,0,0,0
2021-01-29,12925.38,-0.02091803,36.34384049,0,0,0,0
2021-02-01,13248.9,0.025029825,54.41457613,0,0,0,0
2021-02-02,13456.12,0.015640544,62.57957141,0,0,0,0
2021-02-03,13402.37,-0.003994465,59.27489616,0,0,0,0
2021-02-04,13560.89,0.011827759,65.68751238,0,0,0,0
2021-02-05,13603.96,0.003176045,67.36305179,0,0,0,0
2021-02-08,13695.02,0.006693639,70.96072882,0,0,0,0
2021-02-09,13687.08,-0.000579773,70.15158776,0,0,0,0
2021-02-10,13655.27,-0.00232409,66.50581016,0,0,0,0
2021-02-11,13734.35,0.005791171,71.00164427,0,0,0,0
2021-02-12,13807.7,0.005340624,74.77091252,0,0,0,0
2021-02-16,13773.77,-0.002457325,69.73909408,0,0,0,0
2021-02-17,13699.71,-0.005376887,59.28844151,0,0,0,0
2021-02-18,13637.51,-0.004540242,51.50915982,0,0,0,0
2021-02-19,13580.78,-0.00415985,45.04099492,0,0,0,0
2021-02-22,13223.74,-0.026290095,23.11716236,0,0,0,0
2021-02-23,13194.71,-0.002195294,22.06905989,0,0,0,0
2021-02-24,13302.19,0.008145689,35.13502121,0,0,0,0
