date,close,ROI,BBL_12_1.0,BBU_12_1.0,BBM_12_1.0,BBL_20_1.0,BBU_20_1.0,BBM_20_1.0,BBL_12_2.0,BBU_12_2.0,BBM_12_2.0,BBL_20_2.0,BBU_20_2.0,BBM_20_2.0,Entry_signal_long_2,Exit_signal_long_2,Entry_signal_short_2,Exit_signal_short_2
2020-10-22 17:00:00,1903.88,,,,,,,,,,,,,,0,0,0,0
2020-10-22 18:00:00,1906.45,0.0013498749921212472,,,,,,,,,,,,,0,0,0,0
2020-10-22 19:00:00,1904.94,-0.0007920480474179481,,,,,,,,,,,,,0,0,0,0
2020-10-22 20:00:00,1903.31,-0.0008556699948555346,,,,,,,,,,,,,0,0,0,0
2020-10-22 21:00:00,1904.57,0.0006620046130163537,,,,,,,,,,,,,0,0,0,0
2020-10-22 22:00:00,1907.02,0.0012863796027449135,,,,,,,,,,,,,0,0,0,0
2020-10-22 23:00:00,1906.55,-0.0002464578242493687,,,,,,,,,,,,,0,0,0,0
2020-10-23 00:00:00,1905.95,-0.00031470457108384586,,,,,,,,,,,,,0,0,0,0
2020-10-23 01:00:00,1904.92,-0.0005404129174427785,,,,,,,,,,,,,0,0,0,0
2020-10-23 02:00:00,1906.49,0.0008241815929277418,,,,,,,,,,,,,0,0,0,0
2020-10-23 03:00:00,1908.84,0.001232631694894737,,,,,,,,,,,,,0,0,0,0
2020-10-23 04:00:00,1911.12,0.0011944426981831402,1904.0002367116958,1908.3397632883045,1906.17,,,,1901.830473423392,1910.5095265766086,1906.17,,,,0,0,0,0
2020-10-23 05:00:00,1909.25,-0.0009784838210054048,1904.409542799328,1908.825457200672,1906.6175,,,,1902.201585598656,1911.0334144013445,1906.6175,,,,0,0,0,0
2020-10-23 06:00:00,1910.68,0.0007489852036139942,1904.472535831543,1909.4674641684567,1906.97,,,,1901.9750716630856,1911.9649283369145,1906.97,,,,0,0,0,0
2020-10-23 07:00:00,1910.78,5.2337387736356426e-05,1904.8253229610723,1910.0880103722611,1907.456666666667,,,,1902.1939792554786,1912.7193540778546,1907.456666666667,,,,0,0,0,0
2020-10-23 08:00:00,1910.72,-3.1400789206492696e-05,1905.642510073338,1910.5058232599952,1908.0741666666665,,,,1903.210853480009,1912.937479853324,1908.0741666666665,,,,0,0,0,0
2020-10-23 09:00:00,1903.46,-0.003799614804890328,1905.3888239538642,1910.5745093794687,1907.9816666666666,,,,1902.7959812410613,1913.167352092272,1907.9816666666666,,,,0,0,0,0
2020-10-23 10:00:00,1898.02,-0.002857953411156577,1903.3526887475532,1911.11064458578,1907.2316666666666,,,,1899.4737108284398,1914.989622504893,1907.2316666666666,,,,0,0,0,0
2020-10-23 11:00:00,1898.78,0.0004004172769518366,1901.9971683248443,1911.1711650084887,1906.5841666666665,,,,1897.410169983022,1915.758163350311,1906.5841666666665,,,,0,0,0,0
2020-10-23 12:00:00,1900.96,0.0011481056257176547,1901.301000979525,1911.0356656871409,1906.168333333333,1902.0173689817443,1909.651631018255,1905.8345,1896.4336686257168,1915.9029980409491,1906.168333333333,1898.2002379634887,1913.4687620365107,1905.8345,0,0,0,0
2020-10-23 13:00:00,1903.25,0.0012046544903627776,1901.0994230658594,1910.9589102674734,1906.0291666666665,1901.9663415032016,1909.6396584967981,1905.803,1896.1696794650525,1915.8886538682807,1906.0291666666665,1898.129683006404,1913.476316993596,1905.803,0,0,0,0
