date,close,ROI,BB_Lower,BB_Upper,BB_Middle,Entry_signal_long_4,Exit_signal_long_4,Entry_signal_short_4,Exit_signal_short_4
2020-07-07,10524.01,,,,,0,0,0,0
2020-07-08,10666.7,0.01355852,,,,0,0,0,0
2020-07-09,10754.59,0.008239662,,,,0,0,0,0
2020-07-10,10836.33,0.007600476,,,,0,0,0,0
2020-07-13,10602.21,-0.021605101,,,,0,0,0,0
2020-07-14,10689.52,0.008235076,,,,0,0,0,0
2020-07-15,10701.68,0.001137563,,,,0,0,0,0
2020-07-16,10626.46,-0.007028803,,,,0,0,0,0
2020-07-17,10645.22,0.001765404,,,,0,0,0,0
2020-07-20,10952.08,0.028826083,,,,0,0,0,0
2020-07-21,10833.07,-0.010866429,,,,0,0,0,0
2020-07-22,10870.75,0.003478238,10599.2646,10851.17206,10725.21833,0,0,0,0
2020-07-23,10580.59,-0.026691811,10611.35327,10848.5134,10729.93333,0,0,0,0
2020-07-24,10483.13,-0.009211207,10576.8683,10852.40337,10714.63583,0,0,0,0
2020-07-27,10674.38,0.018243597,10570.35315,10845.55019,10707.95167,0,0,0,0
2020-07-28,10532.5,-0.013291638,10542.86762,10822.39738,10682.6325,0,0,0,0
2020-07-29,10662.98,0.012388322,10550.0254,10825.36793,10687.69667,0,0,0,0
2020-07-30,10715.51,0.00492639,10551.95571,10827.76929,10689.8625,0,1,0,0
2020-07-31,10905.88,0.017765837,10555.44655,10858.31178,10706.87917,0,0,0,0
2020-08-03,11055.08,0.013680693,10563.78394,10921.41106,10742.5975,0,0,0,0
2020-08-04,11096.54,0.003750312,10577.82713,10982.58787,10780.2075,0,0,0,0
2020-08-05,11125.44,0.002604415,10573.5666,11015.74173,10794.65417,0,0,0,0
2020-08-06,11267.08,0.012731182,10570.80591,11090.83743,10830.82167,0,0,0,0
2020-08-07,11139.39,-0.011333016,10578.304,11128.11267,10853.20833,0,0,0,0
2020-08-10,11085.17,-0.004867412,10627.3413,11163.17203,10895.25667,0,0,1,0
2020-08-11,10876.08,-0.018862137,10693.05242,11162.95258,10928.0025,0,0,0,1
2020-08-12,11157.72,0.025895359,10739.41117,11197.1505,10968.28083,0,0,0,0
2020-08-13,11178.37,0.001850737,10832.44701,11211.75966,11022.10333,0,0,0,0
2020-08-14,11164.45,-0.001245262,10908.38695,11219.39805,11063.8925,0,0,0,0
2020-08-17,11288.57,0.011117431,10988.1585,11235.1365,11111.6475,0,0,0,0
2020-08-18,11399.03,0.009785119,11022.10612,11283.38055,11152.74333,0,0,0,0
2020-08-19,11318.64,-0.007052354,11039.89305,11309.52028,11174.70667,0,0,0,0
2020-08-20,11477.05,0.013995498,11048.83249,11363.99918,11206.41583,0,0,0,0
2020-08-21,11555.16,0.006805756,11058.12241,11426.32925,11242.22583,0,0,0,0
2020-08-24,11626.17,0.006145307,11057.0634,11487.2366,11272.15,0,0,0,0
2020-08-25,11721.81,0.008226269,11074.77559,11566.59441,11320.685,0,0,0,0
2020-08-26,11971.94,0.021338855,11097.8853,11691.2797,11394.5825,0,0,0,0
2020-08-27,11926.16,-0.003823942,11197.618,11766.56033,11482.08917,0,0,0,0
2020-08-28,11995.85,0.005843457,11251.879,11851.98767,11551.93333,0,0,0,0
2020-08-31,12110.7,0.009574144,11314.75485,11944.50015,11629.6275,0,0,0,0
2020-09-01,12292.86,0.015041245,11392.27741,12055.04593,11723.66167,0,0,0,0
2020-09-02,12420.54,0.010386517,11461.55485,12174.43015,11817.9925,0,0,0,0
2020-09-03,11771.37,-0.052265844,11516.99992,12181.04175,11849.02083,0,0,1,1
2020-09-04,11622.13,-0.012678218,11576.57522,12172.04811,11874.31167,0,0,0,0
2020-09-08,11068.26,-0.047656497,11476.791,12203.70067,11840.24583,0,0,0,0
2020-09-09,11395.85,0.029597245,11449.51533,12204.42467,11826.97,0,0,0,0
2020-09-10,11154.12,-0.021212108,11365.40577,12209.85923,11787.6325,0,0,0,0
2020-09-11,11087.4,-0.005981646,11266.35543,12203.17457,11734.765,0,0,0,0
2020-09-14,11277.76,0.017169039,11197.71968,12156.11365,11676.91667,0,0,0,0
2020-09-15,11438.87,0.014285638,11159.5127,12113.10564,11636.30917,0,0,0,0
2020-09-16,11247.6,-0.016721057,11099.53168,12048.37832,11573.955,0,0,0,0
2020-09-17,11080.95,-0.014816494,11026.67787,11949.60713,11488.1425,0,0,0,0
2020-09-18,10936.98,-0.012992568,10965.55685,11784.74815,11375.1525,0,0,0,0
2020-09-21,10980.22,0.003953559,10996.5081,11513.74356,11255.12583,0,0,0,0
2020-09-22,11186.37,0.018774669,11005.14891,11407.60275,11206.37583,0,0,0,0
2020-09-23,10833.33,-0.031559836,10959.7668,11321.5182,11140.6425,0,0,0,0
2020-09-24,10896.47,0.005828309,10932.84237,11319.81096,11126.32667,0,0,0,0
2020-09-25,11151.13,0.023370871,10931.47844,11280.38823,11105.93333,0,1,0,0
2020-09-28,11364.45,0.0191299,10933.81955,11313.10211,11123.46083,0,0,0,0
2020-09-29,11322.95,-0.003651739,10945.49679,11340.68321,11143.09,0,0,0,0
2020-09-30,11418.06,0.008399754,10944.73708,11364.82625,11154.78167,0,0,0,0
2020-10-01,11583.2,0.014463052,10935.92034,11397.698,11166.80917,0,0,0,0
2020-10-02,11255.69,-0.02827457,10936.32551,11398.64116,11167.48333,0,0,0,0
2020-10-05,11509.06,0.022510393,10954.21836,11452.09997,11203.15917,0,0,0,0
2020-10-06,11291.27,-0.018923353,10997.55497,11467.8117,11232.68333,0,0,0,0
2020-10-07,11503.19,0.018768482,11043.73196,11508.79637,11276.26417,0,0,0,0
2020-10-08,11550.94,0.004151022,11063.35815,11549.93185,11306.645,0,0,0,0
2020-10-09,11725.85,0.015142491,11160.19749,11601.84584,11381.02167,0,0,0,0
2020-10-12,12088.11,0.030894136,11231.09961,11729.55039,11480.325,0,0,0,0
2020-10-13,12083.17,-0.000408666,11277.42619,11838.56381,11557.995,0,0,0,0
2020-10-14,11985.36,-0.00809473,11311.41474,11908.06026,11609.7375,0,0,0,0
2020-10-15,11898.57,-0.007241334,11363.43836,11951.97331,11657.70583,0,0,1,0
2020-10-16,11852.17,-0.003899628,11405.1212,11982.64214,11693.88167,0,0,0,0
2020-10-19,11634.35,-0.018378069,11410.79195,11985.49638,11698.14417,0,0,0,1
2020-10-20,11677.84,0.003738069,11481.40705,11985.23961,11733.32333,0,0,0,0
2020-10-21,11665.37,-0.001067834,11503.19424,11989.50409,11746.34917,0,0,0,0
2020-10-22,11662.91,-0.000210881,11577.60964,11977.02869,11777.31917,0,0,0,0
2020-10-23,11692.57,0.002543105,11610.25223,11975.94944,11793.10083,0,0,0,0
2020-10-26,11504.52,-0.016082863,11600.40184,11978.06316,11789.2325,0,0,0,0
2020-10-27,11598.95,0.008208078,11582.54174,11974.77326,11778.6575,0,0,0,0
2020-10-28,11142.76,-0.039330284,11455.44835,11944.30832,11699.87833,0,0,0,0
2020-10-29,11350.74,0.018665035,11407.74103,11869.94397,11638.8425,0,0,0,0
2020-10-30,11052.95,-0.026235294,11302.08158,11820.20175,11561.14167,0,0,0,0
2020-11-02,11084.76,0.002877965,11224.29824,11762.3501,11493.32417,0,0,0,0
2020-11-03,11279.91,0.017605253,11195.97978,11695.29189,11445.63583,0,0,0,0
2020-11-04,11777.02,0.044070387,11194.99954,11720.05046,11457.525,0,1,0,0
2020-11-05,12078.07,0.025562494,11177.34853,11804.40647,11490.8775,0,0,0,0
2020-11-06,12091.35,0.001099513,11170.09421,11882.65746,11526.37583,0,0,0,0
2020-11-09,11830.39,-0.021582371,11175.04953,11905.61547,11540.3325,0,0,0,0
2020-11-10,11624.29,-0.017421235,11171.42053,11897.86447,11534.6425,0,0,0,0
2020-11-11,11892.93,0.023110229,11189.68413,11944.33587,11567.01,0,0,0,0
2020-11-12,11827.14,-0.005531858,11201.26721,11970.78445,11586.02583,0,0,0,0
2020-11-13,11937.84,0.009359828,11282.63397,12021.93103,11652.2825,0,0,0,0
2020-11-16,12013.38,0.006327778,11337.50091,12077.50409,11707.5025,0,0,0,0
2020-11-17,11977.49,-0.002987502,11471.33307,12097.76193,11784.5475,0,0,0,0
2020-11-18,11894.71,-0.006911298,11629.06738,12075.01929,11852.04333,0,0,0,0
2020-11-19,11985.43,0.00762692,11777.39393,12044.2794,11910.83667,0,0,0,0
2020-11-20,11906.44,-0.006590502,11794.91756,12048.32578,11921.62167,0,0,0,1
2020-11-23,11905.94,-4.20E-05,11790.54392,12024.01108,11907.2775,0,0,0,0
2020-11-24,12079.81,0.014603635,11791.2002,12021.43147,11906.31583,0,0,0,0
2020-11-25,12152.22,0.0059943,11801.0742,12065.1958,11933.135,0,0,0,0
2020-11-27,12258.21,0.008721863,11862.14316,12109.78017,11985.96167,0,0,0,0
2020-11-30,12268.32,0.000824753,11873.28412,12161.20422,12017.24417,0,0,0,0
2020-12-01,12455.33,0.015243326,11890.99683,12248.18984,12069.59333,0,0,0,0
2020-12-02,12456.41,8.67E-05,11908.15203,12317.46297,12112.8075,0,0,0,0
2020-12-03,12467.13,0.000860601,11925.14603,12376.09397,12150.62,0,0,0,0
2020-12-04,12528.48,0.00492094,11954.06209,12439.00957,12196.53583,0,0,0,0
2020-12-07,12596.47,0.005426835,12007.38373,12502.64793,12255.01583,0,0,0,0
2020-12-08,12635.72,0.003115952,12054.87016,12563.54317,12309.20667,0,0,0,0
2020-12-09,12364.64,-0.021453467,12126.87121,12567.90879,12347.39,0,0,1,0
2020-12-10,12401.74,0.003000492,12217.47984,12559.9335,12388.70667,0,0,0,0
2020-12-11,12375.41,-0.002123089,12271.92413,12554.75587,12413.34,0,0,0,1
2020-12-14,12462.21,0.007013909,12323.89428,12554.45072,12439.1725,0,0,0,0
2020-12-15,12595.92,0.010729237,12359.23334,12575.39666,12467.315,0,0,0,0
2020-12-16,12668.16,0.00573519,12397.98151,12603.28849,12500.635,0,0,0,0
2020-12-17,12752.06,0.006622903,12401.14139,12649.58361,12525.3625,0,0,0,0
2020-12-18,12738.18,-0.001088452,12412.77505,12684.91162,12548.84333,0,0,0,0
2020-12-21,12690.26,-0.003761919,12428.33876,12706.53624,12567.4375,0,0,0,0
2020-12-22,12717.56,0.002151256,12438.32028,12728.06805,12583.19417,0,0,0,0
2020-12-23,12653.14,-0.005065437,12441.6537,12734.17963,12587.91667,0,0,0,0
