date,close,ROI,BB_Lower,BB_Upper,BB_Middle,Entry_signal_long_3,Exit_signal_long_3,Entry_signal_short_3,Exit_signal_short_3
2020-07-07,10524.01,,,,,0,0,0,0
2020-07-08,10666.7,0.01355852,,,,0,0,0,0
2020-07-09,10754.59,0.008239662,,,,0,0,0,0
2020-07-10,10836.33,0.007600476,,,,0,0,0,0
2020-07-13,10602.21,-0.021605101,,,,0,0,0,0
2020-07-14,10689.52,0.008235076,,,,0,0,0,0
2020-07-15,10701.68,0.001137563,,,,0,0,0,0
2020-07-16,10626.46,-0.007028803,,,,0,0,0,0
2020-07-17,10645.22,0.001765404,,,,0,0,0,0
2020-07-20,10952.08,0.028826083,,,,0,0,0,0
2020-07-21,10833.07,-0.010866429,,,,0,0,0,0
2020-07-22,10870.75,0.003478238,,,,0,0,0,0
2020-07-23,10580.59,-0.026691811,,,,0,0,0,0
2020-07-24,10483.13,-0.009211207,,,,0,0,0,0
2020-07-27,10674.38,0.018243597,,,,0,0,0,0
2020-07-28,10532.5,-0.013291638,,,,0,0,0,0
2020-07-29,10662.98,0.012388322,,,,0,0,0,0
2020-07-30,10715.51,0.00492639,,,,0,0,0,0
2020-07-31,10905.88,0.017765837,,,,0,0,0,0
2020-08-03,11055.08,0.013680693,10563.91794,10867.34906,10715.6335,0,0,0,0
2020-08-04,11096.54,0.003750312,10577.35075,10911.16925,10744.26,0,0,0,0
2020-08-05,11125.44,0.002604415,10581.09066,10953.30334,10767.197,0,0,0,0
2020-08-06,11267.08,0.012731182,10575.82434,11009.81866,10792.8215,0,0,0,0
2020-08-07,11139.39,-0.011333016,10577.60957,11038.33943,10807.9745,0,0,0,0
2020-08-10,11085.17,-0.004867412,10599.16352,11065.08148,10832.1225,0,0,0,0
2020-08-11,10876.08,-0.018862137,10610.77821,11072.12279,10841.4505,0,0,1,0
2020-08-12,11157.72,0.025895359,10625.7179,11102.7871,10864.2525,0,0,0,0
2020-08-13,11178.37,0.001850737,10650.36457,11133.33143,10891.848,0,0,0,0
2020-08-14,11164.45,-0.001245262,10676.32536,11159.29364,10917.8095,0,0,0,0
2020-08-17,11288.57,0.011117431,10679.31121,11189.95679,10934.634,0,0,0,0
2020-08-18,11399.03,0.009785119,10688.78858,11237.07542,10962.932,0,0,0,0
2020-08-19,11318.64,-0.007052354,10701.00478,11269.64822,10985.3265,0,0,0,0
2020-08-20,11477.05,0.013995498,10742.35056,11317.94844,11030.1495,0,0,0,0
2020-08-21,11555.16,0.006805756,10803.46171,11364.04029,11083.751,0,0,0,0
2020-08-24,11626.17,0.006145307,10843.51579,11419.16521,11131.3405,0,0,0,0
2020-08-25,11721.81,0.008226269,10910.45476,11471.15724,11190.806,0,0,0,0
2020-08-26,11971.94,0.021338855,10953.69989,11558.80811,11256.254,0,0,0,0
2020-08-27,11926.16,-0.003823942,11007.08995,11626.48305,11316.7865,0,0,0,0
2020-08-28,11995.85,0.005843457,11042.39465,11700.17535,11371.285,0,0,0,0
2020-08-31,12110.7,0.009574144,11065.24918,11782.88282,11424.066,0,0,0,0
2020-09-01,12292.86,0.015041245,11085.05402,11882.70998,11483.882,0,0,0,0
2020-09-02,12420.54,0.010386517,11108.11132,11989.16268,11548.637,0,0,0,0
2020-09-03,11771.37,-0.052265844,11135.86478,12011.83822,11573.8515,0,0,1,0
2020-09-04,11622.13,-0.012678218,11172.06924,12023.90776,11597.9885,0,0,0,0
2020-09-08,11068.26,-0.047656497,11170.13676,12024.14924,11597.143,0,0,0,1
2020-09-09,11395.85,0.029597245,11227.66833,12018.59467,11623.1315,0,0,0,0
2020-09-10,11154.12,-0.021212108,11227.26459,12018.63841,11622.9515,0,0,0,0
2020-09-11,11087.4,-0.005981646,11216.85708,12019.94892,11618.403,0,0,0,0
2020-09-14,11277.76,0.017169039,11228.50988,12019.62712,11624.0685,0,0,0,0
2020-09-15,11438.87,0.014285638,11241.34231,12021.82469,11631.5835,0,0,0,0
2020-09-16,11247.6,-0.016721057,11227.60105,12020.42295,11624.012,0,0,0,0
2020-09-17,11080.95,-0.014816494,11202.72932,12021.52568,11612.1275,0,0,0,0
2020-09-18,10936.98,-0.012992568,11149.38355,12020.86445,11585.124,0,0,0,0
2020-09-21,10980.22,0.003953559,11100.07561,12012.67839,11556.377,0,0,0,0
2020-09-22,11186.37,0.018774669,11071.08244,11997.69156,11534.387,0,0,0,0
2020-09-23,10833.33,-0.031559836,11003.55539,11976.37061,11489.963,0,0,0,0
2020-09-24,10896.47,0.005828309,10946.43364,11925.94536,11436.1895,0,0,0,0
2020-09-25,11151.13,0.023370871,10917.93665,11876.93935,11397.438,0,0,0,0
2020-09-28,11364.45,0.0191299,10907.52043,11824.21557,11365.868,0,0,0,0
2020-09-29,11322.95,-0.003651739,10902.98582,11749.97518,11326.4805,0,0,0,0
2020-09-30,11418.06,0.008399754,10924.09973,11641.38127,11282.7405,0,0,0,0
2020-10-01,11583.2,0.014463052,10989.09329,11492.65371,11240.8735,0,1,0,0
2020-10-02,11255.69,-0.02827457,10996.24458,11433.93442,11215.0895,0,0,0,0
2020-10-05,11509.06,0.022510393,11000.41997,11418.45203,11209.436,0,0,0,0
2020-10-06,11291.27,-0.018923353,11013.5592,11427.6138,11220.5865,0,0,0,0
2020-10-07,11503.19,0.018768482,11012.84158,11439.06542,11225.9535,0,0,0,0
2020-10-08,11550.94,0.004151022,11021.54135,11470.04765,11245.7945,0,0,0,0
2020-10-09,11725.85,0.015142491,11032.71608,11522.71792,11277.717,0,0,0,0
2020-10-12,12088.11,0.030894136,11013.50105,11622.96795,11318.2345,0,0,0,0
2020-10-13,12083.17,-0.000408666,11001.45061,11699.44839,11350.4495,0,0,0,0
2020-10-14,11985.36,-0.00809473,11011.80117,11762.87383,11387.3375,0,0,0,0
2020-10-15,11898.57,-0.007241334,11043.40253,11813.03447,11428.2185,0,0,0,0
2020-10-16,11852.17,-0.003899628,11096.30337,11851.65263,11473.978,0,0,0,0
2020-10-19,11634.35,-0.018378069,11146.08177,11867.28723,11506.6845,0,0,1,0
2020-10-20,11677.84,0.003738069,11176.94117,11885.57483,11531.258,0,0,0,0
2020-10-21,11665.37,-0.001067834,11258.17252,11887.54748,11572.86,0,0,0,0
2020-10-22,11662.91,-0.000210881,11339.46524,11882.89876,11611.182,0,0,0,0
2020-10-23,11692.57,0.002543105,11388.71882,11887.78918,11638.254,0,0,0,0
2020-10-26,11504.52,-0.016082863,11401.92283,11888.59217,11645.2575,0,0,0,0
2020-10-27,11598.95,0.008208078,11427.41838,11890.69662,11659.0575,0,0,0,0
2020-10-28,11142.76,-0.039330284,11391.46177,11899.12323,11645.2925,0,0,0,1
2020-10-29,11350.74,0.018665035,11371.65558,11895.68342,11633.6695,0,0,0,0
2020-10-30,11052.95,-0.026235294,11342.86731,11904.19769,11623.5325,0,0,0,0
2020-11-02,11084.76,0.002877965,11297.54353,11907.09147,11602.3175,0,0,0,0
2020-11-03,11279.91,0.017605253,11296.35537,11907.14363,11601.7495,0,0,0,0
2020-11-04,11777.02,0.044070387,11308.56347,11922.31853,11615.441,1,0,0,0
2020-11-05,12078.07,0.025562494,11318.55126,11965.04374,11641.7975,0,1,0,0
2020-11-06,12091.35,0.001099513,11321.83966,11998.30534,11660.0725,0,0,0,0
2020-11-09,11830.39,-0.021582371,11321.44051,11972.93249,11647.1865,0,0,0,0
2020-11-10,11624.29,-0.017421235,11315.08297,11933.40203,11624.2425,0,0,0,0
2020-11-11,11892.93,0.023110229,11315.4939,11923.7481,11619.621,0,0,0,0
2020-11-12,11827.14,-0.005531858,11314.96645,11917.13255,11616.0495,0,0,0,0
2020-11-13,11937.84,0.009359828,11315.1326,11925.5334,11620.333,0,0,0,0
2020-11-16,12013.38,0.006327778,11321.65308,11956.91592,11639.2845,0,0,0,0
2020-11-17,11977.49,-0.002987502,11327.77757,11980.75643,11654.267,0,0,0,0
2020-11-18,11894.71,-0.006911298,11334.83639,11996.63161,11665.734,0,0,0,0
2020-11-19,11985.43,0.00762692,11343.33628,12020.38372,11681.86,0,0,0,0
2020-11-20,11906.44,-0.006590502,11350.3161,12034.7909,11692.5535,0,0,0,0
2020-11-23,11905.94,-4.20E-05,11370.2241,12055.0249,11712.6245,0,0,0,0
2020-11-24,12079.81,0.014603635,11385.88907,12087.44593,11736.6675,0,0,0,0
2020-11-25,12152.22,0.0059943,11454.14201,12120.13899,11787.1405,0,1,0,0
2020-11-27,12258.21,0.008721863,11500.28406,12164.74394,11832.514,0,0,0,0
2020-11-30,12268.32,0.000824753,11602.59289,12183.97211,11893.2825,0,0,0,0
2020-12-01,12455.33,0.015243326,11713.26002,12210.36198,11961.811,0,0,0,0
2020-12-02,12456.41,8.67E-05,11804.9113,12236.3607,12020.636,0,0,0,0
2020-12-03,12467.13,0.000860601,11825.67974,12284.60326,12055.1415,0,0,0,0
2020-12-04,12528.48,0.00492094,11824.91067,12330.41333,12077.662,0,0,0,0
2020-12-07,12596.47,0.005426835,11824.76634,12381.06966,12102.918,0,0,0,0
2020-12-08,12635.72,0.003115952,11848.74684,12437.62216,12143.1845,0,0,0,0
2020-12-09,12364.64,-0.021453467,11908.79608,12451.60792,12180.202,0,0,1,0
2020-12-10,12401.74,0.003000492,11938.77255,12472.51245,12205.6425,0,0,0,0
2020-12-11,12375.41,-0.002123089,11979.27422,12486.83778,12233.056,0,0,0,0
2020-12-14,12462.21,0.007013909,12010.56102,12507.98798,12259.2745,0,0,0,0
2020-12-15,12595.92,0.010729237,12035.91825,12540.88475,12288.4015,0,0,0,0
2020-12-16,12668.16,0.00573519,12067.99359,12577.87641,12322.935,0,0,0,0
2020-12-17,12752.06,0.006622903,12114.60259,12617.00241,12365.8025,0,0,0,0
2020-12-18,12738.18,-0.001088452,12155.86475,12651.01525,12403.44,0,0,0,0
2020-12-21,12690.26,-0.003761919,12216.78585,12668.47615,12442.631,0,0,0,0
2020-12-22,12717.56,0.002151256,12288.04311,12678.38089,12483.212,0,0,0,0
2020-12-23,12653.14,-0.005065437,12338.15246,12685.60454,12511.8785,0,0,1,0
2020-12-24,12711.01,0.004573568,12382.85324,12696.78276,12539.818,0,0,0,0
2020-12-28,12838.86,0.010058209,12413.01892,12724.68208,12568.8505,0,0,0,0
2020-12-29,12843.49,0.000360624,12447.1792,12748.0388,12597.609,0,0,0,0
2020-12-30,12845.36,0.000145599,12460.92498,12773.29602,12617.1105,0,0,0,0
