date,close,ROI,EMA_5,EMA_10,EMA_15,EMA_20,EMA_50,Entry_signal_long_3,Exit_signal_long_3
2020-07-07,10524.01,-0.01337714569641979,10649.486874649365,10688.113964492088,10728.904889709129,10777.549302654466,11049.480183405018,0,0
2020-07-08,10666.7,-0.008172324560954847,10712.225311974042,10724.581512156998,10758.175588239008,10804.237650302304,11070.927945992977,0,0
2020-07-09,10754.59,-0.007543144219491316,10734.987967961062,10737.444070414107,10771.24352941601,10818.715297702547,11087.42704582942,0,0
2020-07-10,10836.33,0.022082188524845447,10725.186951941592,10733.633863839466,10773.622605046869,10825.465329039658,11101.01223137348,0,0
2020-07-13,10602.21,-0.008167812960731768,10669.615427912388,10710.812500248241,10764.66440576785,10824.321679464883,11111.81558775607,1,1
2020-07-14,10689.52,-0.001136270193091149,10703.31814186858,10734.946389192293,10787.8721780204,10847.701856250664,11132.615815827745,0,0
2020-07-15,10701.68,0.007078556734792406,10710.217212802867,10745.041142346137,10801.922489166172,10864.35257796126,11150.701359330915,0,0
2020-07-16,10626.46,-0.0017622933109884273,10714.485819204305,10754.676951756388,10816.242844761342,10881.47600722034,11169.028761752585,0,0
2020-07-17,10645.22,-0.02801842207142391,10758.498728806451,10783.169607702252,10843.35467972725,10908.319797454058,11191.174425497591,0,0
2020-07-20,10952.08,0.010985805501118271,10815.13809320968,10813.825076080533,10871.659633974,10936.014512975536,11213.458279599532,0,0
2020-07-21,10833.07,-0.003466182186141697,10746.66713981452,10783.101759653986,10860.171010256,10934.323409078224,11224.126780807675,0,0
2020-07-22,10870.75,0.027423801508233536,10703.46570972178,10771.99770624376,10864.042583149714,10944.981662665406,11240.088282065131,0,0
2020-07-23,10580.59,0.009296841687549406,10619.823564582666,10750.05275207571,10863.08438074253,10952.795521893342,11255.163313986155,1,1
2020-07-24,10483.13,-0.01791673146356043,10639.440346873998,10787.711141425867,10903.440720848606,10991.97505051369,11282.696918638654,0,0
2020-07-27,10674.38,0.013470685971991305,10717.595520310995,10855.395839520506,10963.485109541263,11045.537687409873,11315.332303072882,0,0
2020-07-28,10532.5,-0.012236729319570984,10739.203280466492,10895.621581636176,11004.78583947573,11084.60691766354,11341.493621565654,0,0
2020-07-29,10662.98,-0.004902239837394684,10842.554920699737,10976.315266444217,11072.25524511512,11142.723435312337,11374.513769384661,0,0
2020-07-30,10715.51,-0.017455721133920354,10932.342381049604,11045.94532565404,11130.72313727442,11193.222744292581,11403.555964053421,0,0
2020-07-31,10905.88,-0.013496057920883486,11040.758571574406,11119.375398021606,11190.039299742195,11243.508296323378,11431.639472790295,0,0
2020-08-03,11055.08,-0.003736299783536179,11108.197857361609,11166.818819804186,11230.63348541965,11279.048116988997,11453.099043108266,0,0
2020-08-04,11096.54,-0.002597650070469082,11134.75678604241,11191.649668649561,11255.712554765314,11302.623708250996,11469.344718337174,0,0
2020-08-05,11125.44,-0.01257113644351504,11153.86517906361,11212.785150571686,11278.451491160362,11324.316730172151,11484.561237452976,0,0
2020-08-06,11267.08,0.01146292570778118,11168.077768595414,11232.19518403206,11300.31027561184,11345.251122821854,11499.219247144936,0,0
2020-08-07,11139.39,0.004891219530237079,11118.576652893125,11224.443002705852,11305.057457842107,11353.47966206626,11508.694318456975,0,1
2020-08-10,11085.17,0.019224757449375133,11108.169979339686,11243.343669973821,11328.724237533836,11376.015415967971,11523.76796410828,1,0
2020-08-11,10876.08,-0.025241716049515417,11119.669969009525,11278.493374412452,11363.51770003867,11406.63072291197,11541.669921826984,0,0
2020-08-12,11157.72,-0.00184731763217727,11241.464953514282,11367.918568726329,11433.15165718705,11462.47816742902,11568.83685741176,0,0
2020-08-13,11178.37,0.0012468146661950286,11283.33743027142,11414.629361776624,11472.4990367852,11494.557974526811,11585.617137306115,0,0
2020-08-14,11164.45,-0.01099519248230718,11335.821145407132,11467.131442171429,11514.51747061166,11527.840919213846,11602.23946944106,0,0
2020-08-17,11288.57,-0.009690298209584558,11421.506718110695,11534.393984876191,11564.527109270468,11566.092594920568,11620.108427377429,0,0
2020-08-18,11399.03,0.007102443403094405,11487.975077166042,11589.021537070903,11603.949553451963,11595.305499649045,11633.640608086711,0,0
2020-08-19,11318.64,-0.01380232725308328,11532.447615749064,11631.241878642217,11633.223775373672,11615.966078559473,11643.216551273923,0,0
2020-08-20,11477.05,-0.006759750622232885,11639.351423623591,11700.708962784931,11678.164314712769,11647.2635605131,11656.464573774902,0,0
2020-08-21,11555.16,-0.0061077723790380345,11720.502135435388,11750.410954514917,11706.894931100305,11665.180777409216,11663.787617602451,0,0
2020-08-24,11626.17,-0.008159149482886985,11803.173203153081,11793.80005551823,11728.57134982892,11676.761911873342,11668.221397912752,0,0
2020-08-25,11721.81,-0.020893021515310032,11891.674804729619,11831.051178966729,11743.200114090192,11682.087376281062,11669.937781501028,0,0
2020-08-26,11971.94,0.00383862031030957,11976.607207094432,11855.326996514888,11746.255844674506,11677.90604746854,11667.820548092905,0,0
2020-08-27,11926.16,-0.005809509121904699,11978.940810641649,11829.41299574042,11714.01525105658,11646.95510509681,11655.407509239556,0,0
2020-08-28,11995.85,-0.00948334943479734,12005.331215962473,11807.913661460516,11683.708858350376,11617.565116159629,11644.3563871677,0,0
2020-08-31,12110.7,-0.01481835797365294,12010.071823943703,11766.150030673962,11639.117266686146,11577.745654702749,11630.009709092912,0,0
2020-09-01,12292.86,-0.010279746291224079,11959.757735915557,11689.583370823733,11571.748304784165,11521.645197303038,11610.389697219152,0,0
2020-09-02,12420.54,0.05514821129571157,11793.206603873332,11555.521897673452,11468.732348324758,11440.464691755991,11582.533766493403,0,0
2020-09-03,11771.37,0.012841019675395192,11479.539905809996,11363.295652711997,11332.75982665687,11337.298869835566,11548.32943043191,0,0
2020-09-04,11622.13,0.05004128923606777,11333.624858714995,11272.61246442577,11270.101230464996,11291.60717192352,11539.225733714844,0,0
2020-09-08,11068.26,-0.028746429621309574,11189.372288072493,11194.941900964834,11219.811406245706,11256.815295283892,11535.841886111368,1,1
2020-09-09,11395.85,0.02167181274721797,11249.928432108736,11223.093434512575,11241.461607137951,11276.663221103247,11554.926861054688,0,0
2020-09-10,11154.12,0.006017641647275474,11176.967648163103,11184.70308662648,11219.406122443372,11264.117244377272,11561.41979415896,1,1
2020-09-11,11087.4,-0.016879238430326682,11188.391472244655,11191.499328099033,11228.732711363855,11275.695901680145,11578.044275553204,0,0
2020-09-14,11277.76,-0.014084433165164056,11238.88720836698,11214.63251212104,11248.923098701547,11295.516522909636,11598.070572514558,0,0
