,date,close,ROI,EMA_5,EMA_10,EMA_15,EMA_20,EMA_50,Entry_signal_short_5,Exit_signal_short_5,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
0,2020-10-22 17:00:00,1903.88,,,,,,,0,0,0,0,100000.0,0,0,0.0
1,2020-10-22 18:00:00,1906.45,0.0013498749921212472,,,,,,0,0,0,0,100000.0,0,0,0.0
2,2020-10-22 19:00:00,1904.94,-0.0007920480474179481,,,,,,0,0,0,0,100000.0,0,0,0.0
3,2020-10-22 20:00:00,1903.31,-0.0008556699948555346,,,,,,0,0,0,0,100000.0,0,0,0.0
4,2020-10-22 21:00:00,1904.57,0.0006620046130163537,1904.63,,,,,0,0,0,0,100000.0,0,0,0.0
5,2020-10-22 22:00:00,1907.02,0.0012863796027449135,1905.426666666667,,,,,0,0,0,0,100000.0,0,0,0.0
6,2020-10-22 23:00:00,1906.55,-0.0002464578242493687,1905.8011111111114,,,,,0,0,0,0,100000.0,0,0,0.0
7,2020-10-23 00:00:00,1905.95,-0.00031470457108384586,1905.850740740741,,,,,0,0,0,0,100000.0,0,0,0.0
8,2020-10-23 01:00:00,1904.92,-0.0005404129174427785,1905.5404938271606,,,,,0,0,0,0,100000.0,0,0,0.0
9,2020-10-23 02:00:00,1906.49,0.0008241815929277418,1905.8569958847736,1905.408,,,,0,0,0,0,100000.0,0,0,0.0
10,2020-10-23 03:00:00,1908.84,0.001232631694894737,1906.8513305898496,1906.032,,,,0,0,0,0,100000.0,0,0,0.0
11,2020-10-23 04:00:00,1911.12,0.0011944426981831402,1908.2742203932328,1906.957090909091,,,,0,0,0,0,100000.0,0,0,0.0
12,2020-10-23 05:00:00,1909.25,-0.0009784838210054048,1908.599480262156,1907.3739834710736,,,,0,0,0,0,100000.0,0,0,0.0
13,2020-10-23 06:00:00,1910.68,0.0007489852036139942,1909.2929868414367,1907.975077385424,,,,0,0,0,0,100000.0,0,0,0.0
14,2020-10-23 07:00:00,1910.78,5.233738773635642e-05,1909.788657894292,1908.485063315347,1906.983333333333,,,0,0,0,0,100000.0,0,0,0.0
15,2020-10-23 08:00:00,1910.72,-3.1400789206492696e-05,1910.099105262861,1908.8914154398287,1907.4504166666666,,,0,0,0,0,100000.0,0,0,0.0
16,2020-10-23 09:00:00,1903.46,-0.003799614804890328,1907.8860701752408,1907.90388535986,1906.9516145833331,,,0,0,0,0,100000.0,0,0,0.0
17,2020-10-23 10:00:00,1898.02,-0.002857953411156577,1904.5973801168275,1906.1068152944308,1905.8351627604168,,,0,0,0,0,100000.0,0,0,0.0
18,2020-10-23 11:00:00,1898.78,0.0004004172769518366,1902.6582534112185,1904.7746670590795,1904.9532674153643,,,0,0,0,0,100000.0,0,0,0.0
19,2020-10-23 12:00:00,1900.96,0.0011481056257176547,1902.0921689408124,1904.0810912301558,1904.454108988444,1905.8345,,0,0,0,0,100000.0,0,0,0.0
20,2020-10-23 13:00:00,1903.25,0.0012046544903627776,1902.478112627208,1903.929983733764,1904.303595364888,1905.5883571428567,,0,0,0,0,100000.0,0,0,0.0
21,2020-10-23 14:00:00,1902.24,-0.0005306712202810537,1902.3987417514718,1903.622713963988,1904.045645944277,1905.2694659863944,,0,0,0,0,100000.0,0,0,0.0
22,2020-10-23 15:00:00,1903.72,0.0007780301118680555,1902.839161167648,1903.640402334172,1904.0049402012423,1905.1218977972144,,0,0,0,0,100000.0,0,0,0.0
23,2020-10-23 16:00:00,1902.05,-0.0008772298447251581,1902.5761074450988,1903.3512382734127,1903.7605726760873,1904.8293361022406,,0,0,0,0,100000.0,0,0,0.0
24,2020-10-25 18:00:00,1893.74,-0.0043689703214951905,1899.6307382967327,1901.60374040552,1902.508001091576,1903.773208854409,,0,0,0,0,100000.0,0,0,0.0
25,2020-10-25 19:00:00,1898.64,0.002587472409095293,1899.3004921978213,1901.0648785136068,1902.024500955129,1903.2843318206562,,0,0,0,0,100000.0,0,0,0.0
26,2020-10-25 20:00:00,1900.21,0.0008269076812876808,1899.6036614652148,1900.9094460565875,1901.7976883357376,1902.9915383139264,,0,0,0,0,100000.0,0,0,0.0
27,2020-10-25 21:00:00,1897.65,-0.0013472195178427793,1898.9524409768105,1900.316819500844,1901.2792272937704,1902.4828203792667,,0,0,0,0,100000.0,0,0,0.0
28,2020-10-25 22:00:00,1899.1,0.0007641029694620549,1899.0016273178733,1900.0955795915995,1901.0068238820493,1902.1606470098127,,0,0,0,0,100000.0,0,0,0.0
29,2020-10-25 23:00:00,1898.42,-0.0003580643462691713,1898.8077515452487,1899.7909287567636,1900.6834708967926,1901.8043949136402,,0,0,0,0,100000.0,0,0,0.0
30,2020-10-26 00:00:00,1897.57,-0.0004477407528366007,1898.395167696833,1899.3871235282609,1900.294287034694,1901.4011192075795,,0,0,0,0,100000.0,0,0,0.0
31,2020-10-26 01:00:00,1897.22,-0.00018444642358383942,1898.0034451312226,1898.9931010685766,1899.9100011553567,1901.0029173782864,,0,0,0,0,100000.0,0,0,0.0
32,2020-10-26 02:00:00,1897.86,0.00033733568062732644,1897.9556300874815,1898.7870826924718,1899.6537510109372,1900.7035919136881,,0,0,0,0,100000.0,0,0,0.0
33,2020-10-26 03:00:00,1900.49,0.0013857713424594298,1898.8004200583207,1899.096704021113,1899.7582821345707,1900.6832498266697,,0,0,0,0,100000.0,0,0,0.0
34,2020-10-26 04:00:00,1898.53,-0.0010313129771796212,1898.710280038881,1898.9936669263648,1899.604746867749,1900.478178414605,,0,0,0,0,100000.0,0,0,0.0
35,2020-10-26 05:00:00,1902.82,0.002259642986942589,1900.0801866925879,1899.689363848844,1900.0066535092803,1900.701209041786,,0,1,0,0,100000.0,0,0,0.0
36,2020-10-26 06:00:00,1904.76,0.0010195394204390864,1901.6401244617248,1900.6112976945087,1900.6008218206198,1901.0877605616158,,0,0,0,0,100000.0,0,0,0.0
37,2020-10-26 07:00:00,1903.93,-0.00043575043575039285,1902.4034163078168,1901.2146981136887,1901.0169690930427,1901.3584500319384,,0,0,0,0,100000.0,0,0,0.0
38,2020-10-26 08:00:00,1901.5,-0.001276307427268919,1902.1022775385445,1901.2665711839272,1901.0773479564123,1901.3719309812773,,0,0,0,0,100000.0,0,0,0.0
39,2020-10-26 09:00:00,1905.22,0.001956350249802785,1903.1415183590293,1901.985376423213,1901.5951794618607,1901.7384137449649,,0,0,0,0,100000.0,0,0,0.0
40,2020-10-26 10:00:00,1903.67,-0.000813554340181155,1903.3176789060199,1902.2916716189927,1901.8545320291282,1901.9223743406824,,0,0,0,0,100000.0,0,0,0.0
41,2020-10-26 11:00:00,1904.48,0.0004254939143863989,1903.70511927068,1902.689549506448,1902.1827155254869,1902.1659577368084,,0,0,0,0,100000.0,0,0,0.0
42,2020-10-26 12:00:00,1904.21,-0.00014177098210532701,1903.87341284712,1902.9659950507305,1902.4361260848007,1902.3606284285406,,0,0,0,0,100000.0,0,0,0.0
43,2020-10-26 13:00:00,1902.68,-0.0008034828091438848,1903.4756085647464,1902.9139959505967,1902.4666103242007,1902.39104476868,,0,0,0,0,100000.0,0,0,0.0
44,2020-10-26 14:00:00,1903.46,0.0004099480732440153,1903.4704057098315,1903.0132694141253,1902.590784033676,1902.4928500288056,,0,0,0,0,100000.0,0,0,0.0
45,2020-10-26 15:00:00,1902.49,-0.0005095983104451697,1903.143603806555,1902.9181295206479,1902.578186029466,1902.4925785974908,,1,0,0,-1,101000.0,1000,0,0.5256269415345153
46,2020-10-26 16:00:00,1902.08,-0.00021550704602923965,1902.7890692043693,1902.7657423350754,1902.5159127757827,1902.4532853977296,,0,0,0,-1,101000.0,0,0,0.5256269415345153
47,2020-10-26 17:00:00,1902.04,-2.1029609690415008e-05,1902.5393794695801,1902.6337891832434,1902.4564236788092,1902.413924883661,,0,0,0,-1,101000.0,0,0,0.5256269415345153
