,date,close,ROI,BB_Lower,BB_Upper,BB_Middle,Entry_signal_long_2,Exit_signal_long_2,Entry_signal_short_2,Exit_signal_short_2,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
0,2020-07-07,10524.01,,,,,0,0,0,0,0,0,100000,0,0,0
1,2020-07-08,10666.7,0.01355852,,,,0,0,0,0,0,0,100000,0,0,0
2,2020-07-09,10754.59,0.008239662,,,,0,0,0,0,0,0,100000,0,0,0
3,2020-07-10,10836.33,0.007600476,,,,0,0,0,0,0,0,100000,0,0,0
4,2020-07-13,10602.21,-0.021605101,,,,0,0,0,0,0,0,100000,0,0,0
5,2020-07-14,10689.52,0.008235076,,,,0,0,0,0,0,0,100000,0,0,0
6,2020-07-15,10701.68,0.001137563,,,,0,0,0,0,0,0,100000,0,0,0
7,2020-07-16,10626.46,-0.007028803,,,,0,0,0,0,0,0,100000,0,0,0
8,2020-07-17,10645.22,0.001765404,,,,0,0,0,0,0,0,100000,0,0,0
9,2020-07-20,10952.08,0.028826083,,,,0,0,0,0,0,0,100000,0,0,0
10,2020-07-21,10833.07,-0.010866428999999999,,,,0,0,0,0,0,0,100000,0,0,0
11,2020-07-22,10870.75,0.003478238,10473.310870000001,10977.1258,10725.21833,0,0,0,0,0,0,100000,0,0,0
12,2020-07-23,10580.59,-0.026691811,10492.7732,10967.09347,10729.93333,0,0,0,0,0,0,100000,0,0,0
13,2020-07-24,10483.13,-0.009211206999999999,10439.100770000001,10990.1709,10714.63583,0,0,0,0,0,0,100000,0,0,0
14,2020-07-27,10674.38,0.018243597,10432.75463,10983.14871,10707.95167,0,0,0,0,0,0,100000,0,0,0
15,2020-07-28,10532.5,-0.013291638,10403.10273,10962.16227,10682.6325,0,0,0,0,0,0,100000,0,0,0
16,2020-07-29,10662.98,0.012388322,10412.354140000001,10963.039190000001,10687.696670000001,0,0,0,0,0,0,100000,0,0,0
17,2020-07-30,10715.51,0.00492639,10414.048920000001,10965.67608,10689.8625,0,0,0,0,0,0,100000,0,0,0
18,2020-07-31,10905.88,0.017765837,10404.01393,11009.7444,10706.87917,0,0,0,0,0,0,100000,0,0,0
19,2020-08-03,11055.08,0.013680693,10384.970370000001,11100.224629999999,10742.5975,0,0,0,0,0,0,100000,0,0,0
20,2020-08-04,11096.54,0.003750312,10375.44675,11184.96825,10780.2075,0,0,0,0,0,0,100000,0,0,0
21,2020-08-05,11125.44,0.002604415,10352.47904,11236.829290000001,10794.65417,0,0,0,0,0,0,100000,0,0,0
22,2020-08-06,11267.08,0.012731181999999999,10310.79015,11350.85319,10830.821670000001,0,0,0,0,0,0,100000,0,0,0
23,2020-08-07,11139.39,-0.011333016000000001,10303.39966,11403.01701,10853.20833,0,0,0,0,0,0,100000,0,0,0
24,2020-08-10,11085.17,-0.004867412,10359.425940000001,11431.08739,10895.25667,0,0,0,0,0,0,100000,0,0,0
25,2020-08-11,10876.08,-0.018862137,10458.102340000001,11397.90266,10928.0025,0,0,0,0,0,0,100000,0,0,0
26,2020-08-12,11157.72,0.025895359,10510.5415,11426.02016,10968.28083,0,0,0,0,0,0,100000,0,0,0
27,2020-08-13,11178.37,0.001850737,10642.79068,11401.415990000001,11022.10333,0,0,0,0,0,0,100000,0,0,0
28,2020-08-14,11164.45,-0.001245262,10752.8814,11374.9036,11063.8925,0,0,0,0,0,0,100000,0,0,0
29,2020-08-17,11288.57,0.011117431,10864.66949,11358.62551,11111.6475,0,0,0,0,0,0,100000,0,0,0
30,2020-08-18,11399.03,0.009785119,10891.46891,11414.017759999999,11152.74333,0,0,0,0,0,0,100000,0,0,0
31,2020-08-19,11318.64,-0.007052354,10905.079440000001,11444.3339,11174.70667,0,0,0,0,0,0,100000,0,0,0
32,2020-08-20,11477.05,0.013995498,10891.24914,11521.58253,11206.41583,0,0,0,0,0,0,100000,0,0,0
33,2020-08-21,11555.16,0.006805756,10874.01899,11610.43267,11242.22583,0,0,0,0,0,0,100000,0,0,0
34,2020-08-24,11626.17,0.006145306999999999,10841.97681,11702.323190000001,11272.15,0,0,0,0,0,0,100000,0,0,0
35,2020-08-25,11721.81,0.008226269,10828.866170000001,11812.50383,11320.685,0,0,0,0,0,0,100000,0,0,0
36,2020-08-26,11971.94,0.021338855,10801.1881,11987.9769,11394.5825,0,0,0,0,0,0,100000,0,0,0
37,2020-08-27,11926.16,-0.0038239420000000003,10913.14683,12051.0315,11482.089170000001,0,0,0,0,0,0,100000,0,0,0
38,2020-08-28,11995.85,0.005843457,10951.82466,12152.042,11551.93333,0,0,0,0,0,0,100000,0,0,0
39,2020-08-31,12110.7,0.009574144,10999.88219,12259.372809999999,11629.6275,0,0,0,0,0,0,100000,0,0,0
40,2020-09-01,12292.86,0.015041245,11060.89314,12386.430190000001,11723.66167,0,0,0,0,0,0,100000,0,0,0
41,2020-09-02,12420.54,0.010386517,11105.1172,12530.8678,11817.9925,0,0,0,0,0,0,100000,0,0,0
42,2020-09-03,11771.37,-0.052265844000000006,11184.979,12513.062670000001,11849.02083,0,0,0,0,0,0,100000,0,0,0
43,2020-09-04,11622.13,-0.012678218,11278.83878,12469.78456,11874.311670000001,0,0,0,0,0,0,100000,0,0,0
44,2020-09-08,11068.26,-0.047656497,11113.33617,12567.1555,11840.24583,0,0,0,0,0,0,100000,0,0,0
45,2020-09-09,11395.85,0.029597245,11072.06065,12581.87935,11826.97,0,0,0,0,0,0,100000,0,0,0
46,2020-09-10,11154.12,-0.021212107999999997,10943.17904,12632.085959999999,11787.6325,0,0,0,0,0,0,100000,0,0,0
47,2020-09-11,11087.4,-0.005981646,10797.94585,12671.58415,11734.765,0,0,0,0,0,0,100000,0,0,0
48,2020-09-14,11277.76,0.017169039,10718.5227,12635.31064,11676.91667,0,0,0,0,0,0,100000,0,0,0
49,2020-09-15,11438.87,0.014285638,10682.71623,12589.902109999999,11636.30917,0,0,0,0,0,0,100000,0,0,0
50,2020-09-16,11247.6,-0.016721057,10625.10837,12522.80163,11573.955,0,0,0,0,0,0,100000,0,0,0
51,2020-09-17,11080.95,-0.014816494,10565.21325,12411.07175,11488.1425,0,0,0,0,0,0,100000,0,0,0
52,2020-09-18,10936.98,-0.012992568000000001,10555.96119,12194.34381,11375.1525,0,0,0,0,0,0,100000,0,0,0
53,2020-09-21,10980.22,0.003953559000000001,10737.890370000001,11772.36129,11255.125829999999,0,0,0,0,0,0,100000,0,0,0
54,2020-09-22,11186.37,0.018774669,10803.92199,11608.829670000001,11206.375829999999,0,0,0,0,0,0,100000,0,0,0
55,2020-09-23,10833.33,-0.031559836,10778.891090000001,11502.393909999999,11140.6425,0,0,0,0,0,0,100000,0,0,0
56,2020-09-24,10896.47,0.005828309,10739.35808,11513.29525,11126.32667,0,0,0,0,0,0,100000,0,0,0
57,2020-09-25,11151.13,0.023370871,10757.02355,11454.84312,11105.93333,0,0,0,0,0,0,100000,0,0,0
58,2020-09-28,11364.45,0.019129900000000002,10744.17827,11502.743390000001,11123.46083,0,0,0,0,0,0,100000,0,0,0
59,2020-09-29,11322.95,-0.003651739,10747.90357,11538.27643,11143.09,0,0,0,0,0,0,100000,0,0,0
60,2020-09-30,11418.06,0.008399754,10734.6925,11574.870840000001,11154.78167,0,0,0,0,0,0,100000,0,0,0
61,2020-10-01,11583.2,0.014463051999999999,10705.031509999999,11628.58683,11166.80917,0,0,0,0,0,0,100000,0,0,0
62,2020-10-02,11255.69,-0.02827457,10705.16768,11629.798990000001,11167.48333,0,0,0,0,0,0,100000,0,0,0
63,2020-10-05,11509.06,0.022510392999999997,10705.27755,11701.04078,11203.15917,0,0,0,0,0,0,100000,0,0,0
64,2020-10-06,11291.27,-0.018923353,10762.4266,11702.940059999999,11232.68333,0,0,0,0,0,0,100000,0,0,0
65,2020-10-07,11503.19,0.018768482,10811.19976,11741.32857,11276.26417,0,0,0,0,0,0,100000,0,0,0
66,2020-10-08,11550.94,0.004151022,10820.0713,11793.2187,11306.645,0,0,0,0,0,0,100000,0,0,0
67,2020-10-09,11725.85,0.015142491000000001,10939.37332,11822.67002,11381.02167,0,0,0,0,0,0,100000,0,0,0
68,2020-10-12,12088.11,0.030894136000000003,10981.87422,11978.77578,11480.325,0,0,0,0,0,0,100000,0,0,0
69,2020-10-13,12083.17,-0.00040866599999999997,10996.85737,12119.13263,11557.995,0,0,0,0,0,0,100000,0,0,0
70,2020-10-14,11985.36,-0.00809473,11013.09197,12206.383029999999,11609.7375,0,0,0,0,0,0,100000,0,0,0
71,2020-10-15,11898.57,-0.007241334,11069.170890000001,12246.24078,11657.705829999999,0,0,0,0,0,0,100000,0,0,0
72,2020-10-16,11852.17,-0.003899628,11116.36073,12271.4026,11693.88167,0,0,0,0,0,0,100000,0,0,0
73,2020-10-19,11634.35,-0.018378069,11123.43974,12272.8486,11698.14417,0,0,0,0,0,0,100000,0,0,0
74,2020-10-20,11677.84,0.003738069,11229.49077,12237.15589,11733.32333,0,0,0,0,0,0,100000,0,0,0
75,2020-10-21,11665.37,-0.001067834,11260.03932,12232.65901,11746.34917,0,0,0,0,0,0,100000,0,0,0
76,2020-10-22,11662.91,-0.00021088099999999998,11377.90012,12176.738220000001,11777.31917,0,0,0,0,0,0,100000,0,0,0
77,2020-10-23,11692.57,0.002543105,11427.403629999999,12158.798040000001,11793.10083,0,0,0,0,0,0,100000,0,0,0
78,2020-10-26,11504.52,-0.016082863,11411.57119,12166.89381,11789.2325,0,0,0,0,0,0,100000,0,0,0
79,2020-10-27,11598.95,0.008208078,11386.42598,12170.88902,11778.6575,0,0,0,0,0,0,100000,0,0,0
80,2020-10-28,11142.76,-0.039330284,11211.01836,12188.738309999999,11699.87833,0,0,0,0,0,0,100000,0,0,0
81,2020-10-29,11350.74,0.018665035,11176.63955,12101.04545,11638.8425,0,0,0,0,0,0,100000,0,0,0
82,2020-10-30,11052.95,-0.026235294,11043.021490000001,12079.261840000001,11561.14167,0,0,0,0,0,0,100000,0,0,0
83,2020-11-02,11084.76,0.002877965,10955.27231,12031.37603,11493.32417,0,0,0,0,0,0,100000,0,0,0
84,2020-11-03,11279.91,0.017605253,10946.32372,11944.94795,11445.63583,0,0,0,0,0,0,100000,0,0,0
85,2020-11-04,11777.02,0.044070387,10932.47407,11982.575929999999,11457.525,0,0,0,0,0,0,100000,0,0,0
86,2020-11-05,12078.07,0.025562493999999998,10863.81957,12117.93543,11490.8775,0,0,0,0,0,0,100000,0,0,0
87,2020-11-06,12091.35,0.001099513,10813.812590000001,12238.93908,11526.375829999999,0,0,0,0,0,0,100000,0,0,0
88,2020-11-09,11830.39,-0.021582371,10809.76656,12270.89844,11540.3325,0,0,0,0,0,0,100000,0,0,0
89,2020-11-10,11624.29,-0.017421235,10808.19855,12261.08645,11534.6425,0,0,0,0,0,0,100000,0,0,0
90,2020-11-11,11892.93,0.023110229,10812.358259999999,12321.661740000001,11567.01,0,0,0,0,0,0,100000,0,0,0
91,2020-11-12,11827.14,-0.005531858000000001,10816.508590000001,12355.54307,11586.02583,0,0,0,0,0,0,100000,0,0,0
92,2020-11-13,11937.84,0.009359828,10912.98544,12391.57956,11652.2825,0,0,0,0,0,0,100000,0,0,0
93,2020-11-16,12013.38,0.006327778,10967.49932,12447.50568,11707.5025,0,0,0,0,0,0,100000,0,0,0
94,2020-11-17,11977.49,-0.002987502,11158.11865,12410.97635,11784.5475,0,0,0,0,0,0,100000,0,0,0
95,2020-11-18,11894.71,-0.006911298000000001,11406.09143,12297.99524,11852.04333,0,0,0,0,0,0,100000,0,0,0
96,2020-11-19,11985.43,0.00762692,11643.95119,12177.72214,11910.83667,0,0,0,0,0,0,100000,0,0,0
97,2020-11-20,11906.44,-0.006590502,11668.21345,12175.02988,11921.62167,0,0,0,0,0,0,100000,0,0,0
98,2020-11-23,11905.94,-4.2e-05,11673.81034,12140.74466,11907.2775,0,0,0,0,0,0,100000,0,0,0
99,2020-11-24,12079.81,0.014603635,11676.08457,12136.5471,11906.31583,0,0,0,0,0,0,100000,0,0,0
100,2020-11-25,12152.22,0.0059943,11669.0134,12197.2566,11933.135,0,0,0,0,0,0,100000,0,0,0
101,2020-11-27,12258.21,0.008721863,11738.32465,12233.59868,11985.96167,0,0,0,0,0,0,100000,0,0,0
102,2020-11-30,12268.32,0.000824753,11729.32407,12305.16426,12017.24417,0,0,0,0,0,0,100000,0,0,0
103,2020-12-01,12455.33,0.015243326000000001,11712.40032,12426.78635,12069.59333,0,0,0,0,0,0,100000,0,0,0
104,2020-12-02,12456.41,8.669999999999999e-05,11703.496570000001,12522.11843,12112.8075,0,0,0,0,0,0,100000,0,0,0
105,2020-12-03,12467.13,0.000860601,11699.67205,12601.56795,12150.62,0,0,0,0,0,0,100000,0,0,0
106,2020-12-04,12528.48,0.00492094,11711.58835,12681.48331,12196.535829999999,0,0,0,0,0,0,100000,0,0,0
107,2020-12-07,12596.47,0.005426835,11759.751629999999,12750.280040000001,12255.01583,0,0,0,0,0,0,100000,0,0,0
108,2020-12-08,12635.72,0.003115952,11800.53366,12817.87967,12309.20667,0,0,0,0,0,0,100000,0,0,0
109,2020-12-09,12364.64,-0.021453467,11906.352429999999,12788.42757,12347.39,0,0,0,0,0,0,100000,0,0,0
110,2020-12-10,12401.74,0.003000492,12046.253009999999,12731.160329999999,12388.70667,0,0,0,0,0,0,100000,0,0,0
111,2020-12-11,12375.41,-0.002123089,12130.508259999999,12696.17174,12413.34,0,0,0,0,0,0,100000,0,0,0
112,2020-12-14,12462.21,0.0070139090000000005,12208.61606,12669.72894,12439.1725,0,0,0,0,0,0,100000,0,0,0
113,2020-12-15,12595.92,0.010729236999999999,12251.15169,12683.478309999999,12467.315,0,0,0,0,0,0,100000,0,0,0
114,2020-12-16,12668.16,0.00573519,12295.32802,12705.94198,12500.635,0,0,0,0,0,0,100000,0,0,0
115,2020-12-17,12752.06,0.006622903,12276.92028,12773.80472,12525.3625,0,0,0,0,0,0,100000,0,0,0
116,2020-12-18,12738.18,-0.001088452,12276.70676,12820.97991,12548.84333,0,0,0,0,0,0,100000,0,0,0
117,2020-12-21,12690.26,-0.0037619190000000003,12289.240020000001,12845.634979999999,12567.4375,0,0,0,0,0,0,100000,0,0,0
118,2020-12-22,12717.56,0.0021512560000000003,12293.4464,12872.94194,12583.19417,0,0,0,0,0,0,100000,0,0,0
119,2020-12-23,12653.14,-0.005065437,12295.39073,12880.4426,12587.91667,0,0,0,0,0,0,100000,0,0,0
120,2020-12-24,12711.01,0.004573568,12294.06005,12894.32162,12594.19083,0,0,0,0,0,0,100000,0,0,0
121,2020-12-28,12838.86,0.010058209,12340.671859999999,12926.74647,12633.70917,0,0,0,0,0,0,100000,0,0,0
122,2020-12-29,12843.49,0.00036062400000000004,12394.1285,12946.914840000001,12670.52167,0,0,0,0,0,0,100000,0,0,0
123,2020-12-30,12845.36,0.000145599,12487.99283,12931.3755,12709.68417,0,0,0,0,0,0,100000,0,0,0
124,2020-12-31,12888.28,0.0033412840000000004,12563.60163,12926.77837,12745.19,0,0,0,0,0,0,100000,0,0,0
125,2021-01-04,12694.66,-0.015022951000000001,12593.71553,12913.12113,12753.41833,0,0,0,0,0,0,100000,0,0,0
126,2021-01-05,12802.38,0.008485458000000001,12612.3288,12916.87787,12764.60333,0,0,0,0,0,0,100000,0,0,0
127,2021-01-06,12623.35,-0.013984119,12581.00828,12926.746720000001,12753.8775,0,0,0,0,0,0,100000,0,0,0
128,2021-01-07,12939.57,0.025050403,12567.918940000001,12973.40106,12770.66,0,0,0,0,0,0,100000,0,0,0
129,2021-01-08,13105.2,0.012800271,12532.781,13077.695670000001,12805.23833,0,0,0,0,0,0,100000,0,0,0
130,2021-01-11,12902.49,-0.015467906000000002,12548.913190000001,13092.38515,12820.64917,0,0,0,0,0,0,100000,0,0,0
131,2021-01-12,12892.09,-0.000806046,12588.04877,13093.07456,12840.561670000001,0,0,0,0,0,0,100000,0,0,0
132,2021-01-13,12973.63,0.006324808,12613.43137,13111.46197,12862.446670000001,0,0,0,0,0,0,100000,0,0,0
133,2021-01-14,12898.69,-0.0057763319999999995,12618.08232,13116.78268,12867.4325,0,0,0,0,0,0,100000,0,0,0
134,2021-01-15,12803.93,-0.007346482,12612.37003,13115.90164,12864.13583,0,0,0,0,0,0,100000,0,0,0
135,2021-01-19,12996.54,0.015043038,12614.1697,13139.29864,12876.73417,0,0,0,0,0,0,100000,0,0,0
136,2021-01-20,13296.45,0.023076142,12553.1148,13268.38186,12910.74833,0,0,0,0,0,0,100000,0,0,0
137,2021-01-21,13404.99,0.008163080999999999,12540.455259999999,13399.429740000001,12969.9425,0,0,0,0,0,0,100000,0,0,0
138,2021-01-22,13366.4,-0.002878779,12546.02455,13487.863780000001,13016.94417,0,0,0,0,0,0,100000,0,0,0
139,2021-01-25,13483.29,0.008745062,12617.32446,13559.887209999999,13088.60583,0,0,0,0,0,0,100000,0,0,0
140,2021-01-26,13490.19,0.000511745,12621.18255,13647.79912,13134.490829999999,0,0,0,0,0,0,100000,0,0,0
141,2021-01-27,13112.65,-0.027986262999999997,12621.93997,13648.28336,13135.11167,0,0,0,0,0,0,100000,0,0,0
142,2021-01-28,13201.53,0.006778187,12667.525740000001,13652.5376,13160.03167,0,0,0,0,0,0,100000,0,0,0
143,2021-01-29,12925.38,-0.02091803,12676.55036,13649.06131,13162.80583,0,0,0,0,0,0,100000,0,0,0
144,2021-02-01,13248.9,0.025029825,12712.63832,13658.851680000002,13185.745,0,0,0,0,0,0,100000,0,0,0
145,2021-02-02,13456.12,0.015640544,12772.81437,13691.58063,13232.1975,0,0,0,0,0,0,100000,0,0,0
146,2021-02-03,13402.37,-0.003994465,12902.57416,13661.56084,13282.0675,0,0,0,0,0,0,100000,0,0,0
147,2021-02-04,13560.89,0.011827758999999998,12964.42151,13693.771819999998,13329.09667,0,0,0,0,0,0,100000,0,0,0
148,2021-02-05,13603.96,0.003176045,12958.22843,13751.216569999999,13354.7225,0,0,0,0,0,0,100000,0,0,0
149,2021-02-08,13695.02,0.006693639,12936.34263,13821.440709999999,13378.89167,0,0,0,0,0,0,100000,0,0,0
150,2021-02-09,13687.08,-0.000579773,12928.944379999999,13882.285619999999,13405.615,0,0,0,0,0,0,100000,0,0,0
151,2021-02-10,13655.27,-0.00232409,12923.16782,13916.72551,13419.946670000001,0,0,0,0,0,0,100000,0,0,0
152,2021-02-11,13734.35,0.0057911709999999995,12911.96222,13968.62445,13440.29333,0,0,0,0,0,0,100000,0,0,0
153,2021-02-12,13807.7,0.005340624,12974.244190000001,14022.18415,13498.21417,0,0,0,0,0,0,100000,0,0,0
154,2021-02-16,13773.77,-0.002457325,13035.77829,14056.02338,13545.90083,0,0,0,0,0,0,100000,0,0,0
155,2021-02-17,13699.71,-0.0053768869999999995,13277.80003,13943.056630000001,13610.42833,0,0,0,0,0,0,100000,0,0,0
156,2021-02-18,13637.51,-0.004540242,13400.31771,13885.30729,13642.8125,0,0,0,0,0,0,100000,0,0,0
157,2021-02-19,13580.78,-0.00415985,13436.27256,13870.12911,13653.200830000002,0,0,0,0,0,0,100000,0,0,0
158,2021-02-22,13223.74,-0.026290095,13337.848329999999,13938.781669999998,13638.315,0,0,0,0,0,0,100000,0,0,0
159,2021-02-23,13194.71,-0.002195294,13213.34415,14002.25585,13607.8,0,0,0,0,0,0,100000,0,0,0
160,2021-02-24,13302.19,0.008145689000000001,13150.45669,14014.84831,13582.6525,0,0,0,0,0,0,100000,0,0,0
161,2021-02-25,12828.31,-0.035624209,12905.15027,14115.70306,13510.426669999999,0,0,0,0,0,0,100000,0,0,0
